day,burst_ts,n_vev,vev5300_mid_at,spread_at,fwd5,fwd20
1,4500,4,49.5,1.0,-0.5,-0.5
1,9600,4,46.5,1.0,-0.5,-1.0
1,11800,3,44.5,1.0,1.0,-0.5
1,14800,5,43.0,2.0,0.0,-1.0
1,16700,5,42.0,2.0,0.0,-1.0
1,38500,3,40.5,1.0,1.5,1.5
1,40400,5,42.0,2.0,0.0,-1.0
1,43400,4,40.5,1.0,1.5,4.5
1,50700,4,45.5,1.0,1.5,2.0
1,52800,4,46.5,1.0,0.5,-0.5
1,74100,5,43.0,2.0,1.0,1.0
1,85300,4,43.0,2.0,0.0,1.0
1,86100,4,42.5,1.0,0.5,2.5
1,89800,4,46.0,2.0,0.0,-1.0
1,120300,4,49.5,1.0,2.5,4.0
1,127200,3,52.5,1.0,2.0,1.0
1,135900,5,53.0,2.0,0.0,-2.0
1,145500,4,51.5,1.0,1.5,3.5
1,150600,5,54.0,2.0,0.0,-4.0
1,153000,4,49.5,1.0,-0.5,-0.5
1,170400,4,46.5,1.0,0.5,0.5
1,170500,3,47.0,2.0,-1.0,0.0
1,172500,5,47.0,2.0,-1.0,-2.0
1,190100,5,43.0,2.0,-1.0,-1.0
1,195600,5,42.0,2.0,-1.0,1.0
1,235300,4,45.5,1.0,1.5,2.5
1,252500,5,54.0,2.0,0.0,0.0
1,304000,4,53.5,1.0,1.0,0.5
1,310100,3,54.5,1.0,0.0,-0.5
1,322000,4,48.5,1.0,1.0,0.5
1,322600,3,48.5,1.0,1.0,-0.5
1,350300,4,46.5,1.0,-0.5,-0.5
1,376600,5,47.0,2.0,1.0,0.5
1,377900,3,48.0,2.0,0.0,1.0
1,399700,4,43.5,1.0,1.5,2.5
1,410400,4,41.5,1.0,0.5,0.5
1,428000,4,40.5,1.0,-0.5,-0.5
1,437100,4,40.5,1.0,0.5,2.5
1,455700,4,45.5,1.0,0.5,-0.5
1,460400,4,48.0,2.0,1.0,2.0
1,476500,4,49.5,1.0,0.5,-0.5
1,489700,5,44.0,2.0,0.0,2.0
1,502700,3,46.5,1.0,1.5,2.5
1,519500,5,51.0,2.0,0.0,0.0
1,524000,3,50.5,1.0,0.5,-1.5
1,547600,3,40.5,1.0,0.5,1.5
1,548400,3,40.5,1.0,-0.5,0.5
1,553100,4,40.0,2.0,-1.0,1.0
1,564300,5,41.0,2.0,0.0,1.0
1,567200,4,41.5,1.0,0.5,1.5
1,568900,5,44.0,2.0,-1.0,-1.0
1,574800,4,40.5,1.0,0.5,1.5
1,575800,3,41.5,1.0,0.5,0.5
1,588200,5,46.0,2.0,0.0,-2.0
1,604600,5,40.0,2.0,0.0,-2.0
1,617900,5,41.0,2.0,-1.0,0.0
1,618300,5,41.0,2.0,-1.0,-1.0
1,624400,5,43.0,2.0,-1.0,-3.0
1,631700,3,35.5,1.0,0.5,0.0
1,636100,4,38.0,2.0,-2.0,-4.0
1,642100,5,35.0,2.0,-0.5,-1.0
1,654200,4,31.5,1.0,1.5,0.5
1,674000,5,38.0,2.0,1.0,1.0
1,684000,4,38.5,1.0,0.5,1.5
