lag,corr_ex_vs_vev5300
-10,0.02273249302595197
-9,-0.004541381774562357
-8,0.023931571333877938
-7,0.010665683432402607
-6,0.022170372737762675
-5,0.01936698629409478
-4,0.021857690000131706
-3,-0.0091864147343995
-2,0.018012235205937897
-1,0.029263833732803647
0,-0.153433408013393
1,-0.018084368846720537
2,-0.002811044722048457
3,0.004862863179398714
4,-0.00912552523387434
5,-0.0074810944905668204
6,0.02398665063290879
7,0.007617551395515393
8,-0.013759253983590462
9,0.004445174645183303
10,0.03282349893595796
