timestamp,s_VEV_5200,m_VEV_5200,s_VEV_5300,m_VEV_5300,s_VELVETFRUIT_EXTRACT,m_VELVETFRUIT_EXTRACT,day,s5200,s5300,m_ext,s_ext,joint_tight,m5200,m5300,fwd20_ext,fwd5_5300,fwd20_5300
0,3,95.5,2,47.0,6,5245.0,1,3,2,5245.0,6,False,95.5,47.0,6.5,1.0,2.0
100,3,96.5,2,47.0,5,5245.5,1,3,2,5245.5,5,False,96.5,47.0,4.5,1.0,2.0
200,3,96.5,2,47.0,5,5246.5,1,3,2,5246.5,5,False,96.5,47.0,2.0,0.0,1.0
300,3,97.5,2,48.0,5,5247.5,1,3,2,5247.5,5,False,97.5,48.0,2.0,-1.0,1.0
400,3,97.5,2,48.0,5,5247.5,1,3,2,5247.5,5,False,97.5,48.0,3.0,-1.0,1.0
500,2,97.0,2,48.0,5,5247.5,1,2,2,5247.5,5,True,97.0,48.0,4.0,0.0,1.0
600,3,96.5,2,48.0,2,5245.0,1,3,2,5245.0,2,False,96.5,48.0,4.0,0.0,0.5
700,3,95.5,2,47.0,5,5245.5,1,3,2,5245.5,5,False,95.5,47.0,3.0,1.5,1.5
800,2,96.0,2,47.0,5,5245.5,1,2,2,5245.5,5,True,96.0,47.0,3.0,2.0,1.0
900,3,95.5,2,47.0,5,5245.5,1,3,2,5245.5,5,False,95.5,47.0,4.0,2.0,1.5
1000,3,96.5,2,48.0,6,5247.0,1,3,2,5247.0,6,False,96.5,48.0,3.0,1.0,1.0
1100,2,97.0,2,48.0,5,5247.5,1,2,2,5247.5,5,True,97.0,48.0,4.0,1.0,1.5
1200,3,97.5,3,48.5,5,5248.5,1,3,3,5248.5,5,False,97.5,48.5,4.5,1.0,1.5
1300,3,98.5,2,49.0,5,5249.5,1,3,2,5249.5,5,False,98.5,49.0,4.5,0.0,1.0
1400,3,99.5,2,49.0,6,5251.0,1,3,2,5251.0,6,False,99.5,49.0,2.5,0.0,1.0
1500,3,99.5,2,49.0,5,5250.5,1,3,2,5250.5,5,False,99.5,49.0,3.0,0.0,1.0
1600,3,98.5,2,49.0,5,5250.5,1,3,2,5250.5,5,False,98.5,49.0,3.0,0.0,1.0
1700,3,99.5,3,49.5,5,5251.5,1,3,3,5251.5,5,False,99.5,49.5,0.5,-1.5,0.0
