symbol,day,horizon_K,n,mean_fwd,t_vs_zero
VEV_5200,1,5,0,,
VEV_5200,1,20,0,,
VEV_5200,1,100,0,,
VEV_5200,2,5,0,,
VEV_5200,2,20,0,,
VEV_5200,2,100,0,,
VEV_5200,3,5,11,-0.18181818181818182,-0.53644178078582
VEV_5200,3,20,11,0.8636363636363636,0.8463272660560105
VEV_5200,3,100,11,2.772727272727273,1.6188859319906685
VEV_5300,1,5,32,-0.28125,-2.033897257978677
VEV_5300,1,20,32,-0.703125,-2.3160330801616316
VEV_5300,1,100,32,-0.5,-0.7744405477707369
VEV_5300,2,5,31,-0.04838709677419355,-0.3918974582048731
VEV_5300,2,20,31,0.1774193548387097,0.6299270159902818
VEV_5300,2,100,31,-0.016129032258064516,-0.025528263307245034
VEV_5300,3,5,69,-0.13043478260869565,-1.4527025943345069
VEV_5300,3,20,69,0.014492753623188406,0.07409948978045726
VEV_5300,3,100,69,0.38405797101449274,1.0703634367853465
VEV_5400,1,5,76,0.013157894736842105,0.30676193672265123
VEV_5400,1,20,76,0.05263157894736842,0.5469028176232293
VEV_5400,1,100,76,-0.09868421052631579,-0.5110878395003681
VEV_5400,2,5,78,-0.02564102564102564,-0.4826803630033512
VEV_5400,2,20,78,0.02564102564102564,0.2783949973230017
VEV_5400,2,100,78,-0.05128205128205128,-0.28438889440577764
VEV_5400,3,5,109,-0.022935779816513763,-0.7794618374722447
VEV_5400,3,20,109,0.04128440366972477,0.6120314637595597
VEV_5400,3,100,108,0.1574074074074074,1.373278471779796
VEV_5500,1,5,89,-0.02247191011235955,-0.8934125256806531
VEV_5500,1,20,89,-0.0056179775280898875,-0.11049279183605033
VEV_5500,1,100,89,-0.09550561797752809,-1.0254352279711496
VEV_5500,2,5,91,-0.038461538461538464,-1.30487650860252
VEV_5500,2,20,91,0.016483516483516484,0.3594253787238923
VEV_5500,2,100,91,-0.01098901098901099,-0.134110445196455
VEV_5500,3,5,118,-0.00423728813559322,-0.27626244647913684
VEV_5500,3,20,118,0.05508474576271186,1.7686560663306479
VEV_5500,3,100,117,0.029914529914529916,0.6628167291083112
VEV_6000,1,5,98,0.0,
VEV_6000,1,20,98,0.0,
VEV_6000,1,100,98,0.0,
VEV_6000,2,5,95,0.0,
VEV_6000,2,20,95,0.0,
VEV_6000,2,100,95,0.0,
VEV_6000,3,5,123,0.0,
VEV_6000,3,20,123,0.0,
VEV_6000,3,100,122,0.0,
VEV_6500,1,5,98,0.0,
VEV_6500,1,20,98,0.0,
VEV_6500,1,100,98,0.0,
VEV_6500,2,5,95,0.0,
VEV_6500,2,20,95,0.0,
VEV_6500,2,100,95,0.0,
VEV_6500,3,5,123,0.0,
VEV_6500,3,20,123,0.0,
VEV_6500,3,100,122,0.0,
