buyer,seller,symbol,day,horizon_K,n,mean_fwd,t_vs_zero
Mark 14,Mark 38,HYDROGEL_PACK,1,5,25,0.84,0.8699798782491193
Mark 14,Mark 38,HYDROGEL_PACK,1,20,25,2.08,1.339919916080184
Mark 14,Mark 38,HYDROGEL_PACK,1,100,25,-0.46,-0.11359490675620394
Mark 14,Mark 38,HYDROGEL_PACK,2,5,33,0.07575757575757576,0.10667766688658178
Mark 14,Mark 38,HYDROGEL_PACK,2,20,33,-0.8939393939393939,-0.6506465314732423
Mark 14,Mark 38,HYDROGEL_PACK,2,100,33,0.3939393939393939,0.14428074637655103
Mark 14,Mark 38,HYDROGEL_PACK,3,5,68,-0.8235294117647058,-1.4671927446403248
Mark 14,Mark 38,HYDROGEL_PACK,3,20,68,-1.1838235294117647,-0.9564629607919836
Mark 14,Mark 38,HYDROGEL_PACK,3,100,68,0.4852941176470588,0.2177362612866019
Mark 14,Mark 38,VEV_4000,1,5,12,0.5833333333333334,0.6606339735160179
Mark 14,Mark 38,VEV_4000,1,20,12,1.2083333333333333,1.1160602194132139
Mark 14,Mark 38,VEV_4000,1,100,12,5.833333333333333,2.225154739297002
Mark 14,Mark 38,VEV_4000,2,5,9,0.8333333333333334,1.042572070285374
Mark 14,Mark 38,VEV_4000,2,20,9,0.5555555555555556,0.42126273187113467
Mark 14,Mark 38,VEV_4000,2,100,9,3.3333333333333335,1.0724978403434373
Mark 14,Mark 38,VEV_4000,3,5,34,0.3382352941176471,0.958005788442449
Mark 14,Mark 38,VEV_4000,3,20,34,1.2058823529411764,1.7577625858551402
Mark 14,Mark 38,VEV_4000,3,100,34,1.4558823529411764,0.9750042307385728
