day,timestamp,gate_aligned,joint_tight,fwd20_5300
1,14800,True,True,-1.0
1,16700,True,True,-1.0
1,40400,True,True,-1.0
1,74100,True,True,1.0
1,85300,True,True,1.0
1,89800,True,True,-1.0
1,135900,True,True,-2.0
1,150600,True,True,-4.0
1,170500,True,True,0.0
1,172500,True,True,-2.0
1,190100,True,True,-1.0
1,195600,True,True,1.0
1,252500,True,True,0.0
1,376600,True,True,0.5
1,377900,True,True,1.0
1,460400,True,True,2.0
1,489700,True,True,2.0
1,519500,True,True,0.0
1,553100,True,True,1.0
1,564300,True,True,1.0
1,568900,True,True,-1.0
1,588200,True,True,-2.0
1,604600,True,True,-2.0
1,617900,True,True,0.0
1,618300,True,True,-1.0
1,624400,True,True,-3.0
1,636100,True,True,-4.0
1,642100,True,True,-1.0
1,674000,True,True,1.0
1,710500,True,True,2.0
1,720500,True,True,-1.5
1,725000,True,True,-3.0
1,800400,True,True,-2.0
1,807800,True,True,-2.0
1,812600,True,True,-2.0
1,848900,True,True,-1.0
1,948500,True,True,2.0
1,988100,True,True,2.0
2,20900,True,True,-1.0
2,75200,True,True,-1.5
2,79300,True,True,2.5
2,105500,True,True,1.0
2,129700,True,True,0.0
2,169000,True,True,-0.5
2,189100,True,True,0.5
2,204400,True,True,2.5
2,225500,True,True,-2.0
2,289300,True,True,-1.0
2,320800,True,True,0.0
2,321600,True,True,0.0
2,350700,True,True,-3.0
2,358500,True,True,1.0
2,362600,True,True,-2.0
2,365600,True,True,1.0
2,389000,True,True,0.0
2,390300,True,True,2.0
2,414900,True,True,3.0
2,423800,True,True,1.0
2,433100,True,True,-1.0
2,461200,True,True,1.0
2,483400,True,True,-2.0
2,501900,True,True,-2.0
2,519600,True,True,-1.0
2,548600,True,True,0.0
2,587100,True,True,0.5
2,588500,True,True,-0.5
2,604100,True,True,2.0
2,666500,True,True,1.5
2,711900,True,True,-3.0
2,748500,True,True,0.5
2,764000,True,True,-0.5
2,779200,True,True,-2.0
2,808800,True,True,-3.0
2,826400,True,True,0.0
2,836300,True,True,0.0
2,872600,True,True,-1.0
2,898600,True,True,1.0
2,948500,True,True,-1.0
2,972800,True,True,0.0
2,977300,True,True,0.0
2,977500,True,True,0.0
2,993800,True,True,4.0
3,32900,True,True,1.0
3,33600,True,True,0.0
3,40200,True,True,-4.0
3,74300,True,True,-1.0
3,92200,True,True,-1.0
3,98900,True,True,-1.0
3,128700,True,True,3.5
3,137700,True,True,-1.5
3,155400,True,True,-2.0
3,218300,True,True,1.0
3,220800,True,True,-2.0
3,222400,True,True,0.0
3,243700,True,True,-0.5
3,269000,True,True,-2.5
3,289400,True,True,-2.0
3,290900,True,True,-1.0
3,315800,True,True,0.5
3,317200,True,True,-0.5
3,319700,True,True,-1.0
3,320200,True,True,0.5
3,328700,True,True,2.5
3,329200,True,True,2.0
3,332600,True,True,-2.0
3,350300,True,True,-1.5
3,363100,True,True,-0.5
3,364700,True,True,0.0
3,369800,True,True,1.0
3,385400,True,True,1.5
3,389100,True,True,2.0
3,391400,True,True,0.0
3,428900,True,True,-1.0
3,431900,True,True,0.5
3,442200,True,True,1.0
3,451300,True,True,-0.5
3,456600,True,True,-0.5
3,459800,True,True,-0.5
3,483900,True,True,2.0
3,498100,True,True,-0.5
3,511800,True,True,1.5
3,524000,True,True,0.0
3,529600,True,True,-0.5
3,531500,True,True,-1.0
3,535400,True,True,1.5
3,535900,True,True,1.5
3,551600,True,True,1.0
3,555100,True,True,-0.5
3,580600,True,True,-0.5
3,584300,True,True,-2.0
3,612700,True,True,2.5
3,622500,True,True,0.5
3,627700,True,True,-3.0
3,631300,True,True,-1.0
3,631500,True,True,-2.0
3,634500,True,True,0.5
3,642500,True,True,3.0
3,671800,True,True,3.5
3,671900,True,True,3.0
3,689900,True,True,1.0
3,699400,True,True,-1.0
3,700300,True,True,-0.5
3,705400,True,True,0.5
3,708800,True,True,4.0
3,728500,True,True,-1.5
3,730000,True,True,-3.0
3,741100,True,True,1.0
3,753700,True,True,0.5
3,785100,True,True,1.5
3,793100,True,True,0.0
3,820200,True,True,-0.5
3,834400,True,True,-1.5
3,864100,True,True,1.5
3,868300,True,True,-1.0
3,877600,True,True,-1.0
3,890900,True,True,2.5
3,894300,True,True,-0.5
3,918500,True,True,1.5
3,977300,True,True,-2.0
3,983300,True,True,-0.5
