buyer,seller,day,n_aligned,n_joint_tight,n_wide_on_panel,frac_tight_of_aligned
Mark 01,Mark 22,1,393,393,0,1.0
Mark 01,Mark 22,2,390,390,0,1.0
Mark 01,Mark 22,3,556,553,3,0.9946043165467626
Mark 14,Mark 38,1,274,37,237,0.13503649635036497
Mark 14,Mark 38,2,206,42,164,0.20388349514563106
Mark 14,Mark 38,3,248,102,146,0.4112903225806452
Mark 38,Mark 14,1,259,37,222,0.14285714285714285
Mark 38,Mark 14,2,225,36,189,0.16
Mark 38,Mark 14,3,230,116,114,0.5043478260869565
Mark 55,Mark 14,1,97,14,83,0.14432989690721648
Mark 55,Mark 14,2,118,20,98,0.1694915254237288
Mark 55,Mark 14,3,116,52,64,0.4482758620689655
Mark 14,Mark 55,1,114,13,101,0.11403508771929824
Mark 14,Mark 55,2,92,16,76,0.17391304347826086
Mark 14,Mark 55,3,110,55,55,0.5
Mark 01,Mark 55,1,76,11,65,0.14473684210526316
Mark 01,Mark 55,2,91,19,72,0.2087912087912088
Mark 01,Mark 55,3,93,40,53,0.43010752688172044
Mark 55,Mark 01,1,81,11,70,0.13580246913580246
Mark 55,Mark 01,2,92,21,71,0.22826086956521738
Mark 55,Mark 01,3,71,39,32,0.5492957746478874
Mark 67,Mark 49,1,26,1,25,0.038461538461538464
Mark 67,Mark 49,2,35,4,31,0.11428571428571428
Mark 67,Mark 49,3,28,7,21,0.25
