pair,symbol,K,spread_q,burst,n,mean_fwd
Mark 01|Mark 22,VEV_5200,5,tight,1,11,-0.18181818181818182
Mark 01|Mark 22,VEV_5200,20,tight,1,11,0.8636363636363636
Mark 01|Mark 22,VEV_5200,100,tight,1,11,2.772727272727273
Mark 01|Mark 22,VEV_5300,5,tight,1,132,-0.14772727272727273
Mark 01|Mark 22,VEV_5300,20,tight,1,132,-0.12121212121212122
Mark 01|Mark 22,VEV_5300,100,tight,1,131,0.026717557251908396
Mark 01|Mark 22,VEV_5400,5,tight,1,263,-0.013307984790874524
Mark 01|Mark 22,VEV_5400,20,tight,1,263,0.039923954372623575
Mark 01|Mark 22,VEV_5400,100,tight,1,260,0.0038461538461538464
Mark 01|Mark 22,VEV_5500,5,tight,1,299,-0.020066889632107024
Mark 01|Mark 22,VEV_5500,20,tight,1,299,0.02508361204013378
Mark 01|Mark 22,VEV_5500,100,tight,1,297,-0.02356902356902357
Mark 01|Mark 22,VEV_6000,5,tight,1,317,0.0
Mark 01|Mark 22,VEV_6000,20,tight,1,317,0.0
Mark 01|Mark 22,VEV_6000,100,tight,1,314,0.0
Mark 01|Mark 22,VEV_6500,5,tight,1,317,0.0
Mark 01|Mark 22,VEV_6500,20,tight,1,317,0.0
Mark 01|Mark 22,VEV_6500,100,tight,1,314,0.0
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,5,mid,0,237,0.24261603375527427
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,5,mid,1,12,0.125
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,5,tight,0,8,1.0625
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,5,tight,1,3,2.6666666666666665
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,20,mid,0,237,-0.0379746835443038
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,20,mid,1,12,-1.2916666666666667
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,20,tight,0,8,0.875
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,20,tight,1,3,6.333333333333333
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,100,mid,0,237,-0.5654008438818565
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,100,mid,1,12,-3.0416666666666665
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,100,tight,0,8,-0.5
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,100,tight,1,3,3.1666666666666665
Mark 14|Mark 22,VEV_5200,5,tight,1,33,-0.24242424242424243
Mark 14|Mark 22,VEV_5200,20,tight,1,33,0.015151515151515152
Mark 14|Mark 22,VEV_5200,100,tight,1,33,-0.09090909090909091
Mark 14|Mark 22,VEV_5300,5,mid,1,1,-0.5
Mark 14|Mark 22,VEV_5300,5,tight,1,29,-0.41379310344827586
Mark 14|Mark 22,VEV_5300,20,mid,1,1,0.5
Mark 14|Mark 22,VEV_5300,20,tight,1,29,-0.2413793103448276
Mark 14|Mark 22,VEV_5300,100,mid,1,1,1.5
Mark 14|Mark 22,VEV_5300,100,tight,1,29,0.6206896551724138
Mark 14|Mark 22,VEV_5400,5,tight,1,13,-0.38461538461538464
Mark 14|Mark 22,VEV_5400,20,tight,1,13,-0.34615384615384615
Mark 14|Mark 22,VEV_5400,100,tight,1,13,-0.8846153846153846
Mark 14|Mark 22,VEV_5500,5,tight,1,7,-0.2857142857142857
Mark 14|Mark 22,VEV_5500,20,tight,1,7,-0.42857142857142855
Mark 14|Mark 22,VEV_5500,100,tight,1,7,-0.5714285714285714
Mark 14|Mark 38,HYDROGEL_PACK,5,wide,0,469,0.13219616204690832
