pair,symbol,K,n,mean_res
Mark 22|Mark 38,HYDROGEL_PACK,100,11,1.7763568394002505e-15
Mark 38|Mark 22,HYDROGEL_PACK,100,7,1.0150610510858574e-15
Mark 01|Mark 22,VEV_5200,100,11,-4.844609562000683e-16
Mark 14|Mark 38,HYDROGEL_PACK,100,494,4.3150368568427135e-16
Mark 67|Mark 22,VELVETFRUIT_EXTRACT,100,75,3.315866100213801e-16
Mark 22|Mark 38,HYDROGEL_PACK,20,11,-3.2297397080004555e-16
Mark 55|Mark 14,VELVETFRUIT_EXTRACT,100,328,3.1411188013784915e-16
Mark 14|Mark 38,VEV_4000,100,231,3.0759425790480526e-16
Mark 55|Mark 49,VELVETFRUIT_EXTRACT,20,9,2.4671622769447924e-16
Mark 67|Mark 49,VELVETFRUIT_EXTRACT,100,88,-2.220446049250313e-16
Mark 38|Mark 14,HYDROGEL_PACK,20,507,2.1635115351669717e-16
Mark 14|Mark 22,VEV_5200,100,33,2.153159805333637e-16
Mark 14|Mark 38,HYDROGEL_PACK,5,496,1.9339368816051114e-16
Mark 14|Mark 55,VELVETFRUIT_EXTRACT,100,311,1.9134390392253503e-16
Mark 55|Mark 22,VELVETFRUIT_EXTRACT,20,14,1.9032394707859825e-16
Mark 55|Mark 14,VELVETFRUIT_EXTRACT,20,331,1.8246565721936108e-16
Mark 22|Mark 38,HYDROGEL_PACK,5,11,-1.6148698540002277e-16
Mark 49|Mark 22,VELVETFRUIT_EXTRACT,20,12,1.4802973661668753e-16
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,100,260,1.468910463350207e-16
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,20,260,1.4347497549002024e-16
Mark 14|Mark 55,VELVETFRUIT_EXTRACT,20,316,1.349131776759684e-16
Mark 22|Mark 49,VELVETFRUIT_EXTRACT,20,7,1.2688263138573217e-16
Mark 14|Mark 22,VEV_5200,20,33,-1.0765799026668185e-16
Mark 55|Mark 14,VELVETFRUIT_EXTRACT,5,331,1.019661025637606e-16
Mark 55|Mark 01,VELVETFRUIT_EXTRACT,100,244,-9.10018872643571e-17
Mark 14|Mark 22,VEV_5300,100,30,8.881784197001253e-17
Mark 49|Mark 22,VELVETFRUIT_EXTRACT,100,11,8.074349270001139e-17
Mark 67|Mark 22,VELVETFRUIT_EXTRACT,5,75,7.697546304067752e-17
Mark 49|Mark 22,VELVETFRUIT_EXTRACT,5,12,-7.401486830834377e-17
Mark 22|Mark 49,VELVETFRUIT_EXTRACT,5,7,-6.344131569286608e-17
Mark 01|Mark 22,VEV_5300,20,132,-5.719330732917473e-17
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,5,260,5.124106267500723e-17
Mark 14|Mark 55,VELVETFRUIT_EXTRACT,5,316,-5.032893932833977e-17
Mark 38|Mark 14,HYDROGEL_PACK,100,505,4.924553614178912e-17
Mark 55|Mark 22,VELVETFRUIT_EXTRACT,5,14,4.7580986769649563e-17
Mark 67|Mark 22,VELVETFRUIT_EXTRACT,20,75,4.7369515717340015e-17
Mark 14|Mark 38,HYDROGEL_PACK,20,496,-4.297637514678025e-17
Mark 01|Mark 22,VEV_5300,100,131,4.0679927619853064e-17
Mark 01|Mark 22,VEV_5200,5,11,4.0371746350005693e-17
Mark 38|Mark 14,VEV_4000,5,207,-3.539841527790354e-17
Mark 14|Mark 22,VEV_5300,5,30,-3.515706244646329e-17
Mark 67|Mark 49,VELVETFRUIT_EXTRACT,5,89,3.2433481618263e-17
Mark 14|Mark 22,VEV_5500,100,7,-3.172065784643304e-17
Mark 01|Mark 22,VEV_5400,20,263,3.0024567538579566e-17
Mark 55|Mark 01,VELVETFRUIT_EXTRACT,5,244,2.6390547306663556e-17
Mark 38|Mark 14,VEV_4000,20,205,2.599546594244269e-17
Mark 14|Mark 38,VEV_4000,20,232,2.2970131543968756e-17
Mark 14|Mark 22,VEV_5400,20,13,1.708035422500241e-17
Mark 14|Mark 22,VEV_5500,5,7,-1.586032892321652e-17
Mark 14|Mark 38,VEV_4000,5,232,-1.5313421029312504e-17
