buyer,seller,symbol,burst,n,cell_mean
Mark 01,Mark 22,VEV_5300,1,132,-0.12121212121212122
Mark 01,Mark 22,VEV_5400,1,263,0.039923954372623575
Mark 01,Mark 22,VEV_5500,1,299,0.02508361204013378
Mark 01,Mark 22,VEV_6000,1,317,0.0
Mark 01,Mark 22,VEV_6500,1,317,0.0
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,0,245,-0.00816326530612245
Mark 14,Mark 22,VEV_5200,1,33,0.015151515151515152
Mark 14,Mark 22,VEV_5300,1,30,-0.21666666666666667
Mark 14,Mark 38,HYDROGEL_PACK,0,469,0.4605543710021322
Mark 14,Mark 38,HYDROGEL_PACK,1,27,-3.7037037037037037
Mark 14,Mark 38,VEV_4000,0,217,-0.21428571428571427
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,0,300,-0.23666666666666666
Mark 38,Mark 14,HYDROGEL_PACK,0,472,-0.4078389830508475
Mark 38,Mark 14,HYDROGEL_PACK,1,35,0.38571428571428573
Mark 38,Mark 14,VEV_4000,0,197,0.21065989847715735
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,0,231,-0.10606060606060606
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,0,316,0.6044303797468354
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,0,70,2.0214285714285714
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,0,84,1.5892857142857142
