Mark_role,Mark,aggressor_bucket,K,n,mean_fwd_mid,median,t_vs_0,frac_pos
buyer,Mark 01,aggr_sell,100,1599,-0.07754846779237023,0.0,-0.7912428023247836,0.23514696685428393
seller,Mark 22,aggr_sell,100,1430,0.005594405594405594,0.0,0.11742252023170792,0.2062937062937063
buyer,Mark 14,aggr_sell,100,1124,0.0066725978647686835,-1.0,0.01651490943877929,0.45907473309608543
seller,Mark 14,aggr_buy,100,1045,-0.0023923444976076554,0.0,-0.005427172969874761,0.49473684210526314
seller,Mark 38,aggr_sell,100,745,0.42818791946308726,-1.0,0.7393122306557383,0.47651006711409394
buyer,Mark 38,aggr_buy,100,733,-0.38267394270122784,0.0,-0.6428649728795648,0.4897680763983629
seller,Mark 55,aggr_sell,100,600,-0.9016666666666666,-1.0,-2.47741486449421,0.44
buyer,Mark 55,aggr_buy,100,598,0.5217391304347826,0.0,1.3837487419423442,0.4983277591973244
seller,Mark 01,aggr_buy,100,244,-0.17418032786885246,-0.5,-0.286911599253735,0.47540983606557374
buyer,Mark 67,aggr_buy,100,164,1.4603658536585367,1.0,1.9931684072091902,0.5426829268292683
seller,Mark 22,aggr_buy,100,109,1.4678899082568808,1.5,1.376521052823269,0.5596330275229358
seller,Mark 49,aggr_buy,100,104,1.9759615384615385,1.0,2.1727850443995993,0.5384615384615384
