buyer,seller,symbol,burst,n,mean_resid,std
Mark 38,Mark 14,HYDROGEL_PACK,1,35,-3.0451831532575723e-16,8.920470274372668
Mark 38,Mark 14,HYDROGEL_PACK,0,472,2.2486720583509526e-16,8.561720588701007
Mark 14,Mark 38,HYDROGEL_PACK,1,27,1.9737298215558337e-16,8.477639433850108
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,0,316,-1.12427648063307e-16,3.87157069863159
Mark 14,Mark 22,VEV_5200,1,33,-1.0765799026668185e-16,3.3622092078833754
Mark 38,Mark 14,VEV_4000,0,197,9.017039793909901e-17,4.1107174594831974
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,0,300,-8.918791631155424e-17,4.094084429181503
Mark 14,Mark 22,VEV_5300,1,30,6.661338147750939e-17,1.5518805795979704
Mark 14,Mark 38,HYDROGEL_PACK,0,469,-6.060065976631984e-17,8.656061096659963
Mark 01,Mark 22,VEV_5300,1,132,-5.719330732917473e-17,1.6567249170711236
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,0,70,5.075305255429287e-17,4.304055817520408
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,0,245,3.9877398435515824e-17,4.321829679257835
Mark 01,Mark 22,VEV_5400,1,263,3.0024567538579566e-17,0.7749188543558687
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,0,84,-2.114710523095536e-17,3.724843907367299
Mark 14,Mark 38,VEV_4000,0,217,1.6371952436868668e-17,4.515039535882495
Mark 01,Mark 22,VEV_5500,1,299,-2.9472893839338394e-18,0.41394270957593926
Mark 01,Mark 22,VEV_6000,1,317,0.0,0.0
Mark 01,Mark 22,VEV_6500,1,317,0.0,0.0
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,0,231,0.0,4.290612358825046
