symbol,aggressor_bucket,spread_bin,session_tert,burst,count,mean,median,t_vs_0,frac_pos,day
HYDROGEL_PACK,aggr_buy,wide,early,0,56,-0.19642857142857142,0.0,-0.15946536099972133,0.48214285714285715,1
HYDROGEL_PACK,aggr_buy,wide,late,0,71,-0.6267605633802817,1.0,-0.5218791884257368,0.5070422535211268,1
HYDROGEL_PACK,aggr_buy,wide,mid,0,46,-0.10869565217391304,1.0,-0.0853541196135747,0.5217391304347826,1
HYDROGEL_PACK,aggr_sell,wide,early,0,62,0.4274193548387097,0.5,0.375931165271152,0.5,1
HYDROGEL_PACK,aggr_sell,wide,late,0,58,1.2758620689655173,2.0,1.2203543143515512,0.603448275862069,1
HYDROGEL_PACK,aggr_sell,wide,mid,0,51,3.088235294117647,5.0,2.7131269680617196,0.7058823529411765,1
VELVETFRUIT_EXTRACT,aggr_buy,tight,early,0,24,1.2916666666666667,1.0,2.362832092820679,0.5833333333333334,1
VELVETFRUIT_EXTRACT,aggr_buy,tight,late,0,20,4.15,4.5,4.959732610357835,0.85,1
VELVETFRUIT_EXTRACT,aggr_buy,mid,early,0,59,0.940677966101695,1.0,1.5495876062880412,0.6101694915254238,1
VELVETFRUIT_EXTRACT,aggr_buy,mid,late,0,61,0.7622950819672131,0.5,1.2696714079404676,0.5081967213114754,1
VELVETFRUIT_EXTRACT,aggr_buy,mid,mid,0,52,-0.47115384615384615,-0.75,-1.0152028831176045,0.38461538461538464,1
VELVETFRUIT_EXTRACT,aggr_sell,mid,early,0,52,-0.2403846153846154,0.0,-0.49154675941054354,0.4230769230769231,1
VELVETFRUIT_EXTRACT,aggr_sell,mid,late,0,57,1.1140350877192982,1.0,2.0029025981085424,0.5789473684210527,1
VELVETFRUIT_EXTRACT,aggr_sell,mid,mid,0,70,-0.6642857142857143,-1.25,-1.27609134179897,0.35714285714285715,1
VEV_4000,aggr_buy,wide,early,0,31,0.08064516129032258,0.0,0.1192189560875298,0.3870967741935484,1
VEV_4000,aggr_buy,wide,mid,0,21,-0.8095238095238095,-1.0,-1.41876187276465,0.3333333333333333,1
VEV_4000,aggr_sell,wide,early,0,21,0.0,-1.0,0.0,0.38095238095238093,1
VEV_4000,aggr_sell,wide,late,0,31,0.25806451612903225,0.5,0.2849219187206412,0.5483870967741935,1
VEV_4000,aggr_sell,wide,mid,0,35,-0.42857142857142855,0.0,-0.643659319246323,0.4,1
VEV_5400,aggr_sell,tight,early,1,26,-0.019230769230769232,-0.25,-0.10170251181863346,0.38461538461538464,1
VEV_5400,aggr_sell,tight,late,1,29,0.06896551724137931,0.5,0.3791755125527499,0.5172413793103449,1
VEV_5400,aggr_sell,tight,mid,1,26,0.0,0.0,0.0,0.23076923076923078,1
VEV_5500,aggr_sell,tight,early,1,29,-0.10344827586206896,0.0,-1.5346466000079264,0.06896551724137931,1
VEV_5500,aggr_sell,tight,late,1,34,0.058823529411764705,0.0,0.6115044374768056,0.2647058823529412,1
VEV_5500,aggr_sell,tight,mid,1,29,-0.05172413793103448,0.0,-0.5321147126473109,0.13793103448275862,1
VEV_6000,aggr_sell,tight,early,1,31,0.0,0.0,,0.0,1
VEV_6000,aggr_sell,tight,late,1,35,0.0,0.0,,0.0,1
VEV_6000,aggr_sell,tight,mid,1,32,0.0,0.0,,0.0,1
VEV_6500,aggr_sell,tight,early,1,31,0.0,0.0,,0.0,1
VEV_6500,aggr_sell,tight,late,1,35,0.0,0.0,,0.0,1
VEV_6500,aggr_sell,tight,mid,1,32,0.0,0.0,,0.0,1
HYDROGEL_PACK,aggr_buy,wide,early,0,47,-0.8829787234042553,-1.0,-0.7893796187361379,0.40425531914893614,2
HYDROGEL_PACK,aggr_buy,wide,late,0,48,-0.3020833333333333,1.0,-0.31159502022619734,0.5416666666666666,2
HYDROGEL_PACK,aggr_buy,wide,mid,0,49,0.16326530612244897,1.0,0.14732003222649076,0.5306122448979592,2
HYDROGEL_PACK,aggr_sell,wide,early,0,33,-0.3484848484848485,-1.0,-0.21110081010452963,0.48484848484848486,2
HYDROGEL_PACK,aggr_sell,wide,late,0,55,0.6545454545454545,1.0,0.6388799184978574,0.509090909090909,2
HYDROGEL_PACK,aggr_sell,wide,mid,0,47,-0.4574468085106383,-1.0,-0.37032488016451287,0.425531914893617,2
VELVETFRUIT_EXTRACT,aggr_buy,mid,early,0,71,0.02112676056338028,0.0,0.04966821289636543,0.49295774647887325,2
VELVETFRUIT_EXTRACT,aggr_buy,mid,late,0,90,0.6833333333333333,1.0,1.5613646292950225,0.5222222222222223,2
VELVETFRUIT_EXTRACT,aggr_buy,mid,mid,0,70,0.5785714285714286,0.5,1.290843334681413,0.5142857142857142,2
VELVETFRUIT_EXTRACT,aggr_sell,mid,early,0,65,-0.7461538461538462,-0.5,-1.8105063433700377,0.4,2
VELVETFRUIT_EXTRACT,aggr_sell,mid,late,0,70,-0.24285714285714285,-0.75,-0.49199414791726065,0.38571428571428573,2
VELVETFRUIT_EXTRACT,aggr_sell,mid,mid,0,45,-0.9333333333333333,-1.5,-1.598754702107354,0.3333333333333333,2
VEV_4000,aggr_buy,wide,early,0,20,0.875,1.0,1.1322614422301072,0.6,2
VEV_4000,aggr_buy,wide,late,0,20,0.425,0.5,0.5408564546570964,0.55,2
VEV_4000,aggr_buy,wide,mid,0,20,0.825,1.5,0.9574483167524698,0.75,2
VEV_4000,aggr_sell,wide,early,0,23,-1.7173913043478262,-1.5,-1.8082792316097926,0.34782608695652173,2
VEV_5400,aggr_sell,tight,early,1,27,0.07407407407407407,0.0,0.429796101849687,0.37037037037037035,2
VEV_5400,aggr_sell,tight,mid,1,28,0.10714285714285714,0.0,0.8620436566990362,0.25,2
VEV_5500,aggr_sell,tight,early,1,29,-0.034482758620689655,0.0,-0.49343516379516883,0.13793103448275862,2
VEV_5500,aggr_sell,tight,late,1,27,0.12962962962962962,0.0,1.4265846522264465,0.2962962962962963,2
VEV_5500,aggr_sell,tight,mid,1,35,0.014285714285714285,0.0,0.19723488999328598,0.11428571428571428,2
VEV_6000,aggr_sell,tight,early,1,31,0.0,0.0,,0.0,2
VEV_6000,aggr_sell,tight,late,1,28,0.0,0.0,,0.0,2
VEV_6000,aggr_sell,tight,mid,1,36,0.0,0.0,,0.0,2
VEV_6500,aggr_sell,tight,early,1,31,0.0,0.0,,0.0,2
VEV_6500,aggr_sell,tight,late,1,28,0.0,0.0,,0.0,2
VEV_6500,aggr_sell,tight,mid,1,36,0.0,0.0,,0.0,2
HYDROGEL_PACK,aggr_buy,wide,early,0,43,-0.023255813953488372,2.0,-0.01895865394218756,0.5813953488372093,3
HYDROGEL_PACK,aggr_buy,wide,late,0,58,-0.6982758620689655,-1.75,-0.5765424953818936,0.4482758620689655,3
HYDROGEL_PACK,aggr_buy,wide,mid,0,46,-0.2717391304347826,0.5,-0.20560418734601163,0.5,3
HYDROGEL_PACK,aggr_sell,wide,early,0,67,-1.8805970149253732,-2.0,-1.7027380377952044,0.373134328358209,3
HYDROGEL_PACK,aggr_sell,wide,late,0,49,1.4387755102040816,3.0,1.1295825240770863,0.5918367346938775,3
HYDROGEL_PACK,aggr_sell,wide,mid,0,45,-0.3333333333333333,-1.0,-0.24968100929802506,0.4444444444444444,3
VELVETFRUIT_EXTRACT,aggr_buy,mid,early,0,67,0.17164179104477612,-0.5,0.3532878718039678,0.44776119402985076,3
VELVETFRUIT_EXTRACT,aggr_buy,mid,late,0,74,0.3108108108108108,0.5,0.6378010622315746,0.5135135135135135,3
VELVETFRUIT_EXTRACT,aggr_buy,mid,mid,0,61,0.7459016393442623,1.0,1.2878232465776924,0.5737704918032787,3
