timestamp,buyer,seller,symbol,currency,price,quantity,day,aggressor_bucket,bbo_bid,bbo_ask,half_spread,spread,burst_n,burst,fwd_mid_k5,fwd_extract_k5,fwd_hydro_k5,fwd_mid_k20,fwd_extract_k20,fwd_hydro_k20,fwd_mid_k100,fwd_extract_k100,fwd_hydro_k100,session_tert,spread_bin
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,aggr_sell,18.0,19.0,0.5,1.0,4,1,-0.5,-2.5,-2.0,-0.5,-4.0,-23.5,-3.5,-20.0,-7.0,early,tight
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,aggr_sell,8.0,9.0,0.5,1.0,4,1,0.0,-2.5,-2.0,-0.5,-4.0,-23.5,-2.0,-20.0,-7.0,early,tight
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,aggr_sell,0.0,1.0,0.5,1.0,4,1,0.0,-2.5,-2.0,0.0,-4.0,-23.5,0.0,-20.0,-7.0,early,tight
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,aggr_sell,0.0,1.0,0.5,1.0,4,1,0.0,-2.5,-2.0,0.0,-4.0,-23.5,0.0,-20.0,-7.0,early,tight
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,aggr_buy,9952.0,9960.0,4.0,8.0,1,0,-4.0,1.0,-4.0,-7.0,-3.5,-7.0,1.0,-17.5,1.0,early,mid
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,aggr_buy,1243.0,1264.0,10.5,21.0,1,0,0.0,0.0,-11.0,-7.0,-7.0,-13.0,-20.0,-20.0,-1.0,early,wide
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,aggr_buy,5250.0,5255.0,2.5,5.0,1,0,-2.0,-2.0,-2.0,-5.0,-5.0,-4.0,-21.0,-21.0,6.0,early,mid
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,aggr_buy,9939.0,9955.0,8.0,16.0,1,0,-2.0,-2.5,-2.0,-2.0,-7.0,-2.0,9.0,-20.0,9.0,early,wide
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,aggr_buy,5243.0,5244.0,0.5,1.0,1,0,1.5,1.5,-0.5,0.0,0.0,-5.0,-15.0,-15.0,0.0,early,tight
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,aggr_sell,16.0,18.0,1.0,2.0,4,1,-0.5,-2.5,0.0,-1.0,-5.0,2.0,-3.5,-17.5,1.0,early,tight
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,aggr_sell,7.0,8.0,0.5,1.0,4,1,0.0,-2.5,0.0,0.0,-5.0,2.0,-1.0,-17.5,1.0,early,tight
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,aggr_sell,0.0,1.0,0.5,1.0,4,1,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0,early,tight
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,aggr_sell,0.0,1.0,0.5,1.0,4,1,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0,early,tight
10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5240.0,12,1,aggr_buy,5239.0,5240.0,0.5,1.0,1,0,4.0,4.0,-2.0,2.0,2.0,8.0,-11.0,-11.0,7.0,early,tight
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,aggr_sell,7.0,8.0,0.5,1.0,3,1,0.0,0.0,2.0,-1.0,-3.0,15.0,-1.0,-12.0,7.0,early,tight
