day,timestamp,fwd_mid_k20,fwd20,roll_tight_rate
1,16700,2.0,2.0,0.13690476190476192
1,17300,-3.0,-3.0,0.13793103448275862
1,50200,0.0,0.0,0.22
1,54400,1.0,1.0,0.215
1,70500,-3.0,-3.0,0.1575
1,78300,-2.0,-2.0,0.145
1,89300,-1.0,-1.0,0.14
1,102500,4.0,4.0,0.145
1,102800,3.0,3.0,0.1425
1,133100,-1.5,-1.5,0.0375
1,137000,-4.0,-4.0,0.03
1,137300,-3.0,-3.0,0.03
1,147900,-0.5,-0.5,0.0125
1,154100,-4.5,-4.5,0.0175
1,156200,8.0,8.0,0.02
1,167600,2.0,2.0,0.0175
1,172400,-4.0,-4.0,0.0375
1,196700,6.0,6.0,0.12
1,222900,4.0,4.0,0.1525
1,250600,4.5,4.5,0.065
1,265900,-4.0,-4.0,0.05
1,271600,2.5,2.5,0.04
1,297500,-2.5,-2.5,0.0225
1,325300,5.0,5.0,0.0475
1,328000,-7.0,-7.0,0.045
1,328400,-6.0,-6.0,0.045
1,331400,-1.0,-1.0,0.055
1,334900,5.0,5.0,0.0625
1,356800,4.0,4.0,0.095
1,358300,1.0,1.0,0.095
1,365000,-2.0,-2.0,0.085
1,374800,-6.0,-6.0,0.0775
1,376300,3.0,3.0,0.08
1,384200,-5.0,-5.0,0.0925
1,384500,-3.0,-3.0,0.0925
1,390800,0.0,0.0,0.09
1,399900,3.0,3.0,0.0975
1,444000,7.0,7.0,0.25
1,448700,0.0,0.0,0.2475
1,459900,6.0,6.0,0.22
1,464200,3.0,3.0,0.19
1,475500,4.0,4.0,0.12
1,480900,-7.0,-7.0,0.095
1,491100,-2.0,-2.0,0.1025
1,494700,3.0,3.0,0.1
1,496300,1.0,1.0,0.105
1,503500,7.0,7.0,0.1175
1,509100,6.0,6.0,0.105
1,517900,0.0,0.0,0.095
1,519100,1.5,1.5,0.0925
1,521100,-0.5,-0.5,0.0925
1,525500,-8.0,-8.0,0.085
1,550900,0.0,0.0,0.145
1,556900,-2.5,-2.5,0.1925
1,569900,1.0,1.0,0.2875
1,589100,-3.0,-3.0,0.2725
1,599600,-3.0,-3.0,0.24
1,600100,-4.5,-4.5,0.235
1,601200,-2.0,-2.0,0.2375
1,622800,0.0,0.0,0.325
1,647200,-6.0,-6.0,0.395
1,671200,3.0,3.0,0.4975
1,675700,-2.5,-2.5,0.495
1,680600,2.5,2.5,0.49
1,682600,4.0,4.0,0.485
1,688900,4.0,4.0,0.455
1,696000,-2.0,-2.0,0.405
1,719600,0.5,0.5,0.1825
1,721900,6.0,6.0,0.16
1,743600,7.0,7.0,0.0375
1,747400,-1.0,-1.0,0.0275
1,747700,3.0,3.0,0.0275
1,753400,-0.5,-0.5,0.0225
1,762700,-1.5,-1.5,0.025
1,764300,2.5,2.5,0.025
1,775300,3.0,3.0,0.02
1,783300,-5.0,-5.0,0.02
1,786900,0.5,0.5,0.025
1,789200,0.5,0.5,0.0225
1,804900,9.5,9.5,0.055
1,821300,5.0,5.0,0.165
1,849200,-11.5,-11.5,0.19
1,855500,-9.0,-9.0,0.1425
1,870100,-2.0,-2.0,0.09
1,881400,9.0,9.0,0.13
1,886300,-6.0,-6.0,0.1425
1,915200,-3.5,-3.5,0.14
1,925400,3.0,3.0,0.085
1,937700,3.5,3.5,0.06
1,968200,-7.0,-7.0,0.0625
1,997300,-1.0,-1.0,0.035
2,1300,11.5,11.5,0.07142857142857142
2,39500,-13.0,-13.0,0.027777777777777776
2,50200,2.0,2.0,0.055
2,98600,-6.0,-6.0,0.0625
2,103300,-4.0,-4.0,0.045
2,103700,-5.5,-5.5,0.045
2,109100,-6.5,-6.5,0.0275
2,111900,-5.0,-5.0,0.0275
2,140900,1.0,1.0,0.0475
2,144400,0.5,0.5,0.05
2,145800,-3.5,-3.5,0.0475
2,169200,2.5,2.5,0.035
2,192700,-1.5,-1.5,0.01
2,196800,1.0,1.0,0.015
2,200400,-2.0,-2.0,0.0175
2,201500,2.0,2.0,0.0175
2,202300,-1.0,-1.0,0.0175
2,212100,0.5,0.5,0.0225
2,249800,-4.5,-4.5,0.015
2,266800,-2.5,-2.5,0.0225
2,277900,-1.0,-1.0,0.03
2,286900,-3.0,-3.0,0.03
2,293600,-1.5,-1.5,0.03
2,301700,2.0,2.0,0.03
2,303100,1.0,1.0,0.03
2,328700,-3.0,-3.0,0.02
2,340500,3.0,3.0,0.015
2,370700,2.0,2.0,0.0375
2,390200,5.0,5.0,0.14
2,397300,-1.5,-1.5,0.1825
2,406300,-3.0,-3.0,0.2575
2,419300,-1.5,-1.5,0.35
2,438300,-2.0,-2.0,0.3825
2,449500,-9.0,-9.0,0.35
2,543900,-6.0,-6.0,0.2675
2,563200,-2.5,-2.5,0.3325
2,571300,4.5,4.5,0.3725
2,573500,-2.5,-2.5,0.3675
2,587500,3.5,3.5,0.4325
2,605100,6.0,6.0,0.4425
2,610900,-7.5,-7.5,0.4125
2,624000,6.5,6.5,0.395
2,624200,8.0,8.0,0.3925
2,635100,-1.0,-1.0,0.3075
2,648700,-1.5,-1.5,0.305
2,690500,-3.0,-3.0,0.0775
2,699800,-11.0,-11.0,0.045
2,711200,-7.0,-7.0,0.0275
2,727900,-8.0,-8.0,0.1725
2,796800,4.0,4.0,0.4275
2,805600,4.0,4.0,0.3475
2,808200,-9.0,-9.0,0.3225
2,809100,-6.0,-6.0,0.31
2,819600,2.0,2.0,0.3075
2,823600,5.0,5.0,0.285
2,850200,-3.0,-3.0,0.1925
2,879100,4.0,4.0,0.1525
2,880000,-2.0,-2.0,0.1575
2,884100,6.5,6.5,0.185
2,961700,-4.0,-4.0,0.02
2,965600,-4.5,-4.5,0.015
2,975900,-5.0,-5.0,0.0275
2,978200,5.0,5.0,0.0325
2,982500,0.0,0.0,0.0325
3,1700,-6.0,-6.0,0.05555555555555555
3,43600,-7.5,-7.5,0.05
3,60600,1.0,1.0,0.13
3,76100,0.0,0.0,0.19
3,106800,5.0,5.0,0.2175
3,108800,-4.0,-4.0,0.2325
3,129800,6.0,6.0,0.34
3,145500,-1.0,-1.0,0.3775
3,148800,0.0,0.0,0.3725
3,167900,1.0,1.0,0.3925
3,176700,-4.0,-4.0,0.385
3,181200,1.0,1.0,0.3875
3,182100,0.0,0.0,0.3825
3,183100,-1.0,-1.0,0.385
3,191900,0.0,0.0,0.3525
3,196600,-5.0,-5.0,0.3275
3,233100,3.0,3.0,0.4475
3,240700,-2.0,-2.0,0.4775
3,241200,3.5,3.5,0.48
3,263200,8.0,8.0,0.49
3,303900,4.0,4.0,0.4975
3,319100,-2.5,-2.5,0.555
3,323600,1.5,1.5,0.58
3,358100,0.0,0.0,0.6225
3,373200,5.5,5.5,0.6325
3,379400,4.0,4.0,0.6125
3,399000,4.0,4.0,0.4775
3,402000,-1.0,-1.0,0.4375
3,406900,1.5,1.5,0.4175
3,410800,0.0,0.0,0.405
3,422800,-0.5,-0.5,0.45
3,428600,-5.5,-5.5,0.4725
3,434200,4.5,4.5,0.5225
3,452800,2.0,2.0,0.6775
3,465500,-2.0,-2.0,0.7575
3,480000,-3.0,-3.0,0.775
3,491500,-0.5,-0.5,0.7875
