timestamp,s5200,mid5200,s5300,mid5300,m_ext,s_ext,day,tight,m_ext_f,fwd_extract_k
0,3.0,95.5,2.0,47.0,5245.0,6.0,1,False,5251.5,6.5
100,3.0,96.5,2.0,47.0,5245.5,5.0,1,False,5250.0,4.5
200,3.0,96.5,2.0,47.0,5246.5,5.0,1,False,5248.5,2.0
300,3.0,97.5,2.0,48.0,5247.5,5.0,1,False,5249.5,2.0
400,3.0,97.5,2.0,48.0,5247.5,5.0,1,False,5250.5,3.0
500,2.0,97.0,2.0,48.0,5247.5,5.0,1,True,5251.5,4.0
600,3.0,96.5,2.0,48.0,5245.0,2.0,1,False,5249.0,4.0
700,3.0,95.5,2.0,47.0,5245.5,5.0,1,False,5248.5,3.0
800,2.0,96.0,2.0,47.0,5245.5,5.0,1,True,5248.5,3.0
900,3.0,95.5,2.0,47.0,5245.5,5.0,1,False,5249.5,4.0
1000,3.0,96.5,2.0,48.0,5247.0,6.0,1,False,5250.0,3.0
1100,2.0,97.0,2.0,48.0,5247.5,5.0,1,True,5251.5,4.0
1200,3.0,97.5,3.0,48.5,5248.5,5.0,1,False,5253.0,4.5
1300,3.0,98.5,2.0,49.0,5249.5,5.0,1,False,5254.0,4.5
1400,3.0,99.5,2.0,49.0,5251.0,6.0,1,False,5253.5,2.5
1500,3.0,99.5,2.0,49.0,5250.5,5.0,1,False,5253.5,3.0
1600,3.0,98.5,2.0,49.0,5250.5,5.0,1,False,5253.5,3.0
1700,3.0,99.5,3.0,49.5,5251.5,5.0,1,False,5252.0,0.5
1800,3.0,99.5,2.0,49.0,5250.5,5.0,1,False,5251.5,1.0
1900,3.0,99.5,2.0,49.0,5250.5,5.0,1,False,5251.5,1.0
2000,3.0,98.5,2.0,49.0,5251.5,3.0,1,False,5252.5,1.0
2100,3.0,98.5,2.0,49.0,5250.0,6.0,1,False,5252.0,2.0
2200,3.0,97.5,2.0,48.0,5248.5,5.0,1,False,5252.5,4.0
2300,3.0,98.5,2.0,49.0,5249.5,5.0,1,False,5252.5,3.0
2400,3.0,98.5,2.0,49.0,5250.5,5.0,1,False,5254.5,4.0
2500,3.0,99.5,2.0,49.0,5251.5,5.0,1,False,5254.5,3.0
2600,3.0,98.5,3.0,48.5,5249.0,6.0,1,False,5253.5,4.5
2700,3.0,98.5,3.0,48.5,5248.5,5.0,1,False,5253.0,4.5
2800,3.0,97.5,2.0,48.0,5248.5,5.0,1,False,5251.5,3.0
2900,3.0,98.5,3.0,48.5,5249.5,5.0,1,False,5252.5,3.0
3000,3.0,98.5,2.0,49.0,5250.0,6.0,1,False,5252.0,2.0
3100,3.0,99.5,3.0,49.5,5251.5,5.0,1,False,5252.0,0.5
3200,3.0,100.5,2.0,50.0,5253.0,6.0,1,False,5251.5,-1.5
3300,3.0,101.5,2.0,50.0,5254.0,6.0,1,False,5253.5,-0.5
3400,3.0,101.5,2.0,50.0,5253.5,5.0,1,False,5254.0,0.5
3500,3.0,101.5,2.0,50.0,5253.5,5.0,1,False,5254.5,1.0
3600,3.0,100.5,2.0,50.0,5253.5,5.0,1,False,5253.0,-0.5
3700,3.0,99.5,3.0,49.5,5252.0,6.0,1,False,5252.0,0.0
3800,3.0,99.5,3.0,49.5,5251.5,5.0,1,False,5253.5,2.0
3900,3.0,99.5,3.0,49.5,5251.5,5.0,1,False,5253.5,2.0
4000,3.0,100.5,2.0,50.0,5252.5,5.0,1,False,5253.5,1.0
4100,3.0,100.5,3.0,49.5,5252.0,6.0,1,False,5252.5,0.5
4200,3.0,100.5,2.0,50.0,5252.5,5.0,1,False,5252.5,0.0
4300,3.0,100.5,2.0,50.0,5252.5,5.0,1,False,5252.5,0.0
4400,3.0,101.5,2.0,51.0,5254.5,5.0,1,False,5252.0,-2.5
4500,1.0,100.5,1.0,49.5,5254.5,5.0,1,True,5250.5,-4.0
4600,3.0,101.5,2.0,50.0,5253.5,5.0,1,False,5250.5,-3.0
4700,3.0,100.5,2.0,50.0,5253.0,6.0,1,False,5250.0,-3.0
4800,3.0,99.5,2.0,49.0,5251.5,5.0,1,False,5248.5,-3.0
4900,3.0,100.5,3.0,49.5,5252.5,5.0,1,False,5247.5,-5.0
5000,3.0,99.5,2.0,49.0,5252.0,6.0,1,False,5248.5,-3.5
5100,3.0,100.5,2.0,49.0,5252.0,6.0,1,False,5248.5,-3.5
5200,3.0,100.5,2.0,50.0,5251.5,1.0,1,False,5247.5,-4.0
5300,3.0,101.5,2.0,50.0,5253.5,5.0,1,False,5246.5,-7.0
5400,3.0,101.5,2.0,51.0,5254.0,2.0,1,False,5246.5,-7.5
5500,3.0,101.5,2.0,50.0,5254.5,5.0,1,False,5246.5,-8.0
5600,3.0,100.5,2.0,50.0,5253.0,6.0,1,False,5246.0,-7.0
