U,role,product,k,spread_q,count,mean,std
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,5,tight_le2,6,2.6666666666666665,1.888562063228706
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,20,tight_le2,6,3.5,4.9396356140913875
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,100,tight_le2,6,7.166666666666667,10.395511852076678
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,5,m3_5,8,-1.875,3.2376137597222523
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,5,tight_le2,3,-3.6666666666666665,1.7559422921421233
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,20,m3_5,8,-3.75,5.694608979427072
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,20,tight_le2,3,-1.3333333333333333,4.536885862938733
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,100,m3_5,8,-3.8125,3.565083649589646
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,100,tight_le2,2,-6.5,8.48528137423857
Mark 22,aggr_seller,VEV_5200,5,tight_le2,44,-0.22727272727272727,1.0026392233810508
Mark 22,aggr_seller,VEV_5200,20,tight_le2,44,0.22727272727272727,3.348818857126129
Mark 22,aggr_seller,VEV_5200,100,tight_le2,44,0.625,6.260920691637672
Mark 22,aggr_seller,VEV_5300,5,tight_le2,160,-0.203125,0.7756046028744287
Mark 22,aggr_seller,VEV_5300,20,tight_le2,160,-0.14375,1.642964321282203
Mark 22,aggr_seller,VEV_5300,100,tight_le2,159,0.14779874213836477,3.224978392195054
Mark 22,aggr_seller,VEV_5400,5,tight_le2,275,-0.03090909090909091,0.3891187532285407
Mark 22,aggr_seller,VEV_5400,20,tight_le2,275,0.02,0.7903154687502865
Mark 22,aggr_seller,VEV_5400,100,tight_le2,272,-0.04044117647058824,1.5107916195029132
Mark 22,aggr_seller,VEV_5500,5,tight_le2,306,-0.026143790849673203,0.23809937086003188
Mark 22,aggr_seller,VEV_5500,20,tight_le2,306,0.014705882352941176,0.4214876990189641
Mark 22,aggr_seller,VEV_5500,100,tight_le2,304,-0.03618421052631579,0.7154632778333826
Mark 22,aggr_seller,VEV_6000,5,tight_le2,317,0.0,0.0
Mark 22,aggr_seller,VEV_6000,20,tight_le2,317,0.0,0.0
Mark 22,aggr_seller,VEV_6000,100,tight_le2,314,0.0,0.0
Mark 22,aggr_seller,VEV_6500,5,tight_le2,317,0.0,0.0
Mark 22,aggr_seller,VEV_6500,20,tight_le2,317,0.0,0.0
Mark 22,aggr_seller,VEV_6500,100,tight_le2,314,0.0,0.0
Mark 38,aggr_buyer,HYDROGEL_PACK,5,m6_10,15,-0.16666666666666666,5.924123403106834
Mark 38,aggr_buyer,HYDROGEL_PACK,5,wide,500,-0.118,4.1684322778846505
Mark 38,aggr_buyer,HYDROGEL_PACK,20,m6_10,15,-0.5333333333333333,5.8323808746228725
Mark 38,aggr_buyer,HYDROGEL_PACK,20,wide,500,-0.321,8.609978074588216
Mark 38,aggr_buyer,HYDROGEL_PACK,100,m6_10,14,0.9285714285714286,18.251298312993793
Mark 38,aggr_buyer,HYDROGEL_PACK,100,wide,498,-0.5903614457831325,18.370950394036786
Mark 38,aggr_buyer,VEV_4000,5,m6_10,2,4.75,1.0606601717798212
Mark 38,aggr_buyer,VEV_4000,5,wide,207,0.13043478260869565,2.21532423372559
Mark 38,aggr_buyer,VEV_4000,20,m6_10,2,5.0,7.7781745930520225
Mark 38,aggr_buyer,VEV_4000,20,wide,205,0.2146341463414634,4.0837171273582715
