product,buyer,seller,n,m5,m20
VEV_6000,Mark 01,Mark 22,314,0.0,0.0
VEV_6500,Mark 01,Mark 22,314,0.0,0.0
VEV_5500,Mark 01,Mark 22,299,-0.020066889632107024,0.02508361204013378
VEV_5400,Mark 01,Mark 22,263,-0.013307984790874524,0.039923954372623575
VEV_5300,Mark 01,Mark 22,132,-0.14772727272727273,-0.12121212121212122
HYDROGEL_PACK,Mark 14,Mark 38,44,1.3068181818181819,-0.2727272727272727
HYDROGEL_PACK,Mark 38,Mark 14,42,-1.1071428571428572,-1.630952380952381
VEV_5200,Mark 14,Mark 22,33,-0.24242424242424243,0.015151515151515152
VELVETFRUIT_EXTRACT,Mark 14,Mark 55,30,-0.6333333333333333,-0.65
VEV_5300,Mark 14,Mark 22,29,-0.46551724137931033,-0.1896551724137931
VELVETFRUIT_EXTRACT,Mark 55,Mark 14,22,-0.045454545454545456,0.13636363636363635
VELVETFRUIT_EXTRACT,Mark 55,Mark 01,22,-0.22727272727272727,-0.7727272727272727
VELVETFRUIT_EXTRACT,Mark 01,Mark 55,16,0.84375,1.40625
VEV_4000,Mark 14,Mark 38,13,0.038461538461538464,-0.6538461538461539
VEV_5400,Mark 14,Mark 22,12,-0.4166666666666667,-0.4166666666666667
VEV_5200,Mark 01,Mark 22,11,-0.18181818181818182,0.8636363636363636
VEV_4000,Mark 38,Mark 14,8,0.0,0.75
VELVETFRUIT_EXTRACT,Mark 67,Mark 22,7,1.6428571428571428,1.6428571428571428
VELVETFRUIT_EXTRACT,Mark 67,Mark 49,5,1.8,3.1
VEV_5500,Mark 14,Mark 22,5,-0.4,-0.4
VEV_4500,Mark 38,Mark 22,2,3.0,3.75
VEV_5100,Mark 38,Mark 22,2,0.25,1.0
VEV_5200,Mark 38,Mark 22,2,0.25,0.25
VEV_5000,Mark 38,Mark 22,2,0.75,1.5
VEV_4000,Mark 38,Mark 22,2,4.75,5.0
HYDROGEL_PACK,Mark 22,Mark 38,1,-2.0,3.0
VELVETFRUIT_EXTRACT,Mark 49,Mark 22,1,-3.5,-6.5
VEV_5000,Mark 22,Mark 38,1,2.5,5.5
VEV_4500,Mark 22,Mark 38,1,0.0,3.0
VEV_4000,Mark 22,Mark 38,1,-1.5,1.0
VELVETFRUIT_EXTRACT,Mark 55,Mark 49,1,1.5,0.0
VEV_5200,Mark 22,Mark 38,1,2.0,3.5
VEV_5100,Mark 22,Mark 38,1,2.5,4.5
VEV_5300,Mark 22,Mark 38,1,0.5,1.5
VEV_5300,Mark 38,Mark 22,1,0.5,2.5
