regime,lag,leg,corr_fwd5,n
all,0,VELVETFRUIT_EXTRACT,0.04221905294954884,29985
all,0,HYDROGEL_PACK,0.0020899400742025107,29985
all,0,VEV_5200,0.001181286716405838,29985
all,0,VEV_5300,0.002671512930490018,29985
all,0,VEV_4000,0.00875835388954154,29985
all,0,VEV_6500,-0.002906536025442936,29985
all,1,VELVETFRUIT_EXTRACT,0.000962837621048624,29982
all,1,HYDROGEL_PACK,0.004227619670873637,29982
all,1,VEV_5200,0.0045105530820824195,29982
all,1,VEV_5300,0.004816073412263803,29982
all,1,VEV_4000,0.002171158637800806,29982
all,1,VEV_6500,0.0032166770319296844,29982
all,2,VELVETFRUIT_EXTRACT,0.004538714393131696,29979
all,2,HYDROGEL_PACK,0.003944640033740714,29979
all,2,VEV_5200,-0.004096915252948397,29979
all,2,VEV_5300,0.007171636270396019,29979
all,2,VEV_4000,-0.0036814194949230704,29979
all,2,VEV_6500,0.0055703402700415985,29979
all,3,VELVETFRUIT_EXTRACT,0.008064306651573084,29976
all,3,HYDROGEL_PACK,0.004208240000414374,29976
all,3,VEV_5200,-0.0007665147105500396,29976
all,3,VEV_5300,-0.0009148259075935107,29976
all,3,VEV_4000,-0.0031516983644165665,29976
all,3,VEV_6500,-0.0006653200329266881,29976
all,4,VELVETFRUIT_EXTRACT,0.008259781613221454,29973
all,4,HYDROGEL_PACK,0.00038169646713145494,29973
all,4,VEV_5200,-0.007737454586662699,29973
all,4,VEV_5300,-0.004241621739042981,29973
all,4,VEV_4000,-0.005181181545994447,29973
all,4,VEV_6500,-0.0011067048267955802,29973
all,5,VELVETFRUIT_EXTRACT,0.004651081781209377,29970
all,5,HYDROGEL_PACK,-0.0003310380228023028,29970
all,5,VEV_5200,-0.010853308109035214,29970
all,5,VEV_5300,-0.0026613220332282203,29970
all,5,VEV_4000,-0.0021805935975777926,29970
all,5,VEV_6500,-0.0004690097232011052,29970
all,6,VELVETFRUIT_EXTRACT,0.006215560808273443,29967
all,6,HYDROGEL_PACK,-0.0018638244027963703,29967
all,6,VEV_5200,-0.006891470376900863,29967
all,6,VEV_5300,-0.006738664670546509,29967
all,6,VEV_4000,-0.000974569710129056,29967
all,6,VEV_6500,-0.005734833455145976,29967
all,7,VELVETFRUIT_EXTRACT,0.005400438723701802,29964
all,7,HYDROGEL_PACK,-0.0021469147227473487,29964
all,7,VEV_5200,-0.006366697816863074,29964
