buyer,seller,aggr,n,m5,m20
Mark 49,Mark 22,sell_aggr,11,-2.3636363636363638,-3.090909090909091
Mark 22,Mark 38,sell_aggr,17,-1.3823529411764706,-2.676470588235294
Mark 22,Mark 49,sell_aggr,1,-1.0,-2.0
Mark 49,Mark 55,sell_aggr,5,-1.7,-1.3
Mark 14,Mark 55,sell_aggr,316,-0.03322784810126582,-0.23734177215189872
Mark 38,Mark 14,buy_aggr,714,-0.08403361344537816,-0.19607843137254902
Mark 14,Mark 22,sell_aggr,80,-0.35,-0.18125
Mark 01,Mark 55,sell_aggr,260,0.2903846153846154,0.0057692307692307696
Mark 55,Mark 01,buy_aggr,244,-0.0020491803278688526,0.006147540983606557
Mark 01,Mark 22,sell_aggr,1339,-0.02315160567587752,0.008588498879761016
Mark 14,Mark 38,sell_aggr,728,-0.003434065934065934,0.10233516483516483
Mark 22,Mark 55,sell_aggr,18,-1.3888888888888888,0.5277777777777778
Mark 55,Mark 14,buy_aggr,331,0.26132930513595165,0.5755287009063444
Mark 49,Mark 22,buy_aggr,1,3.5,1.5
Mark 67,Mark 49,buy_aggr,89,1.8764044943820224,1.6348314606741574
Mark 38,Mark 22,buy_aggr,19,2.3157894736842106,1.894736842105263
Mark 67,Mark 22,buy_aggr,75,2.06,2.026666666666667
Mark 55,Mark 22,buy_aggr,14,1.7142857142857142,2.0357142857142856
Mark 55,Mark 49,buy_aggr,9,1.0,2.6666666666666665
Mark 22,Mark 49,buy_aggr,6,2.6666666666666665,3.5
Mark 67,Mark 55,sell_aggr,1,-0.5,7.0
