day,timestamp,n_vev,joint_tight,s_ext,s_ext_bucket,fwd20_ex
1,4500,4,True,5.0,mid,-4.0
1,9600,4,True,5.0,mid,-5.0
1,11800,3,True,5.0,mid,-3.0
1,14800,5,True,5.0,mid,-4.0
1,16700,5,True,5.0,mid,-4.5
1,38500,3,True,5.0,mid,2.0
1,40400,5,True,5.0,mid,-2.0
1,43400,4,True,5.0,mid,8.5
1,50700,4,True,6.0,mid,2.0
1,52800,4,True,5.0,mid,-3.0
1,74100,5,True,5.0,mid,3.0
1,85300,4,True,6.0,mid,4.5
1,86100,4,True,6.0,mid,3.5
1,89800,4,True,5.0,mid,-2.0
1,120300,4,True,5.0,mid,6.5
1,127200,3,True,6.0,mid,0.5
1,135900,5,True,6.0,mid,-5.5
1,145500,4,True,5.0,mid,7.0
1,150600,5,True,5.0,mid,-9.0
1,153000,4,True,5.0,mid,-3.0
1,170400,4,True,5.0,mid,-1.0
1,170500,3,True,5.0,mid,1.0
1,172500,5,True,5.0,mid,-5.5
1,190100,5,True,5.0,mid,-1.5
1,195600,5,True,5.0,mid,1.0
1,235300,4,True,5.0,mid,5.0
1,252500,5,True,5.0,mid,0.0
1,304000,4,True,6.0,mid,-1.5
1,310100,3,True,5.0,mid,-4.0
1,322000,4,True,5.0,mid,2.0
1,322600,3,True,5.0,mid,-4.0
1,350300,4,True,5.0,mid,-1.5
1,376600,5,True,5.0,mid,2.0
1,377900,3,True,5.0,mid,3.0
1,399700,4,True,5.0,mid,5.0
1,410400,4,True,5.0,mid,0.0
1,428000,4,True,5.0,mid,-2.0
1,437100,4,True,5.0,mid,5.0
1,455700,4,True,5.0,mid,-5.0
1,460400,4,True,5.0,mid,6.0
1,476500,4,True,5.0,mid,-3.0
1,489700,5,True,5.0,mid,5.0
1,502700,3,True,5.0,mid,5.0
1,519500,5,True,5.0,mid,0.0
1,524000,3,True,5.0,mid,-5.0
1,547600,3,True,3.0,mid,2.5
1,548400,3,True,5.0,mid,-2.0
1,553100,4,True,5.0,mid,2.0
1,564300,5,True,6.0,mid,4.5
1,567200,4,True,2.0,tight,4.5
1,568900,5,True,5.0,mid,-2.0
1,574800,4,True,6.0,mid,1.0
1,575800,3,True,2.0,tight,3.5
1,588200,5,True,5.0,mid,-4.0
1,604600,5,True,6.0,mid,-4.5
1,617900,5,True,6.0,mid,0.0
1,618300,5,True,6.0,mid,-1.5
1,624400,5,True,5.0,mid,-7.0
1,631700,3,True,5.0,mid,-3.0
1,636100,4,True,5.0,mid,-11.0
1,642100,5,True,5.0,mid,-2.0
1,654200,4,True,5.0,mid,-1.0
1,674000,5,True,5.0,mid,5.0
1,684000,4,True,6.0,mid,2.5
1,701200,4,True,5.0,mid,8.0
1,703200,4,True,5.0,mid,3.5
1,710500,4,True,5.0,mid,6.0
1,715000,4,True,5.0,mid,2.0
1,720500,4,True,5.0,mid,-3.0
1,725000,5,True,5.0,mid,-8.0
1,735100,3,True,5.0,mid,-8.0
1,741900,4,True,5.0,mid,4.0
1,746300,3,True,6.0,mid,-4.5
1,754200,4,True,5.0,mid,5.0
1,760000,4,True,5.0,mid,-4.0
1,785800,4,True,5.0,mid,4.0
1,798100,4,True,5.0,mid,-4.0
1,800400,4,True,5.0,mid,-5.5
1,801800,4,True,5.0,mid,-6.0
1,807800,5,True,6.0,mid,-4.5
1,812600,5,True,6.0,mid,-6.0
1,813000,3,True,5.0,mid,-4.0
1,824800,3,True,5.0,mid,-4.0
1,851200,4,True,5.0,mid,9.0
1,865400,4,True,6.0,mid,-5.5
1,868800,3,True,5.0,mid,-4.0
1,901100,4,True,2.0,tight,7.5
1,921000,4,True,5.0,mid,3.0
1,928400,3,True,5.0,mid,-9.0
1,937300,4,True,6.0,mid,4.0
1,943100,4,True,5.0,mid,-1.0
1,948500,5,True,5.0,mid,4.0
1,950300,4,True,5.0,mid,7.0
1,988100,5,True,5.0,mid,4.0
1,990300,3,True,5.0,mid,4.5
2,13100,4,True,6.0,mid,2.5
2,20900,5,True,5.0,mid,-2.5
2,23500,4,True,6.0,mid,2.5
2,29500,4,True,5.0,mid,-5.0
2,41900,4,True,5.0,mid,0.0
2,42900,4,True,5.0,mid,3.0
2,45100,3,True,6.0,mid,1.5
2,52900,3,True,2.0,tight,-3.5
2,75200,5,True,5.0,mid,-3.0
2,79300,4,True,5.0,mid,7.0
2,102600,3,True,6.0,mid,-3.5
2,105500,4,True,5.0,mid,3.5
2,129700,5,True,2.0,tight,2.5
2,169000,5,True,5.0,mid,-1.0
2,171800,4,True,5.0,mid,3.0
2,189100,5,True,6.0,mid,2.0
2,204400,5,True,5.0,mid,6.0
2,225500,4,True,5.0,mid,-4.0
2,239400,4,True,5.0,mid,11.0
2,253000,4,True,5.0,mid,-2.0
2,268900,4,True,5.0,mid,-2.5
2,272000,3,True,5.0,mid,0.0
2,275200,4,True,5.0,mid,-5.0
2,287100,4,True,5.0,mid,-3.0
2,287600,4,True,5.0,mid,-1.5
2,289300,4,True,5.0,mid,-1.0
2,294600,3,True,6.0,mid,4.5
2,316700,4,True,5.0,mid,-6.0
2,317500,4,True,5.0,mid,0.0
2,320800,5,True,5.0,mid,1.0
2,321600,5,True,5.0,mid,-0.5
2,341400,3,True,5.0,mid,2.0
2,347800,4,True,6.0,mid,-0.5
2,350700,4,True,6.0,mid,-7.5
