day,timestamp,n_trades,n_products,buy_orchestrator,sell_orchestrator,dominant_pair_buyer,dominant_pair_seller,fwd20_ex
1,4500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
1,9600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
1,11800,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
1,14800,6,6,Mark 01,Mark 22,Mark 01,Mark 55,-4.0
1,16700,6,6,Mark 01,Mark 22,Mark 14,Mark 38,-4.5
1,38500,3,3,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,40400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
1,43400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,8.5
1,50700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,52800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
1,53400,3,3,Mark 01,Mark 22,Mark 14,Mark 22,5.0
1,74100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,3.0
1,85300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,4.5
1,86100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.5
1,89800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
1,120300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,6.5
1,127200,3,3,Mark 01,Mark 22,Mark 01,Mark 22,0.5
1,135900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-5.5
1,145500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,7.0
1,150600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-9.0
1,153000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
1,170400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
1,170500,4,4,Mark 01,Mark 22,Mark 14,Mark 22,1.0
1,172500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-5.5
1,190100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
1,195600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,1.0
1,206200,3,3,Mark 01,Mark 22,Mark 14,Mark 22,3.5
1,235300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.0
1,252500,6,6,Mark 01,Mark 22,Mark 14,Mark 38,0.0
1,304000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
1,310100,4,4,Mark 01,Mark 22,Mark 14,Mark 22,-4.0
1,322000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,322600,4,4,Mark 01,Mark 22,Mark 14,Mark 22,-4.0
1,350300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
1,376600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,377900,4,4,Mark 01,Mark 22,Mark 14,Mark 22,3.0
1,399700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.0
1,410400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,0.0
1,428000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
1,437100,10,10,Mark 01,Mark 22,Mark 38,Mark 22,5.0
1,455700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
1,460400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,6.0
