day,aggressor_party,side,product,spread_bucket,K,n,mean,median,frac_pos
1,Mark 38,buyer,HYDROGEL_PACK,wide,5,189,-0.31746031746031744,0.0,0.4656084656084656
1,Mark 38,buyer,HYDROGEL_PACK,wide,20,189,-0.38095238095238093,0.0,0.4973544973544973
1,Mark 38,buyer,HYDROGEL_PACK,wide,100,189,-1.5793650793650793,1.0,0.5079365079365079
1,Mark 38,buyer,VEV_4000,wide,5,73,-0.21232876712328766,0.0,0.410958904109589
1,Mark 38,buyer,VEV_4000,wide,20,73,-0.2465753424657534,0.0,0.410958904109589
1,Mark 38,buyer,VEV_4000,wide,100,73,-0.4246575342465753,-1.0,0.3972602739726027
1,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,5,179,0.05027932960893855,0.0,0.46368715083798884
1,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,20,179,0.5111731843575419,0.5,0.5139664804469274
1,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,100,179,1.2737430167597765,1.5,0.547486033519553
1,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,5,58,2.1982758620689653,2.0,0.896551724137931
1,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,20,58,2.0344827586206895,2.0,0.6724137931034483
1,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,100,58,3.146551724137931,4.0,0.5862068965517241
1,Mark 22,seller,VEV_5300,tight,5,38,-0.2631578947368421,0.0,0.15789473684210525
1,Mark 22,seller,VEV_5300,tight,20,38,-0.5526315789473685,-1.0,0.34210526315789475
1,Mark 22,seller,VEV_5300,tight,100,38,-0.3157894736842105,-0.5,0.39473684210526316
1,Mark 22,seller,VEV_5400,tight,5,81,-0.012345679012345678,0.0,0.19753086419753085
1,Mark 22,seller,VEV_5400,tight,20,81,0.018518518518518517,0.0,0.38271604938271603
1,Mark 22,seller,VEV_5400,tight,100,81,-0.19135802469135801,-0.5,0.43209876543209874
1,Mark 22,seller,VEV_5500,tight,5,92,-0.021739130434782608,0.0,0.06521739130434782
1,Mark 22,seller,VEV_5500,tight,20,92,-0.02717391304347826,0.0,0.16304347826086957
1,Mark 22,seller,VEV_5500,tight,100,92,-0.11413043478260869,0.0,0.2826086956521739
1,Mark 22,seller,VEV_6000,tight,5,98,0.0,0.0,0.0
1,Mark 22,seller,VEV_6000,tight,20,98,0.0,0.0,0.0
1,Mark 22,seller,VEV_6000,tight,100,98,0.0,0.0,0.0
1,Mark 22,seller,VEV_6500,tight,5,98,0.0,0.0,0.0
1,Mark 22,seller,VEV_6500,tight,20,98,0.0,0.0,0.0
1,Mark 22,seller,VEV_6500,tight,100,98,0.0,0.0,0.0
1,Mark 38,seller,HYDROGEL_PACK,wide,5,186,0.3172043010752688,0.0,0.4946236559139785
1,Mark 38,seller,HYDROGEL_PACK,wide,20,186,1.0806451612903225,2.0,0.5698924731182796
1,Mark 38,seller,HYDROGEL_PACK,wide,100,186,0.9731182795698925,1.0,0.521505376344086
1,Mark 38,seller,VEV_4000,wide,5,91,-0.1813186813186813,0.0,0.4175824175824176
1,Mark 38,seller,VEV_4000,wide,20,91,0.10989010989010989,0.0,0.4725274725274725
