K,hour_b,product,n,mean,median,frac_pos,tstat_vs0,pvalue_vs0
5,h0_7,HYDROGEL_PACK,379,-0.12532981530343007,0.0,0.46174142480211083,-0.5564976529028751,0.5781999924994579
5,h0_7,VELVETFRUIT_EXTRACT,520,0.28942307692307695,0.0,0.49230769230769234,3.0042865793445155,0.0027906140411046517
5,h0_7,VEV_4000,155,-0.3774193548387097,0.0,0.38064516129032255,-2.121211674928684,0.0355051116232303
5,h0_7,VEV_5300,55,-0.11818181818181818,0.0,0.2727272727272727,-1.206827052758476,0.2327589594227367
5,h0_7,VEV_5400,103,-0.05339805825242718,0.0,0.14563106796116504,-1.3492049445139478,0.1802585282936407
5,h0_7,VEV_5500,113,-0.04424778761061947,0.0,0.04424778761061947,-2.0707249915939197,0.04068292388007107
5,h0_7,VEV_6000,120,0.0,0.0,0.0,,
5,h0_7,VEV_6500,120,0.0,0.0,0.0,,
5,h16_23,HYDROGEL_PACK,322,-0.39285714285714285,0.0,0.4192546583850932,-1.5470818233300296,0.12282880866946595
5,h16_23,VELVETFRUIT_EXTRACT,411,0.3734793187347932,0.0,0.49391727493917276,3.4608542851314197,0.0005950048012474426
5,h16_23,VEV_4000,129,0.22093023255813954,0.0,0.4883720930232558,1.1131325080183534,0.267737568957824
5,h16_23,VEV_5300,42,-0.20238095238095238,0.0,0.21428571428571427,-1.7892923584521145,0.08095676260156003
5,h16_23,VEV_5400,73,-0.00684931506849315,0.0,0.2191780821917808,-0.15512630699850574,0.8771558079267121
5,h16_23,VEV_5500,82,-0.006097560975609756,0.0,0.04878048780487805,-0.22808577638091165,0.8201543553782903
5,h16_23,VEV_6000,83,0.0,0.0,0.0,,
5,h16_23,VEV_6500,83,0.0,0.0,0.0,,
5,h8_15,HYDROGEL_PACK,321,0.3691588785046729,0.5,0.5015576323987538,1.60709293847989,0.10902020919600106
5,h8_15,VELVETFRUIT_EXTRACT,450,0.35555555555555557,0.5,0.5111111111111111,3.1707923353674645,0.0016243276862082218
5,h8_15,VEV_4000,158,0.17088607594936708,0.0,0.4873417721518987,0.9656202795073815,0.3357192688320541
5,h8_15,VEV_5300,65,-0.25384615384615383,0.0,0.24615384615384617,-2.4255937377442587,0.018113881266476128
5,h8_15,VEV_5400,99,-0.025252525252525252,0.0,0.1414141414141414,-0.6490390738582487,0.5178312927111354
5,h8_15,VEV_5500,111,-0.02252252252252252,0.0,0.07207207207207207,-0.961926622138894,0.3381962484408773
5,h8_15,VEV_6000,114,0.0,0.0,0.0,,
5,h8_15,VEV_6500,114,0.0,0.0,0.0,,
20,h0_7,HYDROGEL_PACK,379,-0.8641160949868074,0.0,0.47757255936675463,-1.8649658946286458,0.06296085397016042
20,h0_7,VELVETFRUIT_EXTRACT,520,0.10576923076923077,0.0,0.4596153846153846,0.5786731675252312,0.5630607560402293
20,h0_7,VEV_4000,155,-0.29354838709677417,0.0,0.432258064516129,-0.8396695399182792,0.4023953231601661
20,h0_7,VEV_5300,55,-0.2818181818181818,-0.5,0.3090909090909091,-1.382679902771372,0.1724546274458306
20,h0_7,VEV_5400,103,-0.0970873786407767,0.0,0.2621359223300971,-1.2109770382231577,0.228702566590459
20,h0_7,VEV_5500,113,-0.022123893805309734,0.0,0.1504424778761062,-0.5608351445055081,0.5760302118648984
20,h0_7,VEV_6000,120,0.0,0.0,0.0,,
20,h0_7,VEV_6500,120,0.0,0.0,0.0,,
20,h16_23,HYDROGEL_PACK,322,0.024844720496894408,1.0,0.515527950310559,0.05205665712310676,0.9585159280597232
20,h16_23,VELVETFRUIT_EXTRACT,411,0.5863746958637469,0.5,0.5206812652068127,2.9443969602691227,0.0034200074965119107
20,h16_23,VEV_4000,129,0.41472868217054265,0.0,0.49612403100775193,1.126365517580931,0.26211814213486917
20,h16_23,VEV_5300,42,0.5833333333333334,0.75,0.5714285714285714,2.2725590028850364,0.02836319505956963
20,h16_23,VEV_5400,73,0.273972602739726,0.0,0.4520547945205479,3.046038495400857,0.0032391854160307154
20,h16_23,VEV_5500,82,0.09146341463414634,0.0,0.18292682926829268,1.8598146706658059,0.06654201594894862
20,h16_23,VEV_6000,83,0.0,0.0,0.0,,
20,h16_23,VEV_6500,83,0.0,0.0,0.0,,
20,h8_15,HYDROGEL_PACK,321,0.6308411214953271,0.5,0.5015576323987538,1.387348383024564,0.16630098207671234
20,h8_15,VELVETFRUIT_EXTRACT,450,0.37555555555555553,0.5,0.5155555555555555,1.8718774022983757,0.06187344844193125
20,h8_15,VEV_4000,158,0.0031645569620253164,0.0,0.46835443037974683,0.009131411794677245,0.9927258815458264
20,h8_15,VEV_5300,65,-0.4307692307692308,-0.5,0.3384615384615385,-2.1096899486897613,0.03880109525039288
20,h8_15,VEV_5400,99,-0.045454545454545456,0.0,0.24242424242424243,-0.6062177826491072,0.5457718033320623
20,h8_15,VEV_5500,111,-0.0045045045045045045,0.0,0.0990990990990991,-0.1181498661147958,0.9061643921148699
20,h8_15,VEV_6000,114,0.0,0.0,0.0,,
20,h8_15,VEV_6500,114,0.0,0.0,0.0,,
100,h0_7,HYDROGEL_PACK,379,-1.1530343007915567,-1.0,0.46701846965699206,-1.225008398716717,0.22133485395280264
100,h0_7,VELVETFRUIT_EXTRACT,520,-0.9692307692307692,-1.0,0.45384615384615384,-2.304314420874829,0.021598978147567352
100,h0_7,VEV_4000,155,-0.9935483870967742,-1.5,0.4,-1.418252224458359,0.15813757101742382
100,h0_7,VEV_5300,55,-0.14545454545454545,0.0,0.4909090909090909,-0.3085939441550699,0.7588178226995979
100,h0_7,VEV_5400,103,-0.3592233009708738,0.0,0.3300970873786408,-2.209471608358324,0.02937817353107087
100,h0_7,VEV_5500,113,-0.03982300884955752,0.0,0.25663716814159293,-0.5390574734119318,0.5909171317243873
100,h0_7,VEV_6000,120,0.0,0.0,0.0,,
100,h0_7,VEV_6500,120,0.0,0.0,0.0,,
100,h16_23,HYDROGEL_PACK,322,0.4363354037267081,0.0,0.48757763975155277,0.419454597412182,0.6751645017731724
100,h16_23,VELVETFRUIT_EXTRACT,411,1.232360097323601,1.0,0.5182481751824818,2.9650288246374004,0.0032033214229045272
100,h16_23,VEV_4000,129,2.10077519379845,3.0,0.5891472868217055,2.8582784962105188,0.004973893024430947
100,h16_23,VEV_5300,42,1.5595238095238095,1.75,0.6904761904761905,3.241449705307892,0.002364274971864931
100,h16_23,VEV_5400,73,0.5958904109589042,1.0,0.6027397260273972,3.673142879010517,0.00045732006153785895
100,h16_23,VEV_5500,82,0.0975609756097561,0.0,0.2804878048780488,1.2696221085454769,0.2078548423647545
100,h16_23,VEV_6000,83,0.0,0.0,0.0,,
100,h16_23,VEV_6500,83,0.0,0.0,0.0,,
100,h8_15,HYDROGEL_PACK,321,0.8566978193146417,1.0,0.5015576323987538,0.8711901647764542,0.384303440209387
100,h8_15,VELVETFRUIT_EXTRACT,450,0.043333333333333335,-0.5,0.46444444444444444,0.10112585341498395,0.9194956962628567
100,h8_15,VEV_4000,158,-1.2848101265822784,-1.5,0.4240506329113924,-1.7338753371968016,0.08490322440088201
100,h8_15,VEV_5300,65,-0.2076923076923077,-0.5,0.4,-0.5356389056454992,0.5940647372346093
100,h8_15,VEV_5400,99,-0.13131313131313133,0.0,0.37373737373737376,-0.982535772707082,0.3282554438549488
100,h8_15,VEV_5500,111,-0.11711711711711711,0.0,0.18018018018018017,-1.888136374889088,0.06164230042453571
100,h8_15,VEV_6000,114,0.0,0.0,0.0,,
100,h8_15,VEV_6500,114,0.0,0.0,0.0,,
