scope,day,product,lag,corr,n
per_day,1,HYDROGEL_PACK,0,-0.004331222051408158,9999
per_day,1,HYDROGEL_PACK,1,-0.015914272585380237,9999
per_day,1,HYDROGEL_PACK,2,0.005303355949257159,9998
per_day,1,HYDROGEL_PACK,3,-0.015157154153909141,9997
per_day,1,HYDROGEL_PACK,4,0.009580232363564813,9996
per_day,1,HYDROGEL_PACK,5,-0.004710381734453009,9995
per_day,1,HYDROGEL_PACK,6,0.011204165580812912,9994
per_day,1,HYDROGEL_PACK,7,0.001352496211573986,9993
per_day,1,HYDROGEL_PACK,8,-0.007364776505238719,9992
per_day,1,HYDROGEL_PACK,9,-0.0005966766669080203,9991
per_day,1,HYDROGEL_PACK,10,0.0011901016110998617,9990
per_day,1,HYDROGEL_PACK,11,-0.02274380200242237,9989
per_day,1,HYDROGEL_PACK,12,-0.004224679305322992,9988
per_day,1,HYDROGEL_PACK,13,-0.0042789409431496705,9987
per_day,1,HYDROGEL_PACK,14,0.0003782119913745853,9986
per_day,1,HYDROGEL_PACK,15,-0.006445703472161458,9985
per_day,1,HYDROGEL_PACK,16,0.006390006808037466,9984
per_day,1,HYDROGEL_PACK,17,-0.024480905872350096,9983
per_day,1,HYDROGEL_PACK,18,0.006769439792084129,9982
per_day,1,HYDROGEL_PACK,19,-0.005200529916527749,9981
per_day,1,HYDROGEL_PACK,20,0.007365450128949201,9980
per_day,1,VEV_4000,0,-0.003893259437891286,9999
per_day,1,VEV_4000,1,-0.012510726219283435,9999
per_day,1,VEV_4000,2,0.015064735211243884,9998
per_day,1,VEV_4000,3,0.00534945578995349,9997
per_day,1,VEV_4000,4,-0.006403608757343844,9996
per_day,1,VEV_4000,5,0.005191812301616924,9995
per_day,1,VEV_4000,6,-0.01267139881469355,9994
per_day,1,VEV_4000,7,0.0055094466899856115,9993
per_day,1,VEV_4000,8,0.0025309668393420272,9992
per_day,1,VEV_4000,9,-0.0027980029376664995,9991
per_day,1,VEV_4000,10,0.0009636267758396299,9990
per_day,1,VEV_4000,11,0.010680356399597975,9989
per_day,1,VEV_4000,12,-0.016437810106423978,9988
per_day,1,VEV_4000,13,0.011933181152880735,9987
per_day,1,VEV_4000,14,-0.009230359930544454,9986
per_day,1,VEV_4000,15,-0.0026622004632833166,9985
per_day,1,VEV_4000,16,-0.012910734731223903,9984
per_day,1,VEV_4000,17,0.003803252254653518,9983
per_day,1,VEV_4000,18,-0.005816660555178933,9982
per_day,1,VEV_4000,19,-0.006761769959127665,9981
per_day,1,VEV_4000,20,0.013580418918370408,9980
per_day,1,VEV_4500,0,0.00879484091216799,9999
per_day,1,VEV_4500,1,-1.8068270651846116e-05,9999
per_day,1,VEV_4500,2,-0.004424126557748531,9998
per_day,1,VEV_4500,3,-0.004423417877138359,9997
per_day,1,VEV_4500,4,-1.5870965334338523e-05,9996
per_day,1,VEV_4500,5,-0.008829548680864803,9995
per_day,1,VEV_4500,6,-0.004422712227991056,9994
per_day,1,VEV_4500,7,0.004389824723607048,9993
per_day,1,VEV_4500,8,0.008798258689111998,9992
per_day,1,VEV_4500,9,0.0043903046380630055,9991
per_day,1,VEV_4500,10,-0.004425601811948744,9990
per_day,1,VEV_4500,11,0.030842028844878376,9989
per_day,1,VEV_4500,12,0.004392490115336891,9988
per_day,1,VEV_4500,13,-0.008832108794052367,9987
per_day,1,VEV_4500,14,0.00880331415132546,9986
per_day,1,VEV_4500,15,0.013214511723242861,9985
per_day,1,VEV_4500,16,-0.004422397553065712,9984
per_day,1,VEV_4500,17,-0.008831547833778377,9983
per_day,1,VEV_4500,18,0.008806271403777644,9982
per_day,1,VEV_4500,19,0.008805730037702159,9981
per_day,1,VEV_4500,20,-1.3254985581522902e-05,9980
per_day,1,VEV_5000,0,0.00879484091216799,9999
per_day,1,VEV_5000,1,-1.8068270651846116e-05,9999
per_day,1,VEV_5000,2,-0.004424126557748531,9998
per_day,1,VEV_5000,3,-0.004423417877138359,9997
per_day,1,VEV_5000,4,-1.5870965334338523e-05,9996
per_day,1,VEV_5000,5,-0.008829548680864803,9995
per_day,1,VEV_5000,6,-0.004422712227991056,9994
per_day,1,VEV_5000,7,0.004389824723607048,9993
per_day,1,VEV_5000,8,0.008798258689111998,9992
per_day,1,VEV_5000,9,0.0043903046380630055,9991
per_day,1,VEV_5000,10,-0.004425601811948744,9990
per_day,1,VEV_5000,11,0.030842028844878376,9989
per_day,1,VEV_5000,12,0.004392490115336891,9988
per_day,1,VEV_5000,13,-0.008832108794052367,9987
per_day,1,VEV_5000,14,0.00880331415132546,9986
per_day,1,VEV_5000,15,0.013214511723242861,9985
per_day,1,VEV_5000,16,-0.004422397553065712,9984
per_day,1,VEV_5000,17,-0.008831547833778377,9983
per_day,1,VEV_5000,18,0.008806271403777644,9982
per_day,1,VEV_5000,19,0.008805730037702159,9981
per_day,1,VEV_5000,20,-1.3254985581522902e-05,9980
per_day,1,VEV_5100,0,0.00879484091216799,9999
per_day,1,VEV_5100,1,-1.8068270651846116e-05,9999
per_day,1,VEV_5100,2,-0.004424126557748531,9998
per_day,1,VEV_5100,3,-0.004423417877138359,9997
per_day,1,VEV_5100,4,-1.5870965334338523e-05,9996
per_day,1,VEV_5100,5,-0.008829548680864803,9995
per_day,1,VEV_5100,6,-0.004422712227991056,9994
per_day,1,VEV_5100,7,0.004389824723607048,9993
per_day,1,VEV_5100,8,0.008798258689111998,9992
per_day,1,VEV_5100,9,0.0043903046380630055,9991
per_day,1,VEV_5100,10,-0.004425601811948744,9990
per_day,1,VEV_5100,11,0.030842028844878376,9989
per_day,1,VEV_5100,12,0.004392490115336891,9988
per_day,1,VEV_5100,13,-0.008832108794052367,9987
per_day,1,VEV_5100,14,0.00880331415132546,9986
per_day,1,VEV_5100,15,0.013214511723242861,9985
per_day,1,VEV_5100,16,-0.004422397553065712,9984
per_day,1,VEV_5100,17,-0.008831547833778377,9983
per_day,1,VEV_5100,18,0.008806271403777644,9982
per_day,1,VEV_5100,19,0.008805730037702159,9981
per_day,1,VEV_5100,20,-1.3254985581522902e-05,9980
per_day,1,VEV_5200,0,-0.0028803215638997302,9999
per_day,1,VEV_5200,1,-0.01066761606957683,9999
per_day,1,VEV_5200,2,0.016587105208284766,9998
per_day,1,VEV_5200,3,0.004904296974370992,9997
per_day,1,VEV_5200,4,0.019504991424981147,9996
per_day,1,VEV_5200,5,-0.00921315429176734,9995
per_day,1,VEV_5200,6,0.013664019654860391,9994
per_day,1,VEV_5200,7,0.0053954847006357,9993
per_day,1,VEV_5200,8,-0.0038559903028980267,9992
per_day,1,VEV_5200,9,-0.014567157558571499,9991
per_day,1,VEV_5200,10,-0.009698439775530908,9990
per_day,1,VEV_5200,11,0.01220891874461524,9989
per_day,1,VEV_5200,12,-0.004347167191444744,9988
per_day,1,VEV_5200,13,0.01853677893497951,9987
per_day,1,VEV_5200,14,0.0010051216032408686,9986
per_day,1,VEV_5200,15,0.006359273685348761,9985
per_day,1,VEV_5200,16,-0.006788783967951549,9984
per_day,1,VEV_5200,17,0.006360317503878879,9983
per_day,1,VEV_5200,18,2.7322443043899043e-05,9982
per_day,1,VEV_5200,19,0.006847859834639173,9981
per_day,1,VEV_5200,20,0.004899696685022201,9980
per_day,1,VEV_5300,0,-0.010370199239232202,9999
