buyer,seller,product,resid_mean,resid_n
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,-4.026408835973901e-16,75
Mark 22,Mark 38,HYDROGEL_PACK,-3.2297397080004555e-16,11
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,2.4671622769447924e-16,9
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,-2.0957018891800707e-16,89
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,1.9032394707859825e-16,14
Mark 14,Mark 38,VEV_4000,-1.3782078926381254e-16,232
Mark 38,Mark 14,HYDROGEL_PACK,1.1912452177437576e-16,507
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,1.1269937651784066e-16,331
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,-1.0874725528090673e-16,244
Mark 14,Mark 22,VEV_5200,-1.0765799026668185e-16,33
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,9.906605450501397e-17,260
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,9.868649107779169e-17,18
Mark 14,Mark 38,HYDROGEL_PACK,-8.59527502935605e-17,496
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,-6.464589763640152e-17,316
Mark 01,Mark 22,VEV_5300,-5.719330732917473e-17,132
Mark 38,Mark 14,VEV_4000,5.148860404058697e-17,207
Mark 01,Mark 22,VEV_5400,3.0024567538579566e-17,263
Mark 14,Mark 22,VEV_5400,1.708035422500241e-17,13
Mark 14,Mark 22,VEV_5300,-1.4802973661668754e-17,30
Mark 01,Mark 22,VEV_5500,-2.9472893839338394e-18,299
Mark 01,Mark 22,VEV_5200,0.0,11
Mark 01,Mark 22,VEV_6500,0.0,317
Mark 01,Mark 22,VEV_6000,0.0,317
Mark 22,Mark 38,VEV_4500,0.0,1
Mark 22,Mark 38,VEV_4000,0.0,1
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,0.0,7
Mark 22,Mark 38,VEV_5100,0.0,1
Mark 22,Mark 38,VEV_5200,0.0,1
Mark 22,Mark 38,VEV_5300,0.0,1
Mark 22,Mark 38,VEV_5000,0.0,1
Mark 14,Mark 22,VEV_5500,0.0,7
Mark 38,Mark 22,HYDROGEL_PACK,0.0,8
Mark 38,Mark 22,VEV_4000,0.0,2
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,0.0,12
Mark 38,Mark 22,VEV_5300,0.0,1
Mark 38,Mark 22,VEV_5200,0.0,2
Mark 38,Mark 22,VEV_5100,0.0,2
Mark 38,Mark 22,VEV_5000,0.0,2
Mark 38,Mark 22,VEV_4500,0.0,2
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,0.0,5
