timestamp,buyer,seller,symbol,currency,price,quantity,day,product,mid,bid1,ask1,book_spread,aggr,spr_b,hour_b,agg_party,agg_role,fwd_5_sym,fwd_5_ex,fwd_20_sym,fwd_20_ex,fwd_100_sym,fwd_100_ex,cell_n,cell_mean_fwd20,resid20
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,VEV_5400,18.5,18,19,1,sell_aggr,tight,h0_7,Mark 22,seller,-0.5,-2.5,-0.5,-4.0,-3.5,-20.0,263,0.039923954372623575,-0.5399239543726235
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,VEV_5500,8.5,8,9,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,-0.5,-4.0,-2.0,-20.0,299,0.02508361204013378,-0.5250836120401338
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,VEV_6000,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-4.0,0.0,-20.0,317,0.0,0.0
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,VEV_6500,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-4.0,0.0,-20.0,317,0.0,0.0
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,HYDROGEL_PACK,9956.0,9952,9960,8,buy_aggr,wide,h0_7,Mark 38,buyer,-4.0,1.0,-7.0,-3.5,1.0,-17.5,8,1.3125,-8.3125
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,VEV_4000,1253.5,1243,1264,21,buy_aggr,wide,h0_7,Mark 38,buyer,0.0,0.0,-7.0,-7.0,-20.0,-20.0,207,0.18840579710144928,-7.188405797101449
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,VELVETFRUIT_EXTRACT,5252.5,5250,5255,5,buy_aggr,mid,h0_7,Mark 55,buyer,-2.0,-2.0,-5.0,-5.0,-21.0,-21.0,244,0.006147540983606557,-5.006147540983607
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,HYDROGEL_PACK,9947.0,9939,9955,16,buy_aggr,wide,h0_7,Mark 38,buyer,-2.0,-2.5,-2.0,-7.0,9.0,-20.0,507,-0.3530571992110454,-1.6469428007889546
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,VELVETFRUIT_EXTRACT,5243.5,5243,5244,1,buy_aggr,tight,h0_7,Mark 55,buyer,1.5,1.5,0.0,0.0,-15.0,-15.0,9,2.6666666666666665,-2.6666666666666665
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,VEV_5400,17.0,16,18,2,sell_aggr,tight,h0_7,Mark 22,seller,-0.5,-2.5,-1.0,-5.0,-3.5,-17.5,263,0.039923954372623575,-1.0399239543726235
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,VEV_5500,7.5,7,8,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-5.0,-1.0,-17.5,299,0.02508361204013378,-0.02508361204013378
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-5.0,0.0,-17.5,317,0.0,0.0
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-5.0,0.0,-17.5,317,0.0,0.0
10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5240.0,12,1,VELVETFRUIT_EXTRACT,5239.5,5239,5240,1,buy_aggr,tight,h0_7,Mark 67,buyer,4.0,4.0,2.0,2.0,-11.0,-11.0,89,1.6348314606741574,0.3651685393258426
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,VEV_5500,7.5,7,8,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,0.0,-1.0,-3.0,-1.0,-12.0,299,0.02508361204013378,-1.0250836120401339
11800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,0.0,0.0,-3.0,0.0,-12.0,317,0.0,0.0
11800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,0.0,0.0,-3.0,0.0,-12.0,317,0.0,0.0
14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,VELVETFRUIT_EXTRACT,5235.5,5233,5238,5,buy_aggr,mid,h0_7,Mark 55,buyer,-1.0,-1.0,-5.5,-5.5,-1.0,-1.0,244,0.006147540983606557,-5.506147540983607
14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,6,1,VELVETFRUIT_EXTRACT,5234.5,5232,5237,5,sell_aggr,mid,h0_7,Mark 55,seller,-1.0,-1.0,-4.0,-4.0,-1.0,-1.0,249,-0.09839357429718876,-3.9016064257028114
14800,Mark 01,Mark 22,VEV_5300,XIRECS,42.0,4,1,VEV_5300,43.0,42,44,2,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-1.0,-1.0,-4.0,0.0,-1.0,132,-0.12121212121212122,-0.8787878787878788
14800,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,VEV_5400,15.0,14,16,2,sell_aggr,tight,h0_7,Mark 22,seller,-0.5,-1.0,-0.5,-4.0,-0.5,-1.0,263,0.039923954372623575,-0.5399239543726235
14800,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,VEV_5500,6.5,6,7,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-1.0,0.0,-4.0,0.0,-1.0,299,0.02508361204013378,-0.02508361204013378
