timestamp,buyer,seller,symbol,currency,price,quantity,day,product,mid,bid1,ask1,book_spread,aggr,spr_b,hour_b,agg_party,agg_role,fwd_5_sym,fwd_5_ex,fwd_20_sym,fwd_20_ex,fwd_100_sym,fwd_100_ex
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,VEV_5400,18.5,18,19,1,sell_aggr,tight,h0_7,Mark 22,seller,-0.5,-2.5,-0.5,-4.0,-3.5,-20.0
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,VEV_5500,8.5,8,9,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,-0.5,-4.0,-2.0,-20.0
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,VEV_6000,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-4.0,0.0,-20.0
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,VEV_6500,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-4.0,0.0,-20.0
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,HYDROGEL_PACK,9956.0,9952,9960,8,buy_aggr,wide,h0_7,Mark 38,buyer,-4.0,1.0,-7.0,-3.5,1.0,-17.5
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,VEV_4000,1253.5,1243,1264,21,buy_aggr,wide,h0_7,Mark 38,buyer,0.0,0.0,-7.0,-7.0,-20.0,-20.0
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,VELVETFRUIT_EXTRACT,5252.5,5250,5255,5,buy_aggr,mid,h0_7,Mark 55,buyer,-2.0,-2.0,-5.0,-5.0,-21.0,-21.0
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,HYDROGEL_PACK,9947.0,9939,9955,16,buy_aggr,wide,h0_7,Mark 38,buyer,-2.0,-2.5,-2.0,-7.0,9.0,-20.0
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,VELVETFRUIT_EXTRACT,5243.5,5243,5244,1,buy_aggr,tight,h0_7,Mark 55,buyer,1.5,1.5,0.0,0.0,-15.0,-15.0
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,VEV_5400,17.0,16,18,2,sell_aggr,tight,h0_7,Mark 22,seller,-0.5,-2.5,-1.0,-5.0,-3.5,-17.5
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,VEV_5500,7.5,7,8,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-5.0,-1.0,-17.5
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-5.0,0.0,-17.5
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-2.5,0.0,-5.0,0.0,-17.5
10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5240.0,12,1,VELVETFRUIT_EXTRACT,5239.5,5239,5240,1,buy_aggr,tight,h0_7,Mark 67,buyer,4.0,4.0,2.0,2.0,-11.0,-11.0
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,VEV_5500,7.5,7,8,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,0.0,-1.0,-3.0,-1.0,-12.0
11800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,0.0,0.0,-3.0,0.0,-12.0
11800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,0.0,0.0,-3.0,0.0,-12.0
14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,VELVETFRUIT_EXTRACT,5235.5,5233,5238,5,buy_aggr,mid,h0_7,Mark 55,buyer,-1.0,-1.0,-5.5,-5.5,-1.0,-1.0
14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,6,1,VELVETFRUIT_EXTRACT,5234.5,5232,5237,5,sell_aggr,mid,h0_7,Mark 55,seller,-1.0,-1.0,-4.0,-4.0,-1.0,-1.0
14800,Mark 01,Mark 22,VEV_5300,XIRECS,42.0,4,1,VEV_5300,43.0,42,44,2,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-1.0,-1.0,-4.0,0.0,-1.0
14800,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,VEV_5400,15.0,14,16,2,sell_aggr,tight,h0_7,Mark 22,seller,-0.5,-1.0,-0.5,-4.0,-0.5,-1.0
14800,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,VEV_5500,6.5,6,7,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-1.0,0.0,-4.0,0.0,-1.0
14800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-1.0,0.0,-4.0,0.0,-1.0
14800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,-1.0,0.0,-4.0,0.0,-1.0
15000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9966.0,4,1,HYDROGEL_PACK,9958.5,9951,9966,15,buy_aggr,wide,h0_7,Mark 38,buyer,-1.5,-2.0,-11.5,-4.0,-6.5,-2.0
16700,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,2,1,VEV_4000,1226.0,1221,1231,10,sell_aggr,wide,h0_7,Mark 38,seller,6.5,1.0,2.0,-4.5,4.5,-1.0
16700,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,2,1,VEV_5300,42.0,41,43,2,sell_aggr,tight,h0_7,Mark 22,seller,0.0,1.0,-1.0,-4.5,-1.0,-1.0
16700,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,2,1,VEV_5400,14.5,14,15,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,1.0,-1.0,-4.5,-0.5,-1.0
16700,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,2,1,VEV_5500,6.5,6,7,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,1.0,-0.5,-4.5,0.0,-1.0
16700,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,VEV_6000,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,1.0,0.0,-4.5,0.0,-1.0
16700,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,VEV_6500,0.5,0,1,1,sell_aggr,tight,h0_7,Mark 22,seller,0.0,1.0,0.0,-4.5,0.0,-1.0
17300,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,1,1,VEV_4000,1231.5,1221,1242,21,sell_aggr,wide,h0_7,Mark 38,seller,2.0,0.5,-3.0,-3.0,4.0,4.0
17400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5230.0,8,1,VELVETFRUIT_EXTRACT,5229.0,5228,5230,2,buy_aggr,tight,h0_7,Mark 67,buyer,4.0,4.0,-0.5,-0.5,7.5,7.5
17900,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,VEV_4000,1233.0,1223,1243,20,buy_aggr,wide,h0_7,Mark 38,buyer,-3.5,-3.5,-6.5,-6.5,4.5,4.5
19300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5226.0,5,1,VELVETFRUIT_EXTRACT,5228.5,5226,5231,5,sell_aggr,mid,h0_7,Mark 55,seller,0.0,0.0,0.0,0.0,11.0,11.0
20200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5224.0,5,1,VELVETFRUIT_EXTRACT,5226.5,5224,5229,5,sell_aggr,mid,h0_7,Mark 55,seller,1.0,1.0,1.0,1.0,11.0,11.0
