buyer,seller,symbol,cell_mean_fwd,cell_n
Mark 01,Mark 22,VEV_5200,0.8636363636363636,11
Mark 01,Mark 22,VEV_5300,-0.12121212121212122,132
Mark 01,Mark 22,VEV_5400,0.039923954372623575,263
Mark 01,Mark 22,VEV_5500,0.02508361204013378,299
Mark 01,Mark 22,VEV_6000,0.0,317
Mark 01,Mark 22,VEV_6500,0.0,317
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,0.0057692307692307696,260
Mark 14,Mark 22,VEV_5200,0.015151515151515152,33
Mark 14,Mark 22,VEV_5300,-0.21666666666666667,30
Mark 14,Mark 22,VEV_5400,-0.34615384615384615,13
Mark 14,Mark 22,VEV_5500,-0.42857142857142855,7
Mark 14,Mark 38,HYDROGEL_PACK,0.23387096774193547,496
Mark 14,Mark 38,VEV_4000,-0.1788793103448276,232
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,-0.23734177215189872,316
Mark 22,Mark 38,HYDROGEL_PACK,-5.863636363636363,11
Mark 22,Mark 38,VEV_4000,1.0,1
Mark 22,Mark 38,VEV_4500,3.0,1
Mark 22,Mark 38,VEV_5000,5.5,1
Mark 22,Mark 38,VEV_5100,4.5,1
Mark 22,Mark 38,VEV_5200,3.5,1
Mark 22,Mark 38,VEV_5300,1.5,1
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,2.7142857142857144,7
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,0.5277777777777778,18
Mark 38,Mark 14,HYDROGEL_PACK,-0.3530571992110454,507
Mark 38,Mark 14,VEV_4000,0.2146341463414634,205
Mark 38,Mark 22,HYDROGEL_PACK,1.3125,8
Mark 38,Mark 22,VEV_4000,5.0,2
Mark 38,Mark 22,VEV_4500,3.75,2
Mark 38,Mark 22,VEV_5000,1.5,2
Mark 38,Mark 22,VEV_5100,1.0,2
Mark 38,Mark 22,VEV_5200,0.25,2
Mark 38,Mark 22,VEV_5300,2.5,1
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,-2.7083333333333335,12
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,-1.3,5
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,0.006147540983606557,244
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,0.5755287009063444,331
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,2.0357142857142856,14
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,2.6666666666666665,9
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,2.026666666666667,75
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,1.6348314606741574,89
Mark 67,Mark 55,VELVETFRUIT_EXTRACT,7.0,1
