=== top 2-hop chains A->B->C (min weight heuristic) ===
Mark 38 -> Mark 14 -> Mark 38: score=714
Mark 14 -> Mark 38 -> Mark 14: score=714
Mark 55 -> Mark 14 -> Mark 38: score=331
Mark 38 -> Mark 14 -> Mark 55: score=316
Mark 55 -> Mark 14 -> Mark 55: score=316
Mark 14 -> Mark 55 -> Mark 14: score=316
Mark 01 -> Mark 55 -> Mark 14: score=260
Mark 01 -> Mark 55 -> Mark 01: score=244
Mark 55 -> Mark 01 -> Mark 22: score=244
Mark 55 -> Mark 01 -> Mark 55: score=244
Mark 14 -> Mark 55 -> Mark 01: score=244
Mark 38 -> Mark 14 -> Mark 22: score=83
Mark 55 -> Mark 14 -> Mark 22: score=83
Mark 14 -> Mark 38 -> Mark 22: score=19
Mark 01 -> Mark 22 -> Mark 55: score=18
Mark 38 -> Mark 22 -> Mark 55: score=18
Mark 67 -> Mark 22 -> Mark 55: score=18
Mark 14 -> Mark 22 -> Mark 55: score=18
Mark 22 -> Mark 55 -> Mark 14: score=18
Mark 22 -> Mark 55 -> Mark 01: score=18
