Mark,role,symbol,K,n,mean_fwd_mid,t_stat,frac_pos
Mark 22,U_passive_sell,VELVETFRUIT_EXTRACT,20,90,2.022222222222222,4.674667852598585,0.6444444444444445
Mark 22,U_passive_sell,VELVETFRUIT_EXTRACT,5,90,2.022222222222222,10.271773129152445,0.8666666666666667
Mark 67,U_buy_agg,VELVETFRUIT_EXTRACT,5,164,1.9603658536585367,13.025623326344341,0.8353658536585366
Mark 49,U_passive_sell,VELVETFRUIT_EXTRACT,5,104,1.8461538461538463,9.782143046421124,0.7884615384615384
Mark 49,U_passive_sell,VELVETFRUIT_EXTRACT,100,103,1.8398058252427185,2.0263596413545675,0.5339805825242718
Mark 49,U_passive_sell,VELVETFRUIT_EXTRACT,20,104,1.8317307692307692,4.9525955625564935,0.6826923076923077
Mark 67,U_buy_agg,VELVETFRUIT_EXTRACT,20,164,1.8140243902439024,5.86010068131766,0.6463414634146342
Mark 67,U_buy_agg,VELVETFRUIT_EXTRACT,100,163,1.3711656441717792,1.873917213276957,0.5398773006134969
Mark 14,U_passive_sell,VELVETFRUIT_EXTRACT,100,328,1.0975609756097562,2.2196620491830568,0.524390243902439
Mark 22,U_passive_sell,VELVETFRUIT_EXTRACT,100,90,0.9111111111111111,0.88338027630116,0.5111111111111111
Mark 14,U_passive_buy,HYDROGEL_PACK,100,494,0.8927125506072875,1.0968620899695485,0.49190283400809715
Mark 38,U_sell_agg,HYDROGEL_PACK,100,505,0.5881188118811881,0.7280135711120933,0.48514851485148514
Mark 14,U_passive_sell,VELVETFRUIT_EXTRACT,20,331,0.5755287009063444,2.713686226945129,0.5196374622356495
Mark 55,U_buy_agg,VELVETFRUIT_EXTRACT,100,595,0.5310924369747899,1.4038715282649978,0.4991596638655462
Mark 55,U_buy_agg,VELVETFRUIT_EXTRACT,20,598,0.4088628762541806,2.4788758254472882,0.5100334448160535
Mark 01,U_passive_buy,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,2.112984526639036,0.5
Mark 14,U_passive_sell,VELVETFRUIT_EXTRACT,5,331,0.26132930513595165,2.1520837296133988,0.48036253776435045
Mark 38,U_buy_agg,VEV_4000,20,207,0.2608695652173913,0.9095315900201543,0.48792270531400966
Mark 14,U_passive_buy,HYDROGEL_PACK,20,496,0.23387096774193547,0.599398117980075,0.5040322580645161
Mark 14,U_passive_sell,VEV_4000,20,205,0.2146341463414634,0.752523547921182,0.4878048780487805
Mark 55,U_buy_agg,VELVETFRUIT_EXTRACT,5,598,0.19899665551839466,2.2464782628170425,0.46488294314381273
Mark 38,U_buy_agg,VEV_4000,5,209,0.17464114832535885,1.1213823487176247,0.4784688995215311
Mark 22,U_sell_agg,VEV_5300,100,159,0.14779874213836477,0.5778864227270519,0.4968553459119497
Mark 14,U_passive_sell,VEV_4000,5,207,0.13043478260869565,0.8471128956855575,0.47342995169082125
Mark 38,U_sell_agg,HYDROGEL_PACK,20,507,0.10157790927021697,0.2624804099548992,0.4990138067061144
