Mark,passive_role,K,n,mean_fwd_same_sym,median,t_stat,frac_pos,ci95_lo,ci95_hi
Mark 01,passive_at_ask,5,244,-0.0020491803278688526,0.0,-0.015143055493129122,0.4180327868852459,-0.2540983606557377,0.2684938524590161
Mark 01,passive_at_ask,20,244,0.006147540983606557,0.0,0.02254841886603109,0.47540983606557374,-0.5533299180327869,0.5327868852459017
Mark 01,passive_at_bid,5,1599,0.02782989368355222,0.0,1.1749613081142094,0.1425891181988743,-0.01721388367729831,0.07443714821763593
Mark 01,passive_at_bid,20,1599,0.008130081300813009,0.0,0.17362836347130328,0.1882426516572858,-0.08257504690431519,0.10100062539086929
Mark 14,passive_at_ask,5,1045,0.025358851674641147,0.0,0.246689183248453,0.4660287081339713,-0.17086124401913877,0.22348086124401895
Mark 14,passive_at_ask,20,1043,0.05321188878235858,0.5,0.2593622212916781,0.5004793863854267,-0.36296740172579095,0.4765220517737295
Mark 14,passive_at_bid,5,1124,-0.036476868327402136,0.0,-0.36351114281528635,0.42526690391459077,-0.22953736654804271,0.16548042704626334
Mark 14,passive_at_bid,20,1124,-0.013345195729537367,0.0,-0.06866570424853544,0.45462633451957296,-0.37550044483985767,0.3634786476868325
Mark 22,passive_at_ask,5,109,2.073394495412844,2.0,9.469098273305836,0.8532110091743119,1.6420871559633028,2.490940366972476
Mark 22,passive_at_ask,20,109,2.0,1.5,4.890884566364625,0.6330275229357798,1.2292431192660551,2.770642201834862
Mark 22,passive_at_bid,5,36,-1.375,-1.0,-2.8076936698181147,0.3333333333333333,-2.3059027777777774,-0.4166666666666667
Mark 22,passive_at_bid,20,36,-1.0555555555555556,0.75,-1.0291879806761548,0.5277777777777778,-3.0694444444444446,0.7225694444444425
Mark 49,passive_at_ask,5,104,1.8461538461538463,2.0,9.782143046421124,0.7884615384615384,1.4567307692307692,2.2163461538461537
Mark 49,passive_at_ask,20,104,1.8317307692307692,2.0,4.9525955625564935,0.6826923076923077,1.1296875,2.5528846153846154
Mark 49,passive_at_bid,5,16,-2.15625,-2.25,-3.3179724168294045,0.125,-3.40625,-0.875
Mark 49,passive_at_bid,20,16,-2.53125,-1.75,-1.9408227566644958,0.4375,-5.0,0.0625
