A,B,count_lo_to_hi,count_hi_to_lo,notional_lo_to_hi,notional_hi_to_lo,undirected_count,reciprocity_ratio_hi_over_lo
Mark 14,Mark 38,728,714,20434344.0,20850351.0,1442,0.9807692307692307
Mark 01,Mark 22,1339,0,32427.0,0.0,1339,0.0
Mark 14,Mark 55,316,331,9235831.0,9254679.0,647,1.0474683544303798
Mark 01,Mark 55,260,244,7432924.0,7220079.0,504,0.9384615384615385
Mark 49,Mark 67,0,89,0.0,5056558.0,89,
Mark 14,Mark 22,83,0,14577.0,0.0,83,0.0
Mark 22,Mark 67,0,75,0.0,2864651.0,75,
Mark 22,Mark 38,17,19,427078.0,327140.0,36,1.1176470588235294
Mark 22,Mark 55,18,14,482557.0,325980.0,32,0.7777777777777778
Mark 22,Mark 49,7,12,283215.0,467190.0,19,1.7142857142857142
Mark 49,Mark 55,5,9,136283.0,283190.0,14,1.8
Mark 55,Mark 67,0,1,0.0,5241.0,1,
