day,timestamp,s5200,s5300,tight
1,822500,3.0,2.0,False
2,79400,3.0,2.0,False
1,916300,3.0,2.0,False
3,659100,3.0,2.0,False
1,663100,3.0,2.0,False
2,416100,2.0,2.0,True
1,25200,2.0,2.0,True
1,256600,3.0,2.0,False
1,347800,2.0,2.0,True
1,291700,3.0,2.0,False
2,277500,3.0,2.0,False
3,901000,3.0,2.0,False
1,798300,3.0,2.0,False
3,197600,3.0,1.0,False
3,113900,2.0,1.0,True
2,247700,3.0,3.0,False
1,319900,3.0,2.0,False
1,970800,3.0,2.0,False
1,763100,3.0,3.0,False
1,693700,3.0,2.0,False
1,617500,2.0,2.0,True
2,656000,2.0,2.0,True
2,473300,2.0,2.0,True
2,927700,4.0,2.0,False
2,629000,3.0,1.0,False
2,955200,3.0,2.0,False
1,148200,3.0,3.0,False
3,474300,2.0,2.0,True
2,970400,3.0,2.0,False
1,427300,2.0,2.0,True
2,293600,3.0,2.0,False
2,982500,3.0,2.0,False
1,815600,2.0,2.0,True
3,839100,2.0,1.0,True
2,100300,4.0,2.0,False
3,68000,3.0,2.0,False
3,247800,2.0,2.0,True
3,411700,3.0,2.0,False
3,778200,2.0,2.0,True
2,541200,3.0,2.0,False
2,434100,3.0,2.0,False
1,1800,3.0,2.0,False
1,98900,3.0,3.0,False
2,476500,2.0,2.0,True
1,169100,3.0,2.0,False
2,139700,3.0,2.0,False
3,836600,2.0,2.0,True
3,338300,2.0,2.0,True
2,930500,3.0,2.0,False
3,767200,2.0,1.0,True
1,622500,2.0,2.0,True
3,619400,2.0,2.0,True
1,454100,3.0,2.0,False
1,480600,3.0,2.0,False
1,168700,3.0,2.0,False
3,746500,3.0,1.0,False
3,551600,1.0,2.0,True
1,948800,3.0,2.0,False
3,503700,2.0,1.0,True
3,422200,3.0,2.0,False
1,826100,3.0,2.0,False
1,895300,3.0,2.0,False
1,627100,2.0,2.0,True
3,416200,3.0,2.0,False
1,335100,3.0,3.0,False
2,807800,2.0,2.0,True
2,284600,3.0,3.0,False
1,282600,3.0,3.0,False
2,994000,3.0,3.0,False
2,114400,3.0,2.0,False
2,36100,4.0,3.0,False
2,387100,3.0,2.0,False
2,968800,1.0,2.0,True
3,154900,3.0,1.0,False
2,598200,3.0,2.0,False
1,422800,2.0,1.0,True
1,878900,3.0,2.0,False
1,669800,3.0,2.0,False
1,807300,3.0,2.0,False
2,555700,1.0,1.0,True
3,354400,2.0,1.0,True
1,933100,3.0,3.0,False
3,728500,1.0,1.0,True
3,653400,3.0,2.0,False
1,659000,2.0,2.0,True
3,407900,3.0,2.0,False
3,498200,2.0,1.0,True
3,178200,3.0,2.0,False
1,938200,3.0,2.0,False
3,907300,2.0,2.0,True
1,526100,3.0,2.0,False
3,332900,3.0,2.0,False
1,116900,3.0,2.0,False
1,27600,3.0,2.0,False
3,619800,2.0,1.0,True
1,179700,3.0,2.0,False
3,218100,2.0,2.0,True
1,564100,3.0,2.0,False
2,466300,2.0,2.0,True
1,627400,2.0,2.0,True
1,140200,3.0,3.0,False
1,585800,3.0,2.0,False
1,263900,3.0,2.0,False
3,48800,3.0,2.0,False
1,542700,3.0,2.0,False
1,243600,3.0,2.0,False
3,343600,2.0,1.0,True
1,760400,3.0,2.0,False
3,704800,2.0,1.0,True
3,306600,2.0,2.0,True
1,237700,3.0,2.0,False
2,510900,3.0,2.0,False
1,172800,3.0,2.0,False
1,250800,4.0,2.0,False
2,320400,4.0,2.0,False
3,705900,2.0,2.0,True
3,997900,3.0,1.0,False
1,208000,3.0,2.0,False
1,470600,3.0,2.0,False
2,627500,3.0,2.0,False
3,729400,3.0,2.0,False
2,841400,3.0,2.0,False
3,620100,2.0,2.0,True
1,747600,3.0,2.0,False
3,734700,3.0,2.0,False
2,947500,3.0,2.0,False
2,653200,3.0,2.0,False
2,177400,4.0,2.0,False
1,325600,3.0,2.0,False
3,853600,3.0,2.0,False
3,592300,3.0,2.0,False
3,803300,3.0,2.0,False
1,757600,3.0,2.0,False
1,977000,3.0,2.0,False
1,434000,2.0,2.0,True
3,63400,3.0,2.0,False
3,375000,2.0,2.0,True
3,106200,2.0,2.0,True
3,765600,2.0,1.0,True
1,931400,3.0,2.0,False
2,486900,2.0,2.0,True
2,671900,3.0,2.0,False
1,733100,3.0,3.0,False
2,519300,3.0,2.0,False
3,327100,3.0,2.0,False
3,321000,3.0,2.0,False
2,922000,4.0,2.0,False
1,655800,3.0,2.0,False
2,96200,3.0,2.0,False
2,930300,3.0,2.0,False
3,324700,3.0,1.0,False
3,949600,3.0,2.0,False
2,951900,3.0,2.0,False
1,96400,3.0,2.0,False
3,72600,3.0,2.0,False
1,88300,2.0,2.0,True
3,280100,2.0,2.0,True
2,369500,2.0,2.0,True
2,866800,3.0,2.0,False
3,160900,3.0,1.0,False
1,404300,3.0,2.0,False
1,747300,3.0,3.0,False
3,616500,2.0,2.0,True
3,337700,2.0,1.0,True
3,891400,2.0,2.0,True
1,72800,3.0,2.0,False
2,504000,3.0,2.0,False
2,618000,2.0,2.0,True
2,304800,3.0,2.0,False
3,296000,3.0,1.0,False
2,795200,2.0,2.0,True
1,397400,3.0,2.0,False
2,323700,3.0,3.0,False
1,580900,3.0,3.0,False
2,335800,4.0,2.0,False
1,505300,3.0,2.0,False
1,390600,2.0,2.0,True
2,302300,3.0,2.0,False
2,325100,3.0,3.0,False
1,225500,3.0,2.0,False
2,971900,3.0,2.0,False
3,260900,3.0,2.0,False
2,751300,2.0,2.0,True
1,153300,3.0,2.0,False
3,756200,2.0,2.0,True
3,566900,2.0,1.0,True
3,826400,3.0,2.0,False
2,376800,3.0,2.0,False
2,966800,3.0,2.0,False
1,213400,3.0,2.0,False
1,869700,3.0,2.0,False
2,301300,3.0,2.0,False
2,946600,3.0,3.0,False
2,422400,2.0,1.0,True
1,238500,3.0,2.0,False
2,679000,3.0,3.0,False
1,529700,3.0,2.0,False
2,276100,3.0,3.0,False
2,866600,3.0,2.0,False
3,31100,3.0,2.0,False
3,662400,3.0,2.0,False
1,914900,3.0,2.0,False
3,99000,3.0,2.0,False
2,525900,2.0,2.0,True
1,468800,3.0,2.0,False
1,123700,3.0,2.0,False
1,516700,3.0,3.0,False
3,377400,3.0,2.0,False
3,498600,2.0,2.0,True
1,276900,3.0,2.0,False
3,953400,3.0,2.0,False
2,103600,4.0,3.0,False
1,883400,3.0,2.0,False
1,176500,3.0,2.0,False
3,560800,2.0,2.0,True
2,171800,1.0,1.0,True
3,230400,3.0,2.0,False
1,489400,2.0,2.0,True
3,962600,3.0,2.0,False
2,34400,3.0,2.0,False
1,703800,2.0,2.0,True
1,312200,3.0,3.0,False
1,801600,3.0,2.0,False
3,803700,2.0,2.0,True
3,768700,2.0,2.0,True
1,801500,3.0,2.0,False
1,962900,3.0,3.0,False
2,230100,3.0,3.0,False
2,669100,3.0,2.0,False
2,666100,2.0,3.0,False
1,809400,3.0,3.0,False
2,946800,3.0,2.0,False
2,282200,3.0,3.0,False
2,358000,3.0,2.0,False
3,289500,3.0,2.0,False
2,787600,3.0,2.0,False
3,532700,2.0,1.0,True
3,940200,2.0,2.0,True
1,180900,3.0,2.0,False
1,990900,3.0,2.0,False
3,205000,2.0,2.0,True
3,272600,3.0,1.0,False
1,343900,3.0,2.0,False
2,622000,2.0,2.0,True
3,476100,2.0,1.0,True
3,747400,2.0,2.0,True
1,684700,3.0,2.0,False
3,789300,3.0,2.0,False
3,418400,2.0,2.0,True
3,88600,3.0,2.0,False
3,178700,3.0,2.0,False
1,651800,2.0,2.0,True
2,52300,3.0,3.0,False
2,548600,1.0,2.0,True
3,147700,2.0,1.0,True
2,700900,3.0,2.0,False
2,889300,3.0,2.0,False
3,349900,2.0,1.0,True
2,590200,2.0,2.0,True
3,25900,3.0,2.0,False
1,440200,3.0,2.0,False
2,589100,3.0,2.0,False
1,88200,3.0,2.0,False
3,16200,4.0,2.0,False
3,754600,3.0,2.0,False
2,112700,3.0,2.0,False
1,556600,3.0,2.0,False
2,385200,3.0,2.0,False
2,518400,3.0,2.0,False
2,124900,3.0,2.0,False
3,772000,2.0,1.0,True
1,992500,3.0,3.0,False
1,248100,3.0,2.0,False
3,832700,3.0,2.0,False
2,914800,3.0,3.0,False
1,881100,2.0,2.0,True
2,899100,3.0,2.0,False
3,919000,3.0,2.0,False
3,507600,3.0,2.0,False
2,860300,3.0,2.0,False
3,145200,3.0,2.0,False
2,187600,3.0,2.0,False
3,467200,2.0,1.0,True
3,976500,3.0,1.0,False
2,438400,3.0,2.0,False
2,383100,2.0,2.0,True
3,999700,2.0,2.0,True
3,629700,2.0,2.0,True
3,648300,3.0,1.0,False
1,608800,2.0,2.0,True
1,925900,4.0,3.0,False
1,809600,2.0,2.0,True
3,581600,2.0,2.0,True
3,35700,3.0,3.0,False
2,932600,3.0,2.0,False
3,181200,2.0,2.0,True
1,580600,3.0,2.0,False
3,89500,3.0,2.0,False
2,508300,3.0,2.0,False
3,636300,3.0,2.0,False
3,865900,2.0,1.0,True
3,499000,2.0,1.0,True
2,904200,3.0,2.0,False
2,265100,3.0,3.0,False
2,84300,3.0,3.0,False
1,679800,3.0,2.0,False
3,957500,3.0,2.0,False
3,848200,3.0,2.0,False
1,155000,3.0,2.0,False
2,935400,3.0,3.0,False
3,79000,3.0,2.0,False
1,890400,3.0,2.0,False
1,233000,3.0,2.0,False
1,767500,3.0,2.0,False
3,41300,2.0,2.0,True
2,976500,3.0,2.0,False
2,515300,2.0,2.0,True
1,864100,3.0,2.0,False
3,756900,3.0,2.0,False
1,900500,3.0,2.0,False
2,526300,3.0,2.0,False
3,411900,2.0,1.0,True
3,388200,3.0,1.0,False
2,207500,3.0,3.0,False
2,310300,3.0,3.0,False
1,649600,2.0,1.0,True
3,567800,3.0,1.0,False
3,794900,3.0,2.0,False
2,971600,3.0,2.0,False
3,762000,3.0,1.0,False
2,548100,2.0,2.0,True
1,685300,2.0,2.0,True
2,458300,3.0,2.0,False
3,8100,3.0,2.0,False
2,748100,3.0,1.0,False
2,147200,3.0,2.0,False
1,342600,3.0,2.0,False
1,273300,3.0,3.0,False
3,464000,2.0,2.0,True
1,216100,3.0,2.0,False
1,498400,2.0,2.0,True
1,591400,3.0,2.0,False
2,566200,3.0,2.0,False
2,953200,3.0,2.0,False
1,726300,3.0,2.0,False
1,337400,3.0,2.0,False
3,743700,3.0,2.0,False
3,384400,2.0,1.0,True
1,861100,2.0,2.0,True
2,823600,3.0,2.0,False
1,157400,3.0,3.0,False
2,468900,2.0,1.0,True
1,817900,3.0,2.0,False
3,504100,2.0,1.0,True
3,501000,2.0,1.0,True
3,386100,2.0,2.0,True
2,44700,3.0,2.0,False
3,774200,2.0,1.0,True
3,183300,3.0,2.0,False
3,457900,2.0,1.0,True
3,428900,2.0,1.0,True
1,260400,3.0,3.0,False
2,785000,2.0,2.0,True
1,192100,3.0,2.0,False
1,123500,4.0,2.0,False
3,198500,3.0,2.0,False
1,985100,3.0,2.0,False
3,521800,2.0,2.0,True
1,172100,3.0,3.0,False
2,915100,3.0,2.0,False
3,23200,3.0,2.0,False
1,935500,3.0,3.0,False
3,893600,3.0,2.0,False
3,573400,2.0,1.0,True
2,265300,4.0,2.0,False
1,210800,3.0,2.0,False
1,533300,3.0,2.0,False
1,109400,3.0,2.0,False
1,988400,3.0,2.0,False
2,679500,3.0,2.0,False
3,904700,3.0,2.0,False
2,351700,3.0,2.0,False
1,440700,2.0,2.0,True
3,880900,2.0,2.0,True
3,388000,3.0,1.0,False
1,263400,3.0,2.0,False
2,204000,3.0,2.0,False
2,573300,3.0,2.0,False
3,894200,2.0,2.0,True
2,519500,3.0,2.0,False
3,168800,2.0,2.0,True
2,669800,3.0,2.0,False
1,178700,3.0,3.0,False
2,452700,2.0,2.0,True
2,623200,3.0,2.0,False
1,641300,2.0,2.0,True
3,859400,3.0,1.0,False
1,323400,3.0,2.0,False
3,399800,3.0,2.0,False
2,272700,3.0,3.0,False
1,895200,3.0,2.0,False
2,42700,3.0,2.0,False
1,845000,3.0,2.0,False
1,901300,3.0,3.0,False
1,721800,3.0,2.0,False
3,872200,2.0,1.0,True
3,493400,2.0,1.0,True
2,239900,3.0,2.0,False
1,443300,3.0,2.0,False
2,31300,3.0,3.0,False
3,849100,2.0,1.0,True
2,171500,3.0,2.0,False
1,265500,3.0,3.0,False
1,290700,3.0,2.0,False
1,224700,3.0,2.0,False
2,205600,3.0,2.0,False
3,979800,2.0,2.0,True
2,273700,3.0,2.0,False
3,959000,3.0,2.0,False
2,484500,2.0,2.0,True
3,789700,3.0,2.0,False
1,757400,3.0,2.0,False
3,103300,2.0,2.0,True
2,961900,3.0,2.0,False
3,668300,2.0,2.0,True
1,480400,3.0,2.0,False
2,751600,2.0,2.0,True
3,892900,2.0,1.0,True
3,605800,2.0,2.0,True
3,534500,2.0,1.0,True
3,186800,2.0,1.0,True
3,294500,2.0,2.0,True
3,737300,2.0,2.0,True
2,318600,3.0,2.0,False
3,115300,3.0,2.0,False
2,534500,3.0,2.0,False
2,86100,3.0,2.0,False
1,150000,4.0,3.0,False
2,992700,3.0,2.0,False
2,716900,3.0,2.0,False
2,983400,3.0,2.0,False
3,974000,3.0,2.0,False
3,968500,3.0,2.0,False
2,104400,3.0,2.0,False
3,729700,3.0,2.0,False
3,554700,3.0,2.0,False
2,507800,2.0,2.0,True
1,16800,3.0,2.0,False
3,814600,3.0,1.0,False
3,948400,3.0,3.0,False
