mark,symbol,spread_q,burst,n,mean_fwd20,frac_pos
Mark 55,VELVETFRUIT_EXTRACT,tight,True,25,2.46,0.72
Mark 67,VELVETFRUIT_EXTRACT,tight,False,154,1.7857142857142858,0.6428571428571429
Mark 22,VELVETFRUIT_EXTRACT,tight,False,112,1.2142857142857142,0.6071428571428571
Mark 49,VELVETFRUIT_EXTRACT,tight,False,108,0.9351851851851852,0.6203703703703703
Mark 14,HYDROGEL_PACK,tight,False,300,0.45,0.5366666666666666
Mark 14,VELVETFRUIT_EXTRACT,tight,False,144,0.3645833333333333,0.5
Mark 14,VELVETFRUIT_EXTRACT,mid,False,300,0.315,0.47333333333333333
Mark 01,VELVETFRUIT_EXTRACT,wide,False,266,0.2725563909774436,0.5112781954887218
Mark 38,HYDROGEL_PACK,tight,False,319,0.25391849529780564,0.5297805642633229
Mark 14,VEV_4000,wide,False,137,0.2116788321167883,0.4306569343065693
Mark 38,VEV_4000,wide,False,137,0.2116788321167883,0.4306569343065693
Mark 55,VELVETFRUIT_EXTRACT,tight,False,253,0.15019762845849802,0.4782608695652174
Mark 01,VEV_5400,tight,True,85,0.11176470588235295,0.38823529411764707
Mark 55,VELVETFRUIT_EXTRACT,wide,False,438,0.10388127853881278,0.4840182648401826
Mark 55,VELVETFRUIT_EXTRACT,mid,False,441,0.09977324263038549,0.4512471655328798
Mark 22,VEV_5300,tight,True,55,0.07272727272727272,0.4727272727272727
Mark 22,VEV_5400,tight,True,92,0.06521739130434782,0.3804347826086957
Mark 01,VEV_5500,mid,True,99,0.06060606060606061,0.1717171717171717
Mark 22,VEV_5500,mid,True,102,0.058823529411764705,0.16666666666666666
Mark 01,VEV_5300,wide,True,50,0.04,0.4
Mark 01,VEV_5400,mid,True,89,0.028089887640449437,0.2247191011235955
Mark 22,VEV_5300,wide,True,55,0.02727272727272727,0.38181818181818183
Mark 01,VEV_5500,wide,True,101,0.024752475247524754,0.09900990099009901
Mark 22,VEV_5500,wide,True,102,0.014705882352941176,0.09803921568627451
Mark 22,VEV_6500,mid,True,105,0.0,0.0
Mark 22,VEV_6500,tight,True,106,0.0,0.0
Mark 22,VEV_6500,wide,True,106,0.0,0.0
Mark 22,VEV_5400,wide,True,92,0.0,0.32608695652173914
Mark 22,VEV_6000,mid,True,105,0.0,0.0
Mark 22,VEV_6000,wide,True,106,0.0,0.0
Mark 22,VEV_5400,mid,True,92,0.0,0.21739130434782608
Mark 01,VEV_6000,tight,True,106,0.0,0.0
Mark 01,VEV_6000,mid,True,105,0.0,0.0
Mark 01,VEV_6500,mid,True,105,0.0,0.0
Mark 01,VEV_6500,wide,True,106,0.0,0.0
Mark 01,VEV_6500,tight,True,106,0.0,0.0
Mark 01,VEV_6000,wide,True,106,0.0,0.0
Mark 22,VEV_6000,tight,True,106,0.0,0.0
Mark 01,VEV_5500,tight,True,99,-0.010101010101010102,0.16161616161616163
Mark 01,VEV_5400,wide,True,89,-0.016853932584269662,0.3146067415730337
Mark 22,VEV_5500,tight,True,102,-0.029411764705882353,0.1568627450980392
Mark 38,VEV_4000,mid,False,137,-0.06569343065693431,0.5547445255474452
Mark 14,VEV_4000,mid,False,137,-0.06569343065693431,0.5547445255474452
Mark 01,VEV_5300,tight,True,38,-0.07894736842105263,0.4473684210526316
Mark 14,VEV_4000,tight,False,138,-0.14492753623188406,0.4057971014492754
Mark 38,VEV_4000,tight,False,138,-0.14492753623188406,0.4057971014492754
Mark 14,HYDROGEL_PACK,wide,False,319,-0.15203761755485892,0.5015673981191222
Mark 38,HYDROGEL_PACK,wide,False,319,-0.15203761755485892,0.5015673981191222
Mark 14,VELVETFRUIT_EXTRACT,wide,False,172,-0.1569767441860465,0.4418604651162791
Mark 38,HYDROGEL_PACK,mid,False,322,-0.1956521739130435,0.4813664596273292
Mark 14,HYDROGEL_PACK,mid,False,322,-0.1956521739130435,0.4813664596273292
Mark 01,VEV_5300,mid,True,44,-0.3409090909090909,0.3409090909090909
Mark 01,VELVETFRUIT_EXTRACT,mid,False,141,-0.35815602836879434,0.40425531914893614
Mark 22,VEV_5300,mid,True,54,-0.4444444444444444,0.3148148148148148
Mark 01,VELVETFRUIT_EXTRACT,tight,False,69,-0.7028985507246377,0.36231884057971014
