buyer,seller,symbol,count,mean,residual
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,75,2.026666666666667,1.934822777907611
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,89,1.6348314606741574,1.5429875719151016
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,331,0.5755287009063444,0.4836848121472886
Mark 14,Mark 38,HYDROGEL_PACK,496,0.23387096774193547,0.1420270789828796
Mark 38,Mark 14,VEV_4000,205,0.2146341463414634,0.12279025758240755
Mark 01,Mark 22,VEV_5400,263,0.039923954372623575,-0.05191993438643228
Mark 01,Mark 22,VEV_5500,299,0.02508361204013378,-0.06676027671892208
Mark 14,Mark 22,VEV_5200,33,0.015151515151515152,-0.0766923736075407
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,244,0.006147540983606557,-0.0856963477754493
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,260,0.0057692307692307696,-0.08607465798982508
Mark 01,Mark 22,VEV_6000,317,0.0,-0.09184388875905586
Mark 01,Mark 22,VEV_6500,317,0.0,-0.09184388875905586
Mark 01,Mark 22,VEV_5300,132,-0.12121212121212122,-0.21305600997117707
Mark 14,Mark 38,VEV_4000,232,-0.1788793103448276,-0.2707231991038834
Mark 14,Mark 22,VEV_5300,30,-0.21666666666666667,-0.30851055542572253
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,316,-0.23734177215189872,-0.3291856609109546
Mark 38,Mark 14,HYDROGEL_PACK,507,-0.3530571992110454,-0.44490108797010125
