mark,K,day,n,mean_same_sym,median_same_sym,frac_pos
Mark 01,5,1,550,0.06181818181818182,0.0,0.19272727272727272
Mark 01,5,2,573,-0.038394415357766144,0.0,0.17975567190226877
Mark 01,5,3,720,0.044444444444444446,0.0,0.16805555555555557
Mark 01,20,1,550,-0.017272727272727273,0.0,0.2290909090909091
Mark 01,20,2,573,-0.0968586387434555,0.0,0.2286212914485166
Mark 01,20,3,720,0.11041666666666666,0.0,0.2222222222222222
Mark 01,100,1,547,-0.11060329067641682,0.0,0.263254113345521
Mark 01,100,2,568,-0.1443661971830986,0.0,0.2711267605633803
Mark 01,100,3,716,-0.051675977653631286,0.0,0.26536312849162014
Mark 14,5,1,764,-0.013089005235602094,0.0,0.4581151832460733
Mark 14,5,2,668,-0.014970059880239521,0.0,0.4491017964071856
Mark 14,5,3,740,0.008108108108108109,0.0,0.42702702702702705
Mark 14,20,1,763,0.3197903014416776,0.5,0.5045871559633027
Mark 14,20,2,667,-0.13718140929535233,0.0,0.4662668665667166
Mark 14,20,3,740,-0.15,0.0,0.4581081081081081
Mark 14,100,1,760,-0.08157894736842106,0.0,0.48289473684210527
Mark 14,100,2,661,0.47579425113464446,0.0,0.48411497730711045
Mark 14,100,3,734,-0.2724795640326976,-0.5,0.4659400544959128
Mark 22,5,1,474,0.14662447257383968,0.0,0.16033755274261605
Mark 22,5,2,471,0.05201698513800425,0.0,0.1464968152866242
Mark 22,5,3,639,0.02190923317683881,0.0,0.12832550860719874
Mark 22,20,1,474,0.14873417721518986,0.0,0.2109704641350211
Mark 22,20,2,471,0.09554140127388536,0.0,0.19957537154989385
Mark 22,20,3,639,0.07746478873239436,0.0,0.17996870109546165
Mark 22,100,1,471,0.40976645435244163,0.0,0.24416135881104034
Mark 22,100,2,464,-0.0980603448275862,0.0,0.21551724137931033
Mark 22,100,3,635,-0.01732283464566929,0.0,0.2503937007874016
Mark 38,5,1,544,-0.05422794117647059,0.0,0.46139705882352944
Mark 38,5,2,439,-0.02847380410022779,0.0,0.4715261958997722
Mark 38,5,3,495,0.0,0.0,0.4505050505050505
Mark 38,20,1,543,0.28084714548802947,0.5,0.5119705340699816
Mark 38,20,2,438,-0.3584474885844749,0.0,0.4817351598173516
Mark 38,20,3,495,-0.13232323232323231,0.0,0.4727272727272727
Mark 38,100,1,542,-0.22693726937269373,0.0,0.4833948339483395
Mark 38,100,2,434,0.783410138248848,0.25,0.5
Mark 38,100,3,492,-0.241869918699187,0.0,0.47560975609756095
Mark 49,5,1,40,1.7,2.0,0.75
Mark 49,5,2,43,1.0813953488372092,1.5,0.7209302325581395
Mark 49,5,3,39,1.1666666666666667,1.0,0.6153846153846154
Mark 49,20,1,40,1.2375,1.5,0.675
Mark 49,20,2,43,1.3837209302325582,2.0,0.6744186046511628
Mark 49,20,3,39,1.0384615384615385,1.0,0.5897435897435898
Mark 49,100,1,40,1.475,0.0,0.45
Mark 49,100,2,41,2.1463414634146343,1.5,0.5853658536585366
Mark 49,100,3,39,-0.5769230769230769,-2.0,0.41025641025641024
Mark 55,5,1,384,0.18619791666666666,0.0,0.4921875
Mark 55,5,2,411,-0.006082725060827251,0.0,0.4233576642335766
Mark 55,5,3,403,0.20099255583126552,0.0,0.4491315136476427
Mark 55,20,1,384,0.3802083333333333,0.0,0.4921875
Mark 55,20,2,411,-0.072992700729927,0.0,0.44282238442822386
Mark 55,20,3,403,0.16129032258064516,0.0,0.48883374689826303
Mark 55,100,1,382,0.32460732984293195,0.0,0.4869109947643979
Mark 55,100,2,408,-0.4227941176470588,-1.0,0.45588235294117646
Mark 55,100,3,400,-0.455,-1.0,0.4625
Mark 67,5,1,58,2.1982758620689653,2.0,0.896551724137931
Mark 67,5,2,61,1.7540983606557377,2.0,0.8524590163934426
Mark 67,5,3,46,1.8804347826086956,2.0,0.717391304347826
Mark 67,20,1,58,2.0344827586206895,2.0,0.6724137931034483
Mark 67,20,2,61,1.4508196721311475,1.0,0.6229508196721312
Mark 67,20,3,46,2.130434782608696,1.75,0.6521739130434783
Mark 67,100,1,58,3.146551724137931,4.0,0.5862068965517241
Mark 67,100,2,60,1.4916666666666667,2.0,0.5833333333333334
Mark 67,100,3,46,-0.6413043478260869,-1.25,0.43478260869565216
