day,timestamp,n_prints,symbols,buyer_mode,seller_mode,burst
1,4500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,9600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,11800,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,14800,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,16700,6,"VEV_4000,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,38500,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,39400,2,VELVETFRUIT_EXTRACT,Mark 22,Mark 49,True
1,40400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,43400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,50700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,52800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,53400,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,63200,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",Mark 14,Mark 14,True
1,73400,2,VELVETFRUIT_EXTRACT,Mark 22,Mark 49,True
1,74100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,82300,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",Mark 01,Mark 14,True
1,85300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,86100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,89800,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,120300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,127200,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,135900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,145500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,150600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,153000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,167600,2,"VELVETFRUIT_EXTRACT,VEV_4000",Mark 01,Mark 38,True
1,170400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,170500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,172500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,190100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
1,195600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22,True
