buyer,seller,n_ab,n_ba_reverse,reciprocity_ratio
Mark 01,Mark 22,1339,0,0.0
Mark 14,Mark 38,728,714,0.9807692307692307
Mark 38,Mark 14,714,728,1.0196078431372548
Mark 55,Mark 14,331,316,0.9546827794561934
Mark 14,Mark 55,316,331,1.0474683544303798
Mark 01,Mark 55,260,244,0.9384615384615385
Mark 55,Mark 01,244,260,1.0655737704918034
Mark 67,Mark 49,89,0,0.0
Mark 14,Mark 22,83,0,0.0
Mark 67,Mark 22,75,0,0.0
Mark 38,Mark 22,19,17,0.8947368421052632
Mark 22,Mark 55,18,14,0.7777777777777778
Mark 22,Mark 38,17,19,1.1176470588235294
Mark 55,Mark 22,14,18,1.2857142857142858
Mark 49,Mark 22,12,7,0.5833333333333334
Mark 55,Mark 49,9,5,0.5555555555555556
Mark 22,Mark 49,7,12,1.7142857142857142
Mark 49,Mark 55,5,9,1.8
Mark 67,Mark 55,1,0,0.0
