day,flow_symbol,lag_trade_events,n,corr_net_flow_lagged_vs_extract_fwd20
1,VELVETFRUIT_EXTRACT,0,446,0.10566114863169233
1,VELVETFRUIT_EXTRACT,1,445,0.011832166383761401
1,VELVETFRUIT_EXTRACT,2,444,0.12979271340244122
1,VELVETFRUIT_EXTRACT,3,443,0.07755394122547828
1,VELVETFRUIT_EXTRACT,5,441,0.013588805908923144
1,HYDROGEL_PACK,0,375,-0.08464440484620413
1,HYDROGEL_PACK,1,374,0.03330922276129927
1,HYDROGEL_PACK,2,373,-0.020489013612444276
1,HYDROGEL_PACK,3,372,0.00890378126836591
1,HYDROGEL_PACK,5,370,-0.05967591868502824
1,VEV_5300,0,39,0.12055868499677419
1,VEV_5300,1,38,-0.025322390580647922
1,VEV_5300,2,37,-0.09754902726666038
1,VEV_5300,3,36,-0.023781997163447054
1,VEV_5300,5,34,0.37279492024856314
1,VEV_4000,0,163,-0.02440079977418147
1,VEV_4000,1,162,0.03593240357064836
1,VEV_4000,2,161,-0.060895335923325085
1,VEV_4000,3,160,-0.07716796285068699
1,VEV_4000,5,158,-0.007057437913032907
2,VELVETFRUIT_EXTRACT,0,473,0.1601440255435546
2,VELVETFRUIT_EXTRACT,1,472,0.016069114845810705
2,VELVETFRUIT_EXTRACT,2,471,0.08836714028952462
2,VELVETFRUIT_EXTRACT,3,470,0.09876587840284806
2,VELVETFRUIT_EXTRACT,5,468,0.014550392246295119
2,HYDROGEL_PACK,0,311,0.037050006317216395
2,HYDROGEL_PACK,1,310,-0.07687877150535778
2,HYDROGEL_PACK,2,309,-0.06904235923281618
2,HYDROGEL_PACK,3,308,-0.05367750401639585
2,HYDROGEL_PACK,5,306,0.012177147724687653
2,VEV_5300,0,45,0.058065958027619546
2,VEV_5300,1,44,0.1756288325957366
2,VEV_5300,2,43,-0.16069443833731814
2,VEV_5300,3,42,-0.09129676726680398
2,VEV_5300,5,40,-0.18039708813872513
2,VEV_4000,0,127,0.20887174729867636
2,VEV_4000,1,126,0.020532097709095063
2,VEV_4000,2,125,0.019911650734752196
2,VEV_4000,3,124,-0.09403895569728375
2,VEV_4000,5,122,0.013521691595211393
3,VELVETFRUIT_EXTRACT,0,451,0.12728226200067674
3,VELVETFRUIT_EXTRACT,1,450,0.05938502025857186
3,VELVETFRUIT_EXTRACT,2,449,0.03904625022080019
3,VELVETFRUIT_EXTRACT,3,448,-0.0023797170412513764
3,VELVETFRUIT_EXTRACT,5,446,-0.033765885013865855
3,HYDROGEL_PACK,0,336,0.05183028298729344
3,HYDROGEL_PACK,1,335,-0.002982029389084398
3,HYDROGEL_PACK,2,334,0.04756105143033294
3,HYDROGEL_PACK,3,333,0.04851225866151396
3,HYDROGEL_PACK,5,331,-0.008722334103194342
3,VEV_5300,0,80,-0.13754171393613157
3,VEV_5300,1,79,-0.08033436277019632
3,VEV_5300,2,78,0.00593912960432277
3,VEV_5300,3,77,0.014449739784585268
3,VEV_5300,5,75,0.0692106250868003
3,VEV_5200,0,32,-0.21129767391188523
3,VEV_5200,1,31,0.3252171334925853
3,VEV_5200,2,30,-0.22915320749291399
3,VEV_5200,3,29,0.06839214091041179
3,VEV_5200,5,27,0.011927822685901535
3,VEV_4000,0,150,-0.012897391054568321
3,VEV_4000,1,149,-0.04909434890636815
3,VEV_4000,2,148,0.0004971284048584812
3,VEV_4000,3,147,-0.013725310084677868
3,VEV_4000,5,145,-0.03732111421191986
