buyer,seller,symbol,spread_q,count,mean,global_mean_same_spread_q,residual_vs_spread_stratum
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,75,2.026666666666667,0.33251748251748253,1.6941491841491843
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,89,1.6348314606741574,0.33251748251748253,1.3023139781566748
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,45,1.5666666666666667,0.33251748251748253,1.234149184149184
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,tight,70,1.4428571428571428,0.33251748251748253,1.1103396603396603
Mark 14,Mark 38,HYDROGEL_PACK,tight,160,1.11875,0.33251748251748253,0.7862325174825173
Mark 38,Mark 14,VEV_4000,mid,71,0.823943661971831,-0.08860759493670886,0.9125512569085399
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,138,0.7028985507246377,0.03048353188507358,0.6724150188395641
Mark 14,Mark 38,VEV_4000,tight,76,0.5526315789473685,0.33251748251748253,0.22011409642988594
Mark 38,Mark 14,VEV_4000,wide,65,0.47692307692307695,0.03048353188507358,0.44643954503800337
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,mid,165,0.4484848484848485,-0.08860759493670886,0.5370924434215574
Mark 38,Mark 14,HYDROGEL_PACK,wide,164,0.1798780487804878,0.03048353188507358,0.14939451689541422
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,wide,96,0.16145833333333334,0.03048353188507358,0.13097480144825976
Mark 01,Mark 22,VEV_5400,tight,85,0.11176470588235295,0.33251748251748253,-0.2207527766351296
Mark 14,Mark 38,HYDROGEL_PACK,mid,159,0.1069182389937107,-0.08860759493670886,0.19552583393041956
Mark 01,Mark 22,VEV_5500,mid,99,0.06060606060606061,-0.08860759493670886,0.14921365554276947
Mark 01,Mark 22,VEV_5300,wide,50,0.04,0.03048353188507358,0.00951646811492642
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,mid,149,0.03691275167785235,-0.08860759493670886,0.1255203466145612
Mark 01,Mark 22,VEV_5400,mid,89,0.028089887640449437,-0.08860759493670886,0.1166974825771583
Mark 01,Mark 22,VEV_5500,wide,101,0.024752475247524754,0.03048353188507358,-0.005731056637548828
Mark 01,Mark 22,VEV_6500,wide,106,0.0,0.03048353188507358,-0.03048353188507358
Mark 01,Mark 22,VEV_6500,mid,105,0.0,-0.08860759493670886,0.08860759493670886
Mark 01,Mark 22,VEV_6000,mid,105,0.0,-0.08860759493670886,0.08860759493670886
Mark 01,Mark 22,VEV_6000,wide,106,0.0,0.03048353188507358,-0.03048353188507358
Mark 01,Mark 22,VEV_6500,tight,106,0.0,0.33251748251748253,-0.33251748251748253
Mark 01,Mark 22,VEV_6000,tight,106,0.0,0.33251748251748253,-0.33251748251748253
Mark 01,Mark 22,VEV_5500,tight,99,-0.010101010101010102,0.33251748251748253,-0.34261849261849264
Mark 01,Mark 22,VEV_5400,wide,89,-0.016853932584269662,0.03048353188507358,-0.04733746446934324
Mark 14,Mark 38,VEV_4000,wide,81,-0.043209876543209874,0.03048353188507358,-0.07369340842828345
Mark 01,Mark 22,VEV_5300,tight,38,-0.07894736842105263,0.33251748251748253,-0.41146485093853513
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,mid,71,-0.1056338028169014,-0.08860759493670886,-0.017026207880192545
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,140,-0.15357142857142858,0.03048353188507358,-0.18405496045650216
Mark 01,Mark 22,VEV_5300,mid,44,-0.3409090909090909,-0.08860759493670886,-0.25230149597238205
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,86,-0.3953488372093023,0.03048353188507358,-0.4258323690943759
Mark 38,Mark 14,HYDROGEL_PACK,tight,162,-0.4444444444444444,0.33251748251748253,-0.776961926961927
Mark 14,Mark 38,HYDROGEL_PACK,wide,177,-0.4519774011299435,0.03048353188507358,-0.4824609330150171
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,tight,81,-0.5740740740740741,0.33251748251748253,-0.9065915565915565
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,mid,75,-0.6333333333333333,-0.08860759493670886,-0.5447257383966244
Mark 38,Mark 14,VEV_4000,tight,69,-0.6594202898550725,0.33251748251748253,-0.9919377723725551
Mark 38,Mark 14,HYDROGEL_PACK,mid,181,-0.7541436464088398,-0.08860759493670886,-0.6655360514721309
Mark 14,Mark 38,VEV_4000,mid,75,-1.0666666666666667,-0.08860759493670886,-0.9780590717299578
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,tight,35,-2.5142857142857142,0.33251748251748253,-2.846803196803197
