day,mark,n,corr_signed_cum_extract_fwd20
1,Mark 01,1406,0.0510585473510038
1,Mark 14,1406,0.04981555141376669
1,Mark 22,1406,-0.05154365573089314
1,Mark 38,1406,0.01268089644915241
1,Mark 49,1406,-0.044801253291007356
1,Mark 55,1406,-0.05586638744151602
1,Mark 67,1406,0.047452164024109594
2,Mark 01,1332,0.017639935675433656
2,Mark 14,1332,0.03348147028404859
2,Mark 22,1332,-0.014999977378582748
2,Mark 38,1332,-0.01247299454881321
2,Mark 49,1332,-0.010352818630481653
2,Mark 55,1332,-0.031077642971631625
2,Mark 67,1332,0.011048155021796575
3,Mark 01,1541,0.06954198206597381
3,Mark 14,1541,0.05041463341303964
3,Mark 22,1541,-0.06963612744862542
3,Mark 38,1541,-0.02044962422142632
3,Mark 49,1541,-0.05078252144219257
3,Mark 55,1541,-0.07811732463097891
3,Mark 67,1541,0.06368785299945319
