tape_day,kind,k,symbol,mean,n,med
1,burst,5,VEV_5200,0.8571428571428571,84,1.0
1,burst,5,VEV_5300,0.25,84,0.0
1,burst,20,VEV_5200,0.7857142857142857,84,0.5
1,burst,20,VEV_5300,0.30952380952380953,84,0.25
1,burst,100,VEV_5200,0.13690476190476192,84,0.0
1,burst,100,VEV_5300,-0.11904761904761904,84,-0.5
1,control,5,VEV_5200,-0.125,84,0.0
1,control,5,VEV_5300,-0.08333333333333333,84,0.0
1,control,20,VEV_5200,-0.39880952380952384,84,-0.25
1,control,20,VEV_5300,-0.27976190476190477,84,0.0
1,control,100,VEV_5200,-1.108433734939759,83,-1.0
1,control,100,VEV_5300,-0.7409638554216867,83,-1.0
2,burst,5,VEV_5200,0.7011494252873564,87,1.0
2,burst,5,VEV_5300,0.21264367816091953,87,0.0
2,burst,20,VEV_5200,0.9942528735632183,87,1.0
2,burst,20,VEV_5300,0.3333333333333333,87,0.5
2,burst,100,VEV_5200,0.9767441860465116,86,0.25
2,burst,100,VEV_5300,0.3372093023255814,86,0.0
2,control,5,VEV_5200,0.005747126436781609,87,0.0
2,control,5,VEV_5300,0.05747126436781609,87,0.0
2,control,20,VEV_5200,0.08045977011494253,87,0.0
2,control,20,VEV_5300,0.05172413793103448,87,0.0
2,control,100,VEV_5200,0.6453488372093024,86,1.0
2,control,100,VEV_5300,0.3372093023255814,86,0.5
3,burst,5,VEV_5200,0.7459016393442623,122,1.0
3,burst,5,VEV_5300,0.22540983606557377,122,0.5
3,burst,20,VEV_5200,0.9631147540983607,122,0.75
3,burst,20,VEV_5300,0.35655737704918034,122,0.5
3,burst,100,VEV_5200,1.4297520661157024,121,2.0
3,burst,100,VEV_5300,0.5991735537190083,121,1.0
3,control,5,VEV_5200,-0.10245901639344263,122,0.0
3,control,5,VEV_5300,-0.06557377049180328,122,0.0
3,control,20,VEV_5200,-0.1557377049180328,122,0.0
3,control,20,VEV_5300,-0.07377049180327869,122,0.0
3,control,100,VEV_5200,-0.1446280991735537,121,0.0
3,control,100,VEV_5300,-0.1487603305785124,121,0.0
