tape_day,kind,k,fwd_extract
1,burst,5,-2.5
1,burst,20,-4.0
1,burst,100,-20.0
1,burst,5,-2.5
1,burst,20,-5.0
1,burst,100,-17.5
1,burst,5,-1.0
1,burst,20,-4.0
1,burst,100,-1.0
1,burst,5,1.0
1,burst,20,-4.5
1,burst,100,-1.0
1,burst,5,0.0
1,burst,20,-2.0
1,burst,100,13.0
1,burst,5,3.0
1,burst,20,8.5
1,burst,100,11.0
1,burst,5,1.5
1,burst,20,2.0
1,burst,100,2.5
1,burst,5,-2.0
1,burst,20,-3.0
1,burst,100,-3.5
1,burst,5,4.0
1,burst,20,3.0
1,burst,100,-4.0
1,burst,5,0.5
1,burst,20,4.5
1,burst,100,8.5
1,burst,5,-0.5
1,burst,20,3.5
1,burst,100,4.5
1,burst,5,0.0
1,burst,20,-2.0
1,burst,100,4.0
1,burst,5,3.0
1,burst,20,6.5
1,burst,100,4.5
1,burst,5,-1.0
1,burst,20,-5.5
1,burst,100,-0.5
1,burst,5,2.5
1,burst,20,7.0
1,burst,100,-12.0
1,burst,5,0.5
1,burst,20,-9.0
1,burst,100,-13.0
1,burst,5,-1.5
1,burst,20,-3.0
1,burst,100,-2.0
1,burst,5,0.0
1,burst,20,-1.0
1,burst,100,-2.5
1,burst,5,-1.5
1,burst,20,1.0
1,burst,100,-2.0
1,burst,5,-2.5
1,burst,20,-5.5
1,burst,100,-4.0
1,burst,5,-2.0
1,burst,20,-1.5
1,burst,100,-0.5
1,burst,5,-2.0
1,burst,20,1.0
1,burst,100,11.0
1,burst,5,1.0
1,burst,20,5.0
1,burst,100,7.5
1,burst,5,0.0
1,burst,20,0.0
1,burst,100,-10.0
1,burst,5,0.0
1,burst,20,-1.5
1,burst,100,-8.5
1,burst,5,-2.0
1,burst,20,-4.0
1,burst,100,-25.0
1,burst,5,1.0
1,burst,20,2.0
1,burst,100,-11.0
1,burst,5,1.0
1,burst,20,-4.0
1,burst,100,-13.0
1,burst,5,-1.0
1,burst,20,-1.5
1,burst,100,2.0
1,burst,5,3.5
1,burst,20,2.0
1,burst,100,-1.0
1,burst,5,1.0
1,burst,20,3.0
1,burst,100,-2.0
1,burst,5,1.0
1,burst,20,5.0
1,burst,100,-7.0
1,burst,5,0.0
1,burst,20,0.0
1,burst,100,-8.5
1,burst,5,-3.0
1,burst,20,-2.0
1,burst,100,0.5
1,burst,5,-2.0
1,burst,20,5.0
1,burst,100,19.0
1,burst,5,-0.5
1,burst,20,-5.0
1,burst,100,7.0
1,burst,5,2.0
1,burst,20,6.0
1,burst,100,4.0
1,burst,5,-0.5
1,burst,20,-3.0
1,burst,100,-15.0
1,burst,5,1.5
1,burst,20,5.0
1,burst,100,4.0
1,burst,5,2.0
1,burst,20,0.0
1,burst,100,-5.0
1,burst,5,-1.5
1,burst,20,-5.0
1,burst,100,-13.0
1,burst,5,-2.0
1,burst,20,2.0
1,burst,100,0.5
1,burst,5,0.5
1,burst,20,4.5
1,burst,100,3.5
1,burst,5,1.5
1,burst,20,4.5
1,burst,100,2.0
1,burst,5,-3.0
1,burst,20,-2.0
1,burst,100,-4.0
1,burst,5,-0.5
1,burst,20,1.0
1,burst,100,3.5
1,burst,5,2.0
1,burst,20,3.5
1,burst,100,4.5
1,burst,5,0.0
1,burst,20,-4.0
1,burst,100,-6.5
1,burst,5,-0.5
1,burst,20,-4.5
1,burst,100,3.5
1,burst,5,-1.5
1,burst,20,0.0
1,burst,100,-6.0
1,burst,5,-1.0
1,burst,20,-1.5
1,burst,100,-5.5
1,burst,5,-1.0
1,burst,20,-7.0
1,burst,100,-22.0
1,burst,5,-5.0
1,burst,20,-11.0
1,burst,100,-15.0
1,burst,5,-1.0
1,burst,20,-2.0
1,burst,100,-14.0
1,burst,5,2.0
1,burst,20,-1.0
1,burst,100,7.5
1,burst,5,3.0
1,burst,20,5.0
1,burst,100,5.5
1,burst,5,0.0
1,burst,20,2.5
1,burst,100,8.5
1,burst,5,-0.5
1,burst,20,8.0
1,burst,100,16.0
1,burst,5,3.0
1,burst,20,3.5
1,burst,100,18.0
1,burst,5,2.0
1,burst,20,6.0
1,burst,100,10.0
1,burst,5,2.5
1,burst,20,2.0
1,burst,100,-3.0
1,burst,5,-1.0
1,burst,20,-3.0
1,burst,100,2.0
1,burst,5,-2.0
1,burst,20,-8.0
1,burst,100,16.0
1,burst,5,-3.0
1,burst,20,-8.0
1,burst,100,-3.0
1,burst,5,-1.5
1,burst,20,4.0
1,burst,100,4.0
1,burst,5,-1.0
1,burst,20,-4.5
1,burst,100,-11.5
1,burst,5,1.5
1,burst,20,5.0
1,burst,100,7.5
1,burst,5,-2.0
1,burst,20,-4.0
1,burst,100,-9.0
1,burst,5,-1.5
1,burst,20,4.0
1,burst,100,0.0
1,burst,5,1.0
1,burst,20,-4.0
1,burst,100,-6.0
1,burst,5,0.0
1,burst,20,-5.5
1,burst,100,-8.0
1,burst,5,-3.0
1,burst,20,-6.0
1,burst,100,-10.0
1,burst,5,1.5
1,burst,20,-4.5
1,burst,100,-17.5
1,burst,5,-3.5
1,burst,20,-6.0
1,burst,100,7.5
1,burst,5,3.0
1,burst,20,-2.0
1,burst,100,-1.0
1,burst,5,2.0
1,burst,20,9.0
1,burst,100,-3.0
1,burst,5,-1.5
1,burst,20,-5.5
1,burst,100,-14.5
1,burst,5,2.5
1,burst,20,7.5
1,burst,100,11.0
1,burst,5,3.0
1,burst,20,3.0
1,burst,100,3.0
1,burst,5,2.0
1,burst,20,4.0
1,burst,100,-12.5
1,burst,5,-2.0
1,burst,20,-1.0
1,burst,100,11.0
1,burst,5,1.0
1,burst,20,4.0
1,burst,100,16.5
1,burst,5,2.0
1,burst,20,7.0
1,burst,100,7.0
1,burst,5,-0.5
1,burst,20,4.0
1,burst,100,14.0
1,control,5,0.0
1,control,20,-2.0
1,control,100,-14.0
1,control,5,2.0
1,control,20,-1.0
1,control,100,2.0
1,control,5,1.0
1,control,20,3.0
1,control,100,-1.5
1,control,5,3.0
1,control,20,2.5
1,control,100,1.5
1,control,5,0.0
1,control,20,-5.0
1,control,100,-14.0
1,control,5,1.5
1,control,20,-1.0
1,control,100,
1,control,5,1.0
1,control,20,-3.0
1,control,100,-3.0
1,control,5,-1.5
1,control,20,-0.5
1,control,100,2.5
1,control,5,2.0
1,control,20,1.0
1,control,100,-6.0
1,control,5,0.5
1,control,20,-1.0
1,control,100,-8.0
1,control,5,-5.5
1,control,20,-7.0
1,control,100,2.0
1,control,5,-1.5
1,control,20,-3.5
1,control,100,1.5
1,control,5,1.0
1,control,20,5.0
1,control,100,17.5
1,control,5,2.0
1,control,20,5.0
1,control,100,8.0
1,control,5,-0.5
1,control,20,-2.0
1,control,100,11.0
1,control,5,-1.0
1,control,20,-3.0
1,control,100,6.0
1,control,5,-1.5
1,control,20,-1.5
1,control,100,-1.5
1,control,5,3.0
1,control,20,0.0
1,control,100,14.0
1,control,5,-3.0
1,control,20,-5.0
1,control,100,-9.0
1,control,5,-1.0
1,control,20,0.0
1,control,100,-5.0
1,control,5,-3.5
1,control,20,0.5
1,control,100,-2.5
1,control,5,1.5
1,control,20,-4.5
1,control,100,7.5
1,control,5,-0.5
1,control,20,-2.0
1,control,100,1.0
1,control,5,0.5
1,control,20,0.5
1,control,100,-15.5
1,control,5,-4.0
1,control,20,-2.5
1,control,100,6.0
1,control,5,0.0
1,control,20,-6.5
1,control,100,16.0
1,control,5,-3.0
1,control,20,-8.5
1,control,100,-16.0
1,control,5,-0.5
1,control,20,-2.0
1,control,100,-15.0
1,control,5,-0.5
1,control,20,-2.0
1,control,100,10.0
1,control,5,-1.0
1,control,20,-2.5
1,control,100,-12.0
1,control,5,-1.5
1,control,20,1.5
1,control,100,-12.0
1,control,5,-2.0
1,control,20,-3.0
1,control,100,-9.0
