tape_day,flow_symbol,target_symbol,fwd_k,flow_lag_steps,n,pearson_corr
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,5,0,9995,-0.010952987986023942
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,5,1,9994,0.003259521959576293
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,5,2,9993,0.0011885308886357606
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,5,3,9992,0.00527379160257917
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,5,5,9990,0.0030327109897490103
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,5,0,9995,0.03294970109504238
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,5,1,9994,0.0015572892479766894
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,5,2,9993,0.008503385894198058
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,5,3,9992,0.017082441114852423
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,5,5,9990,0.006759546217992562
1,VEV_4000,VELVETFRUIT_EXTRACT,5,0,9995,0.0035142626928116134
1,VEV_4000,VELVETFRUIT_EXTRACT,5,1,9994,0.003430859150340114
1,VEV_4000,VELVETFRUIT_EXTRACT,5,2,9993,-0.0015782914685734293
1,VEV_4000,VELVETFRUIT_EXTRACT,5,3,9992,-0.003055914627163976
1,VEV_4000,VELVETFRUIT_EXTRACT,5,5,9990,-0.003382253691878751
1,VEV_4500,VELVETFRUIT_EXTRACT,5,0,9995,-0.009287389885457072
1,VEV_4500,VELVETFRUIT_EXTRACT,5,1,9994,-0.01159643409389221
1,VEV_4500,VELVETFRUIT_EXTRACT,5,2,9993,-0.006977527993142066
1,VEV_4500,VELVETFRUIT_EXTRACT,5,3,9992,-4.923413064783697e-05
1,VEV_4500,VELVETFRUIT_EXTRACT,5,5,9990,0.004568525388401253
1,VEV_5000,VELVETFRUIT_EXTRACT,5,0,9995,-0.009287389885457072
1,VEV_5000,VELVETFRUIT_EXTRACT,5,1,9994,-0.01159643409389221
1,VEV_5000,VELVETFRUIT_EXTRACT,5,2,9993,-0.006977527993142066
1,VEV_5000,VELVETFRUIT_EXTRACT,5,3,9992,-4.923413064783697e-05
1,VEV_5000,VELVETFRUIT_EXTRACT,5,5,9990,0.004568525388401253
1,VEV_5100,VELVETFRUIT_EXTRACT,5,0,9995,-0.009287389885457072
1,VEV_5100,VELVETFRUIT_EXTRACT,5,1,9994,-0.01159643409389221
1,VEV_5100,VELVETFRUIT_EXTRACT,5,2,9993,-0.006977527993142066
1,VEV_5100,VELVETFRUIT_EXTRACT,5,3,9992,-4.923413064783697e-05
1,VEV_5100,VELVETFRUIT_EXTRACT,5,5,9990,0.004568525388401253
1,VEV_5200,VELVETFRUIT_EXTRACT,5,0,9995,0.011078316665867763
1,VEV_5200,VELVETFRUIT_EXTRACT,5,1,9994,0.02383150926143128
1,VEV_5200,VELVETFRUIT_EXTRACT,5,2,9993,0.017964780211068843
1,VEV_5200,VELVETFRUIT_EXTRACT,5,3,9992,0.013374144804147378
1,VEV_5200,VELVETFRUIT_EXTRACT,5,5,9990,-0.004734507181250676
1,VEV_5300,VELVETFRUIT_EXTRACT,5,0,9995,0.003458286851860756
1,VEV_5300,VELVETFRUIT_EXTRACT,5,1,9994,0.015383753306280348
1,VEV_5300,VELVETFRUIT_EXTRACT,5,2,9993,0.017285853096606196
1,VEV_5300,VELVETFRUIT_EXTRACT,5,3,9992,0.012642636321163256
1,VEV_5300,VELVETFRUIT_EXTRACT,5,5,9990,0.0021998887005491414
1,VEV_5400,VELVETFRUIT_EXTRACT,5,0,9995,-0.0015924456623733947
1,VEV_5400,VELVETFRUIT_EXTRACT,5,1,9994,0.009131663219836094
1,VEV_5400,VELVETFRUIT_EXTRACT,5,2,9993,-0.004109738884667212
1,VEV_5400,VELVETFRUIT_EXTRACT,5,3,9992,-0.0008994034866091747
1,VEV_5400,VELVETFRUIT_EXTRACT,5,5,9990,-0.007087560085559651
1,VEV_5500,VELVETFRUIT_EXTRACT,5,0,9995,-0.00364160177823464
1,VEV_5500,VELVETFRUIT_EXTRACT,5,1,9994,0.009038999988082023
1,VEV_5500,VELVETFRUIT_EXTRACT,5,2,9993,0.0028276722465389683
1,VEV_5500,VELVETFRUIT_EXTRACT,5,3,9992,-0.0021917613977731412
1,VEV_5500,VELVETFRUIT_EXTRACT,5,5,9990,0.0004694450260658093
1,VEV_6000,VELVETFRUIT_EXTRACT,5,0,9995,-0.0032159825105411424
1,VEV_6000,VELVETFRUIT_EXTRACT,5,1,9994,0.010317087543136632
1,VEV_6000,VELVETFRUIT_EXTRACT,5,2,9993,0.001226270194135863
1,VEV_6000,VELVETFRUIT_EXTRACT,5,3,9992,-0.000295409078235881
1,VEV_6000,VELVETFRUIT_EXTRACT,5,5,9990,0.00042176594962676286
1,VEV_6500,VELVETFRUIT_EXTRACT,5,0,9995,-0.0032159825105411424
1,VEV_6500,VELVETFRUIT_EXTRACT,5,1,9994,0.010317087543136632
1,VEV_6500,VELVETFRUIT_EXTRACT,5,2,9993,0.001226270194135863
1,VEV_6500,VELVETFRUIT_EXTRACT,5,3,9992,-0.000295409078235881
1,VEV_6500,VELVETFRUIT_EXTRACT,5,5,9990,0.00042176594962676286
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,20,0,9980,-0.016421470358789016
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,20,1,9979,-0.009766785717708655
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,20,2,9978,-0.013319503354979811
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,20,3,9977,-0.010749265215353257
1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,20,5,9975,-0.004438992106286736
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,20,0,9980,0.025945538932983996
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,20,1,9979,0.014471224454458514
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,20,2,9978,0.016225994399271366
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,20,3,9977,0.01467853678988234
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,20,5,9975,0.009947713125161453
1,VEV_4000,VELVETFRUIT_EXTRACT,20,0,9980,-0.0025933449942496713
1,VEV_4000,VELVETFRUIT_EXTRACT,20,1,9979,-0.002007286628908151
1,VEV_4000,VELVETFRUIT_EXTRACT,20,2,9978,-0.0007476864177638373
1,VEV_4000,VELVETFRUIT_EXTRACT,20,3,9977,-0.002934481914393005
1,VEV_4000,VELVETFRUIT_EXTRACT,20,5,9975,-0.0011284213554941178
1,VEV_4500,VELVETFRUIT_EXTRACT,20,0,9980,0.01165664147971081
1,VEV_4500,VELVETFRUIT_EXTRACT,20,1,9979,0.009308498748020741
1,VEV_4500,VELVETFRUIT_EXTRACT,20,2,9978,0.012836767297759177
1,VEV_4500,VELVETFRUIT_EXTRACT,20,3,9977,0.011661784290061305
1,VEV_4500,VELVETFRUIT_EXTRACT,20,5,9975,0.014014594747647092
1,VEV_5000,VELVETFRUIT_EXTRACT,20,0,9980,0.01165664147971081
1,VEV_5000,VELVETFRUIT_EXTRACT,20,1,9979,0.009308498748020741
1,VEV_5000,VELVETFRUIT_EXTRACT,20,2,9978,0.012836767297759177
1,VEV_5000,VELVETFRUIT_EXTRACT,20,3,9977,0.011661784290061305
1,VEV_5000,VELVETFRUIT_EXTRACT,20,5,9975,0.014014594747647092
1,VEV_5100,VELVETFRUIT_EXTRACT,20,0,9980,0.01165664147971081
1,VEV_5100,VELVETFRUIT_EXTRACT,20,1,9979,0.009308498748020741
1,VEV_5100,VELVETFRUIT_EXTRACT,20,2,9978,0.012836767297759177
1,VEV_5100,VELVETFRUIT_EXTRACT,20,3,9977,0.011661784290061305
1,VEV_5100,VELVETFRUIT_EXTRACT,20,5,9975,0.014014594747647092
1,VEV_5200,VELVETFRUIT_EXTRACT,20,0,9980,0.015273842230020877
1,VEV_5200,VELVETFRUIT_EXTRACT,20,1,9979,0.018907704390422355
1,VEV_5200,VELVETFRUIT_EXTRACT,20,2,9978,0.013712619474190222
1,VEV_5200,VELVETFRUIT_EXTRACT,20,3,9977,0.014231131001804807
1,VEV_5200,VELVETFRUIT_EXTRACT,20,5,9975,0.003970836949625441
1,VEV_5300,VELVETFRUIT_EXTRACT,20,0,9980,0.01711899504921841
1,VEV_5300,VELVETFRUIT_EXTRACT,20,1,9979,0.016305914397543208
1,VEV_5300,VELVETFRUIT_EXTRACT,20,2,9978,0.016085678417266432
1,VEV_5300,VELVETFRUIT_EXTRACT,20,3,9977,0.01946921170465255
1,VEV_5300,VELVETFRUIT_EXTRACT,20,5,9975,0.015055698897549586
1,VEV_5400,VELVETFRUIT_EXTRACT,20,0,9980,-0.004731527618864331
1,VEV_5400,VELVETFRUIT_EXTRACT,20,1,9979,-0.010527869943202645
1,VEV_5400,VELVETFRUIT_EXTRACT,20,2,9978,-0.008515252662464386
1,VEV_5400,VELVETFRUIT_EXTRACT,20,3,9977,-0.008590290236715498
1,VEV_5400,VELVETFRUIT_EXTRACT,20,5,9975,-0.006294401760809545
1,VEV_5500,VELVETFRUIT_EXTRACT,20,0,9980,0.003380905537222626
1,VEV_5500,VELVETFRUIT_EXTRACT,20,1,9979,0.0014496316798991663
1,VEV_5500,VELVETFRUIT_EXTRACT,20,2,9978,0.004703668562192393
1,VEV_5500,VELVETFRUIT_EXTRACT,20,3,9977,0.00443031071340484
1,VEV_5500,VELVETFRUIT_EXTRACT,20,5,9975,0.00822192961968848
1,VEV_6000,VELVETFRUIT_EXTRACT,20,0,9980,0.0022809424072891865
1,VEV_6000,VELVETFRUIT_EXTRACT,20,1,9979,1.2421664942232933e-06
1,VEV_6000,VELVETFRUIT_EXTRACT,20,2,9978,0.0031631519175339367
1,VEV_6000,VELVETFRUIT_EXTRACT,20,3,9977,0.0030617002377485492
1,VEV_6000,VELVETFRUIT_EXTRACT,20,5,9975,0.0060933620252929975
1,VEV_6500,VELVETFRUIT_EXTRACT,20,0,9980,0.0022809424072891865
1,VEV_6500,VELVETFRUIT_EXTRACT,20,1,9979,1.2421664942232933e-06
1,VEV_6500,VELVETFRUIT_EXTRACT,20,2,9978,0.0031631519175339367
1,VEV_6500,VELVETFRUIT_EXTRACT,20,3,9977,0.0030617002377485492
1,VEV_6500,VELVETFRUIT_EXTRACT,20,5,9975,0.0060933620252929975
1,HYDROGEL_PACK,HYDROGEL_PACK,5,0,9995,-0.016787518175680454
1,HYDROGEL_PACK,HYDROGEL_PACK,5,1,9994,-0.001383694963933454
1,HYDROGEL_PACK,HYDROGEL_PACK,5,2,9993,0.0008780242758269908
1,HYDROGEL_PACK,HYDROGEL_PACK,5,3,9992,-0.003488965043281124
1,HYDROGEL_PACK,HYDROGEL_PACK,5,5,9990,0.004519743497727165
1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,5,0,9995,-0.007503121243469779
1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,5,1,9994,-0.010258653016668519
1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,5,2,9993,0.01310827255699312
1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,5,3,9992,0.015378454049814723
1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,5,5,9990,0.01575087113773032
