tape_day,flow_symbol,target_symbol,fwd_k,flow_lag_steps,n,pearson_corr
1,VEV_6500,VEV_5200,5,0,9995,-0.06520902879920579
1,VEV_6000,VEV_5200,5,0,9995,-0.06520902879920579
1,VEV_5500,VEV_5200,5,0,9995,-0.06332498908753427
1,VEV_5400,VEV_5200,5,0,9995,-0.05937987764536366
1,VEV_6000,VEV_5300,5,0,9995,-0.03882996879595788
1,VEV_6500,VEV_5300,5,0,9995,-0.03882996879595788
1,VEV_5500,VEV_5300,5,0,9995,-0.03714504524161878
1,VEV_5400,VEV_5300,5,0,9995,-0.03492990289131279
1,VEV_5400,VEV_5200,20,0,9980,-0.03488877663810252
1,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,5,0,9995,0.03294970109504238
1,VEV_5300,VEV_5200,5,0,9995,-0.03221508815582828
1,VEV_6500,VEV_5200,20,0,9980,-0.028727228508504038
2,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,5,0,9995,0.05081264321171407
2,VEV_6000,VEV_5200,5,0,9995,-0.040955803600156486
2,VEV_6500,VEV_5200,5,0,9995,-0.040955803600156486
2,VEV_5500,VEV_5200,5,0,9995,-0.04082134320845621
2,VEV_5400,VEV_5200,5,0,9995,-0.03697537616835869
2,VEV_6000,VEV_5200,20,0,9980,-0.033873719040487346
2,VEV_6500,VEV_5200,20,0,9980,-0.033873719040487346
2,VEV_5500,VEV_5200,20,0,9980,-0.03372583873139603
2,VEV_4000,VEV_5300,5,0,9995,0.03179469969431788
2,VELVETFRUIT_EXTRACT,VELVETFRUIT_EXTRACT,20,0,9980,0.03168356981319971
2,VEV_5200,VELVETFRUIT_EXTRACT,20,0,9980,-0.029541477998590526
2,VEV_5400,VEV_5200,20,0,9980,-0.028848355625124746
3,VEV_5500,VEV_5200,5,0,9995,-0.06644514996734216
3,VEV_6000,VEV_5200,5,0,9995,-0.066062150398299
3,VEV_6500,VEV_5200,5,0,9995,-0.066062150398299
3,VEV_5400,VEV_5200,5,0,9995,-0.06280483029039609
3,VEV_5500,VEV_5200,20,0,9980,-0.051448485060099275
3,VEV_6500,VEV_5200,20,0,9980,-0.04904973653962143
3,VEV_6000,VEV_5200,20,0,9980,-0.04904973653962143
3,VEV_5400,VEV_5200,20,0,9980,-0.04650609488733472
3,VEV_5500,VEV_5300,5,0,9995,-0.04496204267761151
3,VEV_6000,VEV_5300,5,0,9995,-0.04336268729261635
3,VEV_6500,VEV_5300,5,0,9995,-0.04336268729261635
3,VEV_5500,VEV_5300,20,0,9980,-0.04228150066919788
