buyer,seller,symbol,k,tape_day,mean,count
Mark 01,Mark 22,VEV_5200,5,3,4.0371746350005693e-17,11
Mark 01,Mark 22,VEV_5200,20,3,0.0,11
Mark 01,Mark 22,VEV_5200,100,3,-4.844609562000683e-16,11
Mark 01,Mark 22,VEV_5300,5,1,-0.11458333333333333,32
Mark 01,Mark 22,VEV_5300,5,2,0.11491935483870967,31
Mark 01,Mark 22,VEV_5300,5,3,0.0015096618357487918,69
Mark 01,Mark 22,VEV_5300,20,1,-0.5225694444444444,32
Mark 01,Mark 22,VEV_5300,20,2,0.34744623655913975,31
Mark 01,Mark 22,VEV_5300,20,3,0.08625201288244765,69
Mark 01,Mark 22,VEV_5300,100,1,-0.2757009345794392,32
Mark 01,Mark 22,VEV_5300,100,2,-0.05470534787123572,30
Mark 01,Mark 22,VEV_5300,100,3,0.15164623685042217,69
Mark 01,Mark 22,VEV_5400,5,1,0.026465879527716618,76
Mark 01,Mark 22,VEV_5400,5,2,-0.012333040850151121,78
Mark 01,Mark 22,VEV_5400,5,3,-0.009627795025639244,109
Mark 01,Mark 22,VEV_5400,20,1,0.012707624574744883,76
Mark 01,Mark 22,VEV_5400,20,2,-0.01428292873159791,78
Mark 01,Mark 22,VEV_5400,20,3,0.0013604492971012244,109
Mark 01,Mark 22,VEV_5400,100,1,-0.12384615384615381,75
Mark 01,Mark 22,VEV_5400,100,2,-0.09475524475524474,77
Mark 01,Mark 22,VEV_5400,100,3,0.15356125356125358,108
Mark 01,Mark 22,VEV_5500,5,1,-0.0024050204802525295,89
Mark 01,Mark 22,VEV_5500,5,2,-0.018394648829431443,91
Mark 01,Mark 22,VEV_5500,5,3,0.015865208959838114,119
Mark 01,Mark 22,VEV_5500,20,1,-0.030701589568223667,89
Mark 01,Mark 22,VEV_5500,20,2,-0.0086000955566173,91
Mark 01,Mark 22,VEV_5500,20,3,0.029538236699362015,119
Mark 01,Mark 22,VEV_5500,100,1,-0.07193659440850451,89
Mark 01,Mark 22,VEV_5500,100,2,0.0013468013468013506,90
Mark 01,Mark 22,VEV_5500,100,3,0.05323004051817611,118
Mark 01,Mark 22,VEV_6000,5,1,0.0,98
Mark 01,Mark 22,VEV_6000,5,2,0.0,95
Mark 01,Mark 22,VEV_6000,5,3,0.0,124
Mark 01,Mark 22,VEV_6000,20,1,0.0,98
Mark 01,Mark 22,VEV_6000,20,2,0.0,95
Mark 01,Mark 22,VEV_6000,20,3,0.0,124
Mark 01,Mark 22,VEV_6000,100,1,0.0,97
Mark 01,Mark 22,VEV_6000,100,2,0.0,94
Mark 01,Mark 22,VEV_6000,100,3,0.0,123
Mark 01,Mark 22,VEV_6500,5,1,0.0,98
Mark 01,Mark 22,VEV_6500,5,2,0.0,95
Mark 01,Mark 22,VEV_6500,5,3,0.0,124
Mark 01,Mark 22,VEV_6500,20,1,0.0,98
Mark 01,Mark 22,VEV_6500,20,2,0.0,95
Mark 01,Mark 22,VEV_6500,20,3,0.0,124
Mark 01,Mark 22,VEV_6500,100,1,0.0,97
Mark 01,Mark 22,VEV_6500,100,2,0.0,94
Mark 01,Mark 22,VEV_6500,100,3,0.0,123
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,1,0.3804428239272881,76
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,2,-0.38876384659517194,91
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,3,0.0695038217385672,93
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,1,0.6474438423550662,76
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,2,-0.8720476310837756,91
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,3,0.3242000259100921,93
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,1,0.3148911435214543,76
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,2,0.13612692528355166,91
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,3,-0.39052986138100787,93
Mark 14,Mark 22,VEV_5200,5,1,-0.2575757575757576,6
Mark 14,Mark 22,VEV_5200,5,2,0.24242424242424243,8
Mark 14,Mark 22,VEV_5200,5,3,-0.020733652312599687,19
Mark 14,Mark 22,VEV_5200,20,1,-1.5984848484848486,6
Mark 14,Mark 22,VEV_5200,20,2,2.609848484848485,8
Mark 14,Mark 22,VEV_5200,20,3,-0.5940988835725678,19
Mark 14,Mark 22,VEV_5200,100,1,-3.992424242424242,6
Mark 14,Mark 22,VEV_5200,100,2,2.903409090909091,8
Mark 14,Mark 22,VEV_5200,100,3,0.03827751196172264,19
Mark 14,Mark 22,VEV_5300,5,1,0.5277777777777778,6
Mark 14,Mark 22,VEV_5300,5,2,-0.24007936507936511,14
Mark 14,Mark 22,VEV_5300,5,3,0.01944444444444444,10
Mark 14,Mark 22,VEV_5300,20,1,0.6666666666666666,6
Mark 14,Mark 22,VEV_5300,20,2,-0.2976190476190476,14
Mark 14,Mark 22,VEV_5300,20,3,0.016666666666666642,10
Mark 14,Mark 22,VEV_5300,100,1,0.22222222222222218,6
Mark 14,Mark 22,VEV_5300,100,2,0.12400793650793636,14
Mark 14,Mark 22,VEV_5300,100,3,-0.30694444444444435,10
Mark 14,Mark 22,VEV_5400,5,1,-0.015384615384615363,5
Mark 14,Mark 22,VEV_5400,5,2,-0.3653846153846154,2
Mark 14,Mark 22,VEV_5400,5,3,0.1346153846153846,6
Mark 14,Mark 22,VEV_5400,20,1,-0.1538461538461538,5
Mark 14,Mark 22,VEV_5400,20,2,-0.15384615384615385,2
Mark 14,Mark 22,VEV_5400,20,3,0.17948717948717954,6
Mark 14,Mark 22,VEV_5400,100,1,-0.7153846153846153,5
Mark 14,Mark 22,VEV_5400,100,2,-0.3653846153846154,2
Mark 14,Mark 22,VEV_5400,100,3,0.717948717948718,6
Mark 14,Mark 22,VEV_5500,5,1,0.2857142857142857,3
Mark 14,Mark 22,VEV_5500,5,2,-0.04761904761904764,3
Mark 14,Mark 22,VEV_5500,5,3,-0.7142857142857143,1
Mark 14,Mark 22,VEV_5500,20,1,-0.23809523809523805,3
Mark 14,Mark 22,VEV_5500,20,2,0.42857142857142855,3
Mark 14,Mark 22,VEV_5500,20,3,-0.5714285714285714,1
Mark 14,Mark 22,VEV_5500,100,1,-0.09523809523809527,3
Mark 14,Mark 22,VEV_5500,100,2,0.0714285714285714,3
Mark 14,Mark 22,VEV_5500,100,3,0.0714285714285714,1
Mark 14,Mark 38,HYDROGEL_PACK,5,1,0.261097578275055,183
Mark 14,Mark 38,HYDROGEL_PACK,5,2,0.086325646184801,142
Mark 14,Mark 38,HYDROGEL_PACK,5,3,-0.35110583966419223,171
Mark 14,Mark 38,HYDROGEL_PACK,20,1,0.8989345176087873,183
Mark 14,Mark 38,HYDROGEL_PACK,20,2,-0.23456121343445266,142
Mark 14,Mark 38,HYDROGEL_PACK,20,3,-0.7672358152907349,171
Mark 14,Mark 38,HYDROGEL_PACK,100,1,0.18627517807845692,183
Mark 14,Mark 38,HYDROGEL_PACK,100,2,-1.2072171072171072,140
Mark 14,Mark 38,HYDROGEL_PACK,100,3,0.7890177627019734,171
Mark 14,Mark 38,VEV_4000,5,1,-0.0046172315079877745,91
Mark 14,Mark 38,VEV_4000,5,2,-0.34224002100840334,64
Mark 14,Mark 38,VEV_4000,5,3,0.2899159663865547,77
Mark 14,Mark 38,VEV_4000,20,1,0.31399867639363416,91
Mark 14,Mark 38,VEV_4000,20,2,-0.8812095150560226,64
Mark 14,Mark 38,VEV_4000,20,3,0.36134453781512593,77
Mark 14,Mark 38,VEV_4000,100,1,-0.4961685823754787,90
Mark 14,Mark 38,VEV_4000,100,2,-0.12068965517241348,64
Mark 14,Mark 38,VEV_4000,100,3,0.6802507836990599,77
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,1,0.20749514514763737,114
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,2,-0.23869596067623708,92
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,3,-0.015403801496516661,110
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,1,0.1948414081561519,114
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,2,-0.08001007774258573,92
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,3,-0.13500903070439502,110
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,1,0.9192660018552873,112
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,2,-1.1561688311688314,90
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,3,0.010067913737638223,109
Mark 22,Mark 38,HYDROGEL_PACK,5,1,1.8484848484848484,3
Mark 22,Mark 38,HYDROGEL_PACK,5,2,-0.5681818181818183,4
Mark 22,Mark 38,HYDROGEL_PACK,5,3,-0.8181818181818183,4
Mark 22,Mark 38,HYDROGEL_PACK,20,1,0.8636363636363633,3
Mark 22,Mark 38,HYDROGEL_PACK,20,2,-2.5113636363636367,4
Mark 22,Mark 38,HYDROGEL_PACK,20,3,1.8636363636363633,4
Mark 22,Mark 38,HYDROGEL_PACK,100,1,2.924242424242427,3
Mark 22,Mark 38,HYDROGEL_PACK,100,2,-0.5340909090909083,4
Mark 22,Mark 38,HYDROGEL_PACK,100,3,-1.659090909090907,4
Mark 22,Mark 38,VEV_4000,5,3,0.0,1
Mark 22,Mark 38,VEV_4000,20,3,0.0,1
Mark 22,Mark 38,VEV_4000,100,3,0.0,1
Mark 22,Mark 38,VEV_4500,5,3,0.0,1
Mark 22,Mark 38,VEV_4500,20,3,0.0,1
Mark 22,Mark 38,VEV_4500,100,3,0.0,1
Mark 22,Mark 38,VEV_5000,5,3,0.0,1
Mark 22,Mark 38,VEV_5000,20,3,0.0,1
Mark 22,Mark 38,VEV_5000,100,3,0.0,1
Mark 22,Mark 38,VEV_5100,5,3,0.0,1
Mark 22,Mark 38,VEV_5100,20,3,0.0,1
Mark 22,Mark 38,VEV_5100,100,3,0.0,1
Mark 22,Mark 38,VEV_5200,5,3,0.0,1
Mark 22,Mark 38,VEV_5200,20,3,0.0,1
Mark 22,Mark 38,VEV_5200,100,3,0.0,1
Mark 22,Mark 38,VEV_5300,5,3,0.0,1
Mark 22,Mark 38,VEV_5300,20,3,0.0,1
Mark 22,Mark 38,VEV_5300,100,3,0.0,1
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5,1,0.2321428571428572,4
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5,2,-1.8928571428571428,2
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5,3,2.857142857142857,1
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,20,1,0.1607142857142856,4
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,20,2,-2.4642857142857144,2
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,20,3,4.285714285714286,1
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,100,1,6.303571428571429,4
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,100,2,-7.821428571428571,2
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,100,3,-9.571428571428571,1
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5,1,-0.3611111111111111,6
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5,2,-0.6825396825396827,7
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5,3,1.3888888888888888,5
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,20,1,-1.7777777777777777,6
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,20,2,0.1865079365079366,7
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,20,3,1.8722222222222222,5
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,100,1,-4.138888888888889,6
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,100,2,-0.31746031746031783,7
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,100,3,5.4111111111111105,5
Mark 38,Mark 14,HYDROGEL_PACK,5,1,-0.14775203010497115,187
Mark 38,Mark 14,HYDROGEL_PACK,5,2,0.08346022252164428,161
Mark 38,Mark 14,HYDROGEL_PACK,5,3,0.0892612188908486,159
Mark 38,Mark 14,HYDROGEL_PACK,20,1,-0.001485442661913164,187
Mark 38,Mark 14,HYDROGEL_PACK,20,2,-0.29911707033860235,161
Mark 38,Mark 14,HYDROGEL_PACK,20,3,0.304626579259703,159
Mark 38,Mark 14,HYDROGEL_PACK,100,1,-1.152708416198937,187
Mark 38,Mark 14,HYDROGEL_PACK,100,2,2.472088990554899,160
Mark 38,Mark 14,HYDROGEL_PACK,100,3,-1.1390997763264745,158
Mark 38,Mark 14,VEV_4000,5,1,-0.4064204243149774,72
Mark 38,Mark 14,VEV_4000,5,2,0.08310367617717479,64
Mark 38,Mark 14,VEV_4000,5,3,0.3372342996526646,71
Mark 38,Mark 14,VEV_4000,20,1,-0.570477952460526,71
Mark 38,Mark 14,VEV_4000,20,2,0.5495503286060186,63
Mark 38,Mark 14,VEV_4000,20,3,0.08284878764110079,71
Mark 38,Mark 14,VEV_4000,100,1,-0.34954728370221344,71
Mark 38,Mark 14,VEV_4000,100,2,2.2100907029478454,63
Mark 38,Mark 14,VEV_4000,100,3,-1.6582298136645965,69
Mark 38,Mark 22,HYDROGEL_PACK,5,1,-3.9375,2
Mark 38,Mark 22,HYDROGEL_PACK,5,2,0.5625,4
Mark 38,Mark 22,HYDROGEL_PACK,5,3,2.8125,2
Mark 38,Mark 22,HYDROGEL_PACK,20,1,-4.5625,2
Mark 38,Mark 22,HYDROGEL_PACK,20,2,-0.5625,4
Mark 38,Mark 22,HYDROGEL_PACK,20,3,5.6875,2
Mark 38,Mark 22,HYDROGEL_PACK,100,1,10.678571428571429,2
Mark 38,Mark 22,HYDROGEL_PACK,100,2,7.928571428571431,3
Mark 38,Mark 22,HYDROGEL_PACK,100,3,-22.57142857142857,2
Mark 38,Mark 22,VEV_4000,5,1,-0.75,1
Mark 38,Mark 22,VEV_4000,5,3,0.75,1
Mark 38,Mark 22,VEV_4000,20,1,5.5,1
Mark 38,Mark 22,VEV_4000,20,3,-5.5,1
Mark 38,Mark 22,VEV_4000,100,1,9.0,1
Mark 38,Mark 22,VEV_4000,100,3,-9.0,1
Mark 38,Mark 22,VEV_4500,5,1,0.0,1
Mark 38,Mark 22,VEV_4500,5,3,0.0,1
Mark 38,Mark 22,VEV_4500,20,1,0.0,1
Mark 38,Mark 22,VEV_4500,20,3,0.0,1
Mark 38,Mark 22,VEV_4500,100,1,0.0,1
Mark 38,Mark 22,VEV_4500,100,3,0.0,1
Mark 38,Mark 22,VEV_5000,5,1,0.0,1
Mark 38,Mark 22,VEV_5000,5,3,0.0,1
Mark 38,Mark 22,VEV_5000,20,1,0.0,1
Mark 38,Mark 22,VEV_5000,20,3,0.0,1
Mark 38,Mark 22,VEV_5000,100,1,0.0,1
Mark 38,Mark 22,VEV_5000,100,3,0.0,1
Mark 38,Mark 22,VEV_5100,5,1,0.0,1
Mark 38,Mark 22,VEV_5100,5,3,0.0,1
Mark 38,Mark 22,VEV_5100,20,1,0.0,1
Mark 38,Mark 22,VEV_5100,20,3,0.0,1
Mark 38,Mark 22,VEV_5100,100,1,0.0,1
Mark 38,Mark 22,VEV_5100,100,3,0.0,1
Mark 38,Mark 22,VEV_5200,5,1,-0.25,1
Mark 38,Mark 22,VEV_5200,5,3,0.25,1
Mark 38,Mark 22,VEV_5200,20,1,3.25,1
Mark 38,Mark 22,VEV_5200,20,3,-3.25,1
Mark 38,Mark 22,VEV_5200,100,1,5.5,1
Mark 38,Mark 22,VEV_5200,100,3,-5.5,1
Mark 38,Mark 22,VEV_5300,5,1,0.0,1
Mark 38,Mark 22,VEV_5300,20,1,0.0,1
Mark 38,Mark 22,VEV_5300,100,1,0.0,1
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,5,1,2.5,4
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,5,2,-0.2916666666666667,3
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,5,3,-1.825,5
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,20,1,-0.041666666666666075,4
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,20,2,5.041666666666667,3
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,20,3,-2.9916666666666663,5
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,100,1,0.7386363636363635,4
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,100,2,4.113636363636363,2
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,100,3,-2.2363636363636368,5
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,5,1,0.19999999999999996,2
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,5,2,-0.1333333333333333,3
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,20,1,0.7999999999999999,2
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,20,2,-0.5333333333333332,3
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,100,1,-0.9500000000000002,2
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,100,2,0.6333333333333332,3
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,1,-0.13051146384479725,81
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,2,-0.06862764368267951,92
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,3,0.23781932098922645,71
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,1,-0.5949441504997061,81
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,2,0.15048680451817487,92
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,3,0.4837421151380859,71
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,1,0.09318048206937111,81
