name,role,symbol,k,spread_regime,burst,tape_day,n,mean,median,t_stat,frac_pos
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,tight,0,1,6.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,tight,0,2,5.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,1,69.0,0.6811594202898551,0.5,2.7614407915657453,0.5942028985507246
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,2,86.0,-0.18023255813953487,0.0,-0.8077319426190026,0.4069767441860465
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,3,93.0,0.3064516129032258,0.0,1.225501541868399,0.4731182795698925
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,1,1,1.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,1,6.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,2,5.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,1,69.0,0.5072463768115942,0.0,1.0115879076475782,0.4782608695652174
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,2,86.0,-0.8895348837209303,-1.0,-2.3341063751109026,0.3488372093023256
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,3,93.0,0.22580645161290322,0.5,0.44222724799347324,0.5053763440860215
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,1,1,1.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,1,6.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,2,5.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,1,69.0,-0.08695652173913043,-1.0,-0.08156357531545107,0.43478260869565216
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,2,86.0,-0.7383720930232558,-2.0,-0.7621016980497344,0.46511627906976744
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,3,93.0,-1.075268817204301,-0.5,-1.0538707929222872,0.4731182795698925
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,1,1,1.0,,,,
Mark 01,buyer_any,VEV_5200,5,wide,1,3,11.0,,,,
Mark 01,buyer_any,VEV_5200,20,wide,1,3,11.0,,,,
Mark 01,buyer_any,VEV_5200,100,wide,1,3,11.0,,,,
Mark 01,buyer_any,VEV_5300,5,tight,1,2,1.0,,,,
Mark 01,buyer_any,VEV_5300,5,tight,1,3,23.0,-0.08695652173913043,-0.5,-0.7226722582736508,0.30434782608695654
Mark 01,buyer_any,VEV_5300,5,wide,0,2,1.0,,,,
Mark 01,buyer_any,VEV_5300,5,wide,1,1,32.0,-0.28125,0.0,-2.033897257978677,0.15625
Mark 01,buyer_any,VEV_5300,5,wide,1,2,29.0,-0.05172413793103448,0.0,-0.39861044898225,0.20689655172413793
Mark 01,buyer_any,VEV_5300,5,wide,1,3,46.0,-0.15217391304347827,0.0,-1.2549900398011133,0.30434782608695654
Mark 01,buyer_any,VEV_5300,20,tight,1,2,1.0,,,,
Mark 01,buyer_any,VEV_5300,20,tight,1,3,23.0,0.13043478260869565,0.0,0.5061075874147806,0.4782608695652174
Mark 01,buyer_any,VEV_5300,20,wide,0,2,1.0,,,,
Mark 01,buyer_any,VEV_5300,20,wide,1,1,32.0,-0.703125,-1.0,-2.3160330801616316,0.3125
Mark 01,buyer_any,VEV_5300,20,wide,1,2,29.0,0.1724137931034483,0.0,0.5725312971030415,0.41379310344827586
Mark 01,buyer_any,VEV_5300,20,wide,1,3,46.0,-0.043478260869565216,-0.5,-0.16404222625840587,0.391304347826087
Mark 01,buyer_any,VEV_5300,100,tight,1,2,1.0,,,,
Mark 01,buyer_any,VEV_5300,100,tight,1,3,23.0,1.173913043478261,1.5,2.5315590470678755,0.7391304347826086
Mark 01,buyer_any,VEV_5300,100,wide,0,2,1.0,,,,
Mark 01,buyer_any,VEV_5300,100,wide,1,1,32.0,-0.5,-0.5,-0.7744405477707369,0.375
Mark 01,buyer_any,VEV_5300,100,wide,1,2,28.0,-0.23214285714285715,-1.0,-0.35338401905351025,0.39285714285714285
Mark 01,buyer_any,VEV_5300,100,wide,1,3,46.0,-0.010869565217391304,0.25,-0.022720884028832048,0.5
Mark 01,buyer_any,VEV_5400,5,wide,0,1,4.0,,,,
