pair,passive_party,k,n,mean_fwd
Mark 49->Mark 55,Mark 49,100,5,-4.8
Mark 22->Mark 38,Mark 22,100,17,-4.382352941176471
Mark 49->Mark 22,Mark 49,100,10,-4.35
Mark 22->Mark 49,Mark 22,100,1,-4.0
Mark 49->Mark 22,Mark 49,20,11,-3.090909090909091
Mark 22->Mark 38,Mark 22,20,17,-2.676470588235294
Mark 55->Mark 49,Mark 49,100,9,-2.5
Mark 49->Mark 22,Mark 49,5,11,-2.3636363636363638
Mark 22->Mark 49,Mark 22,20,1,-2.0
Mark 49->Mark 55,Mark 49,5,5,-1.7
Mark 22->Mark 55,Mark 22,5,18,-1.3888888888888888
Mark 22->Mark 38,Mark 22,5,17,-1.3823529411764706
Mark 49->Mark 55,Mark 49,20,5,-1.3
Mark 14->Mark 55,Mark 14,100,311,-1.2620578778135048
Mark 22->Mark 49,Mark 22,5,1,-1.0
Mark 01->Mark 55,Mark 01,100,260,-0.6346153846153846
Mark 67->Mark 55,Mark 67,5,1,-0.5
Mark 38->Mark 14,Mark 14,100,708,-0.4696327683615819
Mark 14->Mark 22,Mark 14,5,80,-0.35
Mark 14->Mark 55,Mark 14,20,316,-0.23734177215189872
Mark 38->Mark 14,Mark 14,20,712,-0.1896067415730337
Mark 14->Mark 22,Mark 14,20,80,-0.18125
Mark 55->Mark 01,Mark 01,100,244,-0.17418032786885246
Mark 38->Mark 14,Mark 14,5,714,-0.08403361344537816
Mark 14->Mark 55,Mark 14,5,316,-0.03322784810126582
Mark 01->Mark 22,Mark 01,5,1339,-0.02315160567587752
Mark 14->Mark 38,Mark 14,5,728,-0.003434065934065934
Mark 55->Mark 01,Mark 01,5,244,-0.0020491803278688526
Mark 01->Mark 55,Mark 01,20,260,0.0057692307692307696
Mark 55->Mark 01,Mark 01,20,244,0.006147540983606557
Mark 01->Mark 22,Mark 01,20,1339,0.008588498879761016
Mark 14->Mark 22,Mark 14,100,80,0.0125
Mark 01->Mark 22,Mark 01,100,1327,0.02110022607385079
Mark 14->Mark 38,Mark 14,20,728,0.10233516483516483
Mark 55->Mark 14,Mark 14,5,331,0.26132930513595165
Mark 01->Mark 55,Mark 01,5,260,0.2903846153846154
Mark 22->Mark 55,Mark 22,20,18,0.5277777777777778
Mark 14->Mark 38,Mark 14,100,725,0.5744827586206896
Mark 55->Mark 14,Mark 14,20,331,0.5755287009063444
Mark 67->Mark 22,Mark 22,100,75,0.7266666666666667
Mark 22->Mark 55,Mark 22,100,18,0.8888888888888888
Mark 55->Mark 49,Mark 49,5,9,1.0
Mark 55->Mark 14,Mark 14,100,328,1.0975609756097562
Mark 55->Mark 22,Mark 22,100,14,1.5
Mark 49->Mark 22,Mark 22,20,1,1.5
Mark 67->Mark 49,Mark 49,20,89,1.6348314606741574
Mark 55->Mark 22,Mark 22,5,14,1.7142857142857142
Mark 67->Mark 49,Mark 49,5,89,1.8764044943820224
Mark 38->Mark 22,Mark 22,20,19,1.894736842105263
Mark 67->Mark 49,Mark 49,100,88,1.9204545454545454
Mark 67->Mark 22,Mark 22,20,75,2.026666666666667
Mark 55->Mark 22,Mark 22,20,14,2.0357142857142856
Mark 67->Mark 22,Mark 22,5,75,2.06
Mark 38->Mark 22,Mark 22,5,19,2.3157894736842106
Mark 22->Mark 49,Mark 49,5,6,2.6666666666666665
Mark 55->Mark 49,Mark 49,20,9,2.6666666666666665
Mark 49->Mark 22,Mark 22,5,1,3.5
Mark 22->Mark 49,Mark 49,20,6,3.5
Mark 38->Mark 22,Mark 22,100,18,4.916666666666667
Mark 49->Mark 22,Mark 22,100,1,6.5
Mark 67->Mark 55,Mark 67,20,1,7.0
Mark 22->Mark 49,Mark 49,100,6,7.166666666666667
Mark 67->Mark 55,Mark 67,100,1,19.0
