passive_party,k,n,mean_fwd,med_fwd
Mark 67,5,1,-0.5,-0.5
Mark 14,5,2169,-0.006685108344859382,0.0
Mark 01,5,1843,0.02387411828540423,0.0
Mark 22,5,145,1.217241379310345,1.5
Mark 49,5,120,1.3125,1.75
Mark 01,20,1843,0.007867607162235486,0.0
Mark 14,20,2167,0.01868943239501615,0.0
Mark 22,20,145,1.2413793103448276,1.5
Mark 49,20,120,1.25,1.5
Mark 67,20,1,7.0,7.0
Mark 01,100,1831,-0.09803386127799017,0.0
Mark 14,100,2152,0.024395910780669144,0.0
Mark 22,100,144,0.75,1.75
Mark 49,100,118,1.0338983050847457,0.0
Mark 67,100,1,19.0,19.0
