buyer,seller,symbol,spread_regime,k,tape_day,fwd_same,baseline_mean,cell_n,residual
Mark 01,Mark 22,VEV_5400,wide,5,1,-0.5,-0.013307984790874524,263,-0.4866920152091255
Mark 01,Mark 22,VEV_5400,wide,20,1,-0.5,0.039923954372623575,263,-0.5399239543726235
Mark 01,Mark 22,VEV_5400,wide,100,1,-3.5,0.0038461538461538464,260,-3.503846153846154
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,-0.5,0.02508361204013378,299,-0.5250836120401338
Mark 01,Mark 22,VEV_5500,wide,100,1,-2.0,-0.02356902356902357,297,-1.9764309764309764
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 38,Mark 22,HYDROGEL_PACK,tight,5,1,-4.0,3.1875,8,-7.1875
Mark 38,Mark 22,HYDROGEL_PACK,tight,20,1,-7.0,1.3125,8,-8.3125
Mark 38,Mark 22,HYDROGEL_PACK,tight,100,1,1.0,-4.428571428571429,7,5.428571428571429
Mark 38,Mark 14,VEV_4000,wide,5,1,0.0,0.19832402234636873,179,-0.19832402234636873
Mark 38,Mark 14,VEV_4000,wide,20,1,-7.0,0.3644067796610169,177,-7.364406779661017
Mark 38,Mark 14,VEV_4000,wide,100,1,-20.0,-0.02857142857142857,175,-19.97142857142857
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,5,1,-2.0,0.0189873417721519,237,-2.018987341772152
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,20,1,-5.0,0.06751054852320675,237,-5.067510548523207
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,100,1,-21.0,-0.12447257383966245,237,-20.87552742616034
Mark 38,Mark 14,HYDROGEL_PACK,wide,5,1,-2.0,-0.10390946502057613,486,-1.896090534979424
Mark 38,Mark 14,HYDROGEL_PACK,wide,20,1,-2.0,-0.30864197530864196,486,-1.691358024691358
Mark 38,Mark 14,HYDROGEL_PACK,wide,100,1,9.0,-0.6487603305785123,484,9.648760330578511
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,tight,5,1,1.5,1.0,9,0.5
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,tight,20,1,0.0,2.6666666666666665,9,-2.6666666666666665
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,tight,100,1,-15.0,-2.5,9,-12.5
Mark 01,Mark 22,VEV_5400,wide,5,1,-0.5,-0.013307984790874524,263,-0.4866920152091255
Mark 01,Mark 22,VEV_5400,wide,20,1,-1.0,0.039923954372623575,263,-1.0399239543726235
Mark 01,Mark 22,VEV_5400,wide,100,1,-3.5,0.0038461538461538464,260,-3.503846153846154
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,0.0,0.02508361204013378,299,-0.02508361204013378
Mark 01,Mark 22,VEV_5500,wide,100,1,-1.0,-0.02356902356902357,297,-0.9764309764309764
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,5,1,4.0,1.8764044943820224,89,2.1235955056179776
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,20,1,2.0,1.6348314606741574,89,0.3651685393258426
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,100,1,-11.0,1.9204545454545454,88,-12.920454545454545
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,-1.0,0.02508361204013378,299,-1.0250836120401339
Mark 01,Mark 22,VEV_5500,wide,100,1,-1.0,-0.02356902356902357,297,-0.9764309764309764
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,5,1,-1.0,0.0189873417721519,237,-1.018987341772152
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,20,1,-5.5,0.06751054852320675,237,-5.567510548523207
