buyer,seller,symbol,spread_regime,k,n,mean_residual_vs_pair_pooled_baseline,t_stat,frac_pos,n_days,all_3_days_same_sign_as_pooled
Mark 14,Mark 38,VEV_4000,tight,20,28,1.0181650246305416,1.2299939176746426,0.5,3,True
Mark 38,Mark 14,VEV_4000,tight,20,28,-0.9467770034843207,-0.9876364537438768,0.42857142857142855,3,False
Mark 38,Mark 14,VEV_4000,wide,20,177,0.14977263331955332,0.510799213064893,0.4971751412429379,3,False
Mark 14,Mark 38,VEV_4000,wide,20,204,-0.13974814063556468,-0.445645816388425,0.5049019607843137,3,False
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,20,249,-0.10416280506641958,-0.38263004579117893,0.44176706827309237,3,False
Mark 01,Mark 22,VEV_5300,wide,20,108,-0.05934343434343445,-0.3545565625973679,0.5,3,False
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,483,-0.10343618513324017,-0.2618251038023217,0.4989648033126294,3,False
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,20,302,-0.05736021460306809,-0.24952054774720367,0.5099337748344371,3,False
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,20,237,0.0613630075396004,0.2224800742630089,0.4810126582278481,3,False
Mark 38,Mark 14,HYDROGEL_PACK,wide,20,486,0.04441522390240306,0.1134867036280349,0.5308641975308642,3,False
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,wide,20,320,-0.02240370090634449,-0.10375948898197124,0.496875,3,False
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,20,75,-4.736951571734001e-16,-9.720677127891087e-16,0.48,3,False
Mark 01,Mark 22,VEV_5400,wide,20,263,4.4746631410747755e-17,9.364443918337161e-16,0.30798479087452474,3,False
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,20,89,-1.0977486086181323e-16,-2.7617688933280255e-16,0.48314606741573035,3,False
Mark 14,Mark 22,VEV_5200,wide,20,33,-1.6148698540002277e-16,-2.759114757213468e-16,0.42424242424242425,3,False
Mark 01,Mark 22,VEV_5500,wide,20,299,-5.940992773913881e-18,-2.4817291401941224e-16,0.14381270903010032,3,False
Mark 01,Mark 22,VEV_6000,wide,20,317,0.0,,0.0,3,False
Mark 01,Mark 22,VEV_6500,wide,20,317,0.0,,0.0,3,False
