tape_day,ts,fut_abs_5
1,100,0.5
1,600,2.5
1,1100,3.0
1,1500,1.0
1,2000,0.0
1,2200,0.0
1,2700,4.5
1,3100,2.0
1,3400,2.0
1,3800,1.0
1,4200,0.5
1,4800,2.0
1,5200,0.5
1,5400,0.5
1,5800,1.0
1,6500,2.0
1,6800,2.0
1,7700,2.0
1,7900,1.0
1,8200,0.0
1,8700,1.5
1,9400,1.5
1,9800,5.0
1,10000,4.0
1,10200,2.0
1,10300,1.0
1,11800,0.0
1,12100,0.0
1,13200,1.0
1,13500,1.5
1,14100,2.0
1,15900,2.5
1,16300,0.5
1,16500,3.0
1,17100,4.5
1,17400,4.0
1,17800,1.5
1,18000,4.5
1,18600,0.0
1,18700,1.5
1,19700,3.0
1,20100,1.5
1,20700,0.5
1,21100,3.0
1,21300,1.0
1,21700,0.5
1,22700,2.0
1,23000,1.0
1,23400,3.5
1,23700,4.0
1,24100,3.0
1,24600,4.0
1,24900,3.5
1,25400,0.5
1,26100,3.0
1,26400,2.0
1,27800,0.5
1,28200,2.5
1,28800,3.0
1,29500,0.0
1,30000,5.0
1,30400,2.0
1,31200,1.5
1,31400,5.0
1,31900,0.5
1,32300,0.5
1,32400,2.0
1,32800,2.5
1,33000,2.0
1,33300,4.0
1,34100,3.0
1,34300,1.0
1,34800,3.0
1,35000,2.5
1,35100,2.0
1,35600,1.0
1,35800,4.5
1,36300,1.5
1,36500,3.0
1,36600,1.5
1,36800,0.0
1,37700,1.5
1,38000,0.0
1,38200,2.0
1,38800,4.0
1,38900,1.5
1,39400,2.0
1,39900,1.0
1,40200,0.5
1,40400,0.0
1,40600,3.5
1,40800,4.0
1,40900,6.0
1,41200,0.5
1,41600,3.5
1,41800,3.0
1,42000,3.0
1,42100,1.0
1,43100,0.0
1,43400,3.0
1,44200,3.0
1,44400,5.0
1,44800,3.0
1,45400,7.5
1,45600,6.5
1,46400,1.5
1,46700,1.5
1,47500,2.0
1,47700,0.5
1,48800,2.0
1,49100,0.0
1,50200,2.5
1,50400,3.5
1,50800,0.5
1,51000,2.0
1,52700,0.5
1,53400,2.0
1,53700,1.0
1,55200,0.0
1,55600,0.5
1,56000,0.0
1,56800,1.0
1,57100,1.0
1,58300,1.0
1,59300,0.5
1,59500,0.5
1,59900,1.0
1,60100,2.0
1,61700,2.0
1,62000,1.0
1,62900,1.0
1,63200,1.0
1,64900,4.0
1,65600,0.0
1,66300,2.0
1,66500,1.5
1,66900,5.5
1,67200,2.0
1,67300,2.5
1,67700,2.0
1,67900,1.0
1,68900,1.0
1,70600,1.0
1,70900,1.0
1,71400,2.0
1,71600,4.5
1,71800,4.5
1,72600,0.0
1,72900,2.0
1,73400,0.0
1,73700,0.5
1,73900,2.0
1,74300,4.5
1,74900,0.0
1,75100,3.5
1,75500,0.5
1,75700,3.0
1,76000,1.5
1,76500,0.5
1,77500,0.0
1,78400,0.5
1,78600,0.5
1,79200,2.0
1,79700,2.0
1,80700,1.5
1,81500,2.0
1,81800,0.0
1,82000,0.5
1,82600,4.0
1,83400,1.0
1,83800,3.0
1,84600,4.5
1,84800,0.5
1,85400,1.0
1,85500,2.0
1,86200,2.0
1,88300,1.0
1,88500,2.0
1,88800,1.0
1,89100,0.0
1,89200,3.0
1,90000,2.0
1,90600,2.0
1,90900,1.0
1,91600,1.0
1,92500,0.5
1,93200,1.0
1,93600,3.0
1,94000,2.0
1,94900,1.5
1,95400,5.5
1,95900,4.5
1,96300,0.0
1,96800,1.0
1,96900,1.0
