tape_day,symbol,lag,corr_flow_to_dmid
1,VELVETFRUIT_EXTRACT,0,-0.06324620461504889
1,VELVETFRUIT_EXTRACT,1,0.05882772901968559
1,VELVETFRUIT_EXTRACT,2,-0.007571753433074598
1,VELVETFRUIT_EXTRACT,5,0.002932615313672524
1,VEV_5300,0,-0.027014688831308663
1,VEV_5300,1,0.019331351947981384
1,VEV_5300,2,0.002353106120266829
1,VEV_5300,5,0.006931487131109266
1,HYDROGEL_PACK,0,0.016925261981696468
1,HYDROGEL_PACK,1,-0.0267358255696471
1,HYDROGEL_PACK,2,-0.005777835686362568
1,HYDROGEL_PACK,5,0.00809115727043443
2,VELVETFRUIT_EXTRACT,0,-0.05607844663853922
2,VELVETFRUIT_EXTRACT,1,0.08899870110974696
2,VELVETFRUIT_EXTRACT,2,0.012858494919254946
2,VELVETFRUIT_EXTRACT,5,-0.008568135620400433
2,VEV_5300,0,-0.02048249274687026
2,VEV_5300,1,0.035111879687083354
2,VEV_5300,2,0.012567024440580355
2,VEV_5300,5,-0.0075806446152517255
2,HYDROGEL_PACK,0,-0.02281759639587649
2,HYDROGEL_PACK,1,-0.001260392183216821
2,HYDROGEL_PACK,2,-0.02337093924313494
2,HYDROGEL_PACK,5,0.00815203489025556
3,VELVETFRUIT_EXTRACT,0,-0.05876759021539184
3,VELVETFRUIT_EXTRACT,1,0.07256293719705557
3,VELVETFRUIT_EXTRACT,2,0.0003152520026430541
3,VELVETFRUIT_EXTRACT,5,0.012421942993822118
3,VEV_5300,0,-0.011784188449896699
3,VEV_5300,1,0.011702197708858057
3,VEV_5300,2,-0.0025637625644812046
3,VEV_5300,5,0.0016920069750831941
3,HYDROGEL_PACK,0,0.003670829815011753
3,HYDROGEL_PACK,1,-0.0021127462226181383
3,HYDROGEL_PACK,2,0.01766708310142479
3,HYDROGEL_PACK,5,-0.005004178865634607
