signal_set,tape_day,print_ts,fire_ts,joint_tight_at_fire
mark67_buy_aggr_extract_all,1,10400,10500,False
mark67_buy_aggr_extract_all,1,17400,17500,False
mark67_buy_aggr_extract_all,1,32800,32900,False
mark67_buy_aggr_extract_all,1,39400,39500,True
mark67_buy_aggr_extract_all,1,45400,45500,False
mark67_buy_aggr_extract_all,1,78400,78500,False
mark67_buy_aggr_extract_all,1,84600,84700,False
mark67_buy_aggr_extract_all,1,88500,88600,False
mark67_buy_aggr_extract_all,1,109000,109100,False
mark67_buy_aggr_extract_all,1,132600,132700,False
mark67_buy_aggr_extract_all,1,139700,139800,False
mark67_buy_aggr_extract_all,1,163300,163400,False
mark67_buy_aggr_extract_all,1,197600,197700,False
mark67_buy_aggr_extract_all,1,242900,243000,False
mark67_buy_aggr_extract_all,1,251900,252000,False
mark67_buy_aggr_extract_all,1,258400,258500,False
mark67_buy_aggr_extract_all,1,265400,265500,False
mark67_buy_aggr_extract_all,1,272600,272700,False
mark67_buy_aggr_extract_all,1,281400,281500,False
mark67_buy_aggr_extract_all,1,289200,289300,False
mark67_buy_aggr_extract_all,1,291800,291900,False
mark67_buy_aggr_extract_all,1,308100,308200,False
mark67_buy_aggr_extract_all,1,310500,310600,False
mark67_buy_aggr_extract_all,1,340500,340600,False
mark67_buy_aggr_extract_all,1,343400,343500,False
mark67_buy_aggr_extract_all,1,367900,368000,False
mark67_buy_aggr_extract_all,1,390100,390200,False
mark67_buy_aggr_extract_all,1,480100,480200,False
mark67_buy_aggr_extract_all,1,509700,509800,False
mark67_buy_aggr_extract_all,1,524500,524600,False
mark67_buy_aggr_extract_all,1,551600,551700,False
mark67_buy_aggr_extract_all,1,564000,564100,False
mark67_buy_aggr_extract_all,1,570200,570300,False
mark67_buy_aggr_extract_all,1,575800,575900,False
mark67_buy_aggr_extract_all,1,578400,578500,False
mark67_buy_aggr_extract_all,1,608500,608600,True
mark67_buy_aggr_extract_all,1,622400,622500,True
mark67_buy_aggr_extract_all,1,632800,632900,False
mark67_buy_aggr_extract_all,1,634800,634900,True
mark67_buy_aggr_extract_all,1,693600,693700,False
mark67_buy_aggr_extract_all,1,703100,703200,True
mark67_buy_aggr_extract_all,1,713400,713500,False
mark67_buy_aggr_extract_all,1,803400,803500,False
mark67_buy_aggr_extract_all,1,812900,813000,True
mark67_buy_aggr_extract_all,1,838700,838800,False
mark67_buy_aggr_extract_all,1,839600,839700,False
mark67_buy_aggr_extract_all,1,845400,845500,False
mark67_buy_aggr_extract_all,1,850600,850700,False
mark67_buy_aggr_extract_all,1,863300,863400,False
mark67_buy_aggr_extract_all,1,879700,879800,True
mark67_buy_aggr_extract_all,1,882600,882700,False
mark67_buy_aggr_extract_all,1,896900,897000,False
mark67_buy_aggr_extract_all,1,914700,914800,False
mark67_buy_aggr_extract_all,1,948700,948800,False
mark67_buy_aggr_extract_all,1,949400,949500,False
mark67_buy_aggr_extract_all,1,984700,984800,False
mark67_buy_aggr_extract_all,1,985600,985700,True
mark67_buy_aggr_extract_all,1,986300,986400,False
mark67_buy_aggr_extract_all,2,900,1000,False
mark67_buy_aggr_extract_all,2,12100,12200,False
mark67_buy_aggr_extract_all,2,44900,45000,False
mark67_buy_aggr_extract_all,2,48400,48500,False
