pair,joint_tight_print,n,mean
Mark 55->Mark 14,False,245,0.6224489795918368
Mark 14->Mark 55,False,232,-0.3879310344827586
Mark 01->Mark 55,False,190,-0.08157894736842106
Mark 55->Mark 01,False,173,0.031791907514450865
Mark 55->Mark 14,True,86,0.4418604651162791
Mark 14->Mark 55,True,84,0.17857142857142858
Mark 67->Mark 49,False,77,1.7207792207792207
Mark 55->Mark 01,True,71,-0.056338028169014086
Mark 01->Mark 55,True,70,0.24285714285714285
Mark 67->Mark 22,False,60,1.825
Mark 22->Mark 55,False,15,0.1
Mark 67->Mark 22,True,15,2.8333333333333335
Mark 67->Mark 49,True,12,1.0833333333333333
Mark 55->Mark 22,False,11,3.0
Mark 49->Mark 22,False,9,-1.3888888888888888
