tape_day,timestamp,k,fwd_extract,fwd_vev5300,sum_fwd
1,575800,5,2.0,0.5,2.5
1,575800,20,3.5,0.5,4.0
1,575800,100,4.5,1.5,6.0
1,632800,5,1.5,0.0,1.5
1,632800,20,0.0,0.0,0.0
1,632800,100,-2.5,-1.0,-3.5
1,812900,5,-3.0,-1.0,-4.0
1,812900,20,-3.5,-1.5,-5.0
1,812900,100,13.5,4.0,17.5
1,949400,5,2.5,0.0,2.5
1,949400,20,11.0,3.0,14.0
1,949400,100,14.5,5.0,19.5
2,378400,5,5.5,1.0,6.5
2,378400,20,4.5,1.0,5.5
2,378400,100,-8.5,-4.0,-12.5
2,424600,5,4.5,1.0,5.5
2,424600,20,6.5,1.0,7.5
2,424600,100,7.5,1.5,9.0
2,793900,5,-0.5,0.5,0.0
2,793900,20,-1.0,-0.5,-1.5
2,793900,100,16.0,6.5,22.5
3,254000,5,-1.0,-1.0,-2.0
3,254000,20,-3.5,-1.5,-5.0
3,254000,100,-11.5,-4.0,-15.5
3,294300,5,0.5,-0.5,0.0
3,294300,20,-2.0,-1.5,-3.5
3,294300,100,-6.5,-3.0,-9.5
3,349100,5,3.5,0.5,4.0
3,349100,20,3.5,0.5,4.0
3,349100,100,-1.5,-1.0,-2.5
3,405400,5,-0.5,-0.5,-1.0
3,405400,20,-3.5,-1.5,-5.0
3,405400,100,-9.5,-4.0,-13.5
3,462100,5,1.5,0.0,1.5
3,462100,20,6.5,1.0,7.5
3,462100,100,0.5,-0.5,0.0
3,512800,5,4.5,1.0,5.5
3,512800,20,4.5,1.0,5.5
3,512800,100,8.0,2.0,10.0
3,560900,5,3.5,0.0,3.5
3,560900,20,8.0,1.5,9.5
3,560900,100,11.5,2.5,14.0
3,588300,5,5.5,1.0,6.5
3,588300,20,8.0,1.5,9.5
3,588300,100,11.5,2.5,14.0
