tape_day,print_ts,joint_tight_at_fire,fwd_extract_k20
1,10400,False,2.0
1,17400,False,-0.5
1,32800,False,-1.5
1,39400,True,-5.0
1,45400,False,6.0
1,78400,False,0.5
1,84600,False,4.5
1,88500,False,3.5
1,109000,False,0.0
1,132600,False,-0.5
1,139700,False,3.5
1,163300,False,-1.5
1,197600,False,0.5
1,242900,False,3.5
1,251900,False,1.5
1,258400,False,-2.5
1,265400,False,1.5
1,272600,False,-1.5
1,281400,False,4.0
1,289200,False,8.0
1,291800,False,1.5
1,308100,False,-1.5
1,310500,False,-1.0
1,340500,False,1.0
1,343400,False,-5.0
1,367900,False,4.5
1,390100,False,1.5
1,480100,False,-5.5
1,509700,False,6.0
1,524500,False,-3.5
1,551600,False,-5.5
1,564000,False,4.0
1,570200,False,1.5
1,575800,False,3.5
1,578400,False,-2.5
1,608500,True,6.5
1,622400,True,4.0
1,632800,False,0.0
1,634800,True,4.0
1,693600,False,7.5
1,703100,True,6.5
1,713400,False,2.5
1,803400,False,2.5
1,812900,True,-3.5
1,838700,False,3.5
1,839600,False,5.5
1,845400,False,4.5
1,850600,False,6.5
1,863300,False,1.0
1,879700,True,7.0
1,882600,False,9.5
1,896900,False,2.0
1,914700,False,-2.5
1,948700,False,7.5
1,949400,False,11.0
1,984700,False,5.5
1,985600,True,2.0
1,986300,False,0.0
2,900,False,8.5
2,12100,False,-0.5
2,44900,False,2.0
2,48400,False,3.5
2,112600,False,1.0
2,129300,False,2.5
2,134300,False,3.5
2,156200,False,1.0
2,157400,False,3.0
2,165700,False,-3.0
2,194700,False,2.5
2,199400,False,-2.5
2,207000,False,0.5
2,237600,False,-5.5
2,258000,False,7.5
2,285800,False,1.5
2,316800,False,-5.0
2,323500,False,0.5
2,333200,False,1.5
2,337000,False,-1.5
2,378400,False,4.5
2,385100,False,-5.0
2,424600,False,6.5
2,448900,False,-1.5
2,463600,False,3.0
2,464700,False,-2.5
2,466400,False,4.0
2,493000,False,3.0
2,521700,False,6.5
2,530600,False,0.5
2,547100,True,0.0
2,611300,False,-0.5
2,614100,False,-8.5
2,650600,True,4.5
2,656600,False,0.0
2,672800,False,2.0
2,679000,False,5.0
2,687700,False,5.5
2,700500,False,0.5
2,715300,False,0.0
2,717300,False,0.5
2,720500,True,2.0
2,744200,False,9.0
2,771600,False,2.5
2,777200,False,6.5
2,793900,False,-1.0
2,798800,False,10.0
2,840900,False,2.5
2,848400,False,1.0
2,862900,False,1.5
2,872400,False,-0.5
2,887900,False,-4.0
2,902700,False,-2.5
2,912000,False,6.0
2,914300,False,7.5
2,915700,False,-0.5
2,941000,False,-4.0
2,956000,False,-0.5
2,958700,False,-1.5
2,959400,False,-1.5
2,993500,False,7.0
3,31400,False,7.5
3,58300,False,-5.5
3,77300,False,5.0
3,77600,True,5.5
3,99400,True,4.0
3,103700,False,-3.5
3,115000,False,1.5
3,117400,False,6.0
3,121800,True,0.5
3,130800,True,5.5
3,215100,False,-3.0
3,254000,False,-3.5
3,254300,True,-1.0
3,264000,True,4.5
3,285600,False,-3.0
3,294300,True,-2.0
3,349100,True,3.5
3,352000,True,-7.0
3,357500,True,1.0
3,405400,False,-3.5
3,406500,False,-1.0
3,443100,True,-4.5
3,462100,True,6.5
3,512800,True,4.5
3,560900,True,8.0
3,588300,True,8.0
3,616700,True,0.5
3,653400,True,0.0
3,663100,False,-2.0
3,677300,True,4.0
3,700600,False,3.0
3,701000,False,0.0
3,707800,True,10.0
3,718600,False,1.0
3,720000,False,1.0
3,753400,True,3.5
3,755400,False,7.5
3,769200,False,2.0
3,810500,False,7.0
3,873400,True,4.5
3,911500,False,0.5
3,947000,True,8.5
3,961800,False,8.5
3,969100,False,0.0
3,984300,True,-2.5
