tape_day,timestamp,k,fwd_vev5300
1,575800,5,0.5
1,575800,20,0.5
1,575800,100,1.5
1,632800,5,0.0
1,632800,20,0.0
1,632800,100,-1.0
1,812900,5,-1.0
1,812900,20,-1.5
1,812900,100,4.0
1,949400,5,0.0
1,949400,20,3.0
1,949400,100,5.0
2,378400,5,1.0
2,378400,20,1.0
2,378400,100,-4.0
2,424600,5,1.0
2,424600,20,1.0
2,424600,100,1.5
2,793900,5,0.5
2,793900,20,-0.5
2,793900,100,6.5
3,254000,5,-1.0
3,254000,20,-1.5
3,254000,100,-4.0
3,294300,5,-0.5
3,294300,20,-1.5
3,294300,100,-3.0
3,349100,5,0.5
3,349100,20,0.5
3,349100,100,-1.0
3,405400,5,-0.5
3,405400,20,-1.5
3,405400,100,-4.0
3,462100,5,0.0
3,462100,20,1.0
3,462100,100,-0.5
3,512800,5,1.0
3,512800,20,1.0
3,512800,100,2.0
3,560900,5,0.0
3,560900,20,1.5
3,560900,100,2.5
3,588300,5,1.0
3,588300,20,1.5
3,588300,100,2.5
