buyer,seller,symbol,mean_resid,n_cell
Mark 38,Mark 14,HYDROGEL_PACK,7.708057291283138e-17,507
Mark 14,Mark 22,VEV_5300,5.181040781584064e-17,30
Mark 01,Mark 22,VEV_5500,4.1540535411350966e-17,299
Mark 01,Mark 22,VEV_5400,3.820349191200634e-17,263
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,1.1945437606726368e-17,316
Mark 01,Mark 22,VEV_6500,0.0,317
Mark 01,Mark 22,VEV_6000,0.0,317
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,-1.0733273954080063e-17,331
Mark 01,Mark 22,VEV_5300,-5.719330732917473e-17,132
Mark 14,Mark 38,HYDROGEL_PACK,-7.879002110243047e-17,496
Mark 14,Mark 22,VEV_5200,-1.0765799026668185e-16,33
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,-1.2639462126501782e-16,260
Mark 14,Mark 38,VEV_4000,-1.3782078926381254e-16,232
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,-1.597083121489467e-16,244
Mark 38,Mark 14,VEV_4000,-1.863008392541726e-16,205
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,-2.4948832014048463e-16,89
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,-4.026408835973901e-16,75
