day,ts_bucket,spread_bucket,burst_ge4,K,n,mean_fwd,median_fwd,t_stat,frac_pos,boot_ci95_mean_lo,boot_ci95_mean_hi
1,0,q0_tight,0,5,13,2.923076923076923,2.0,5.742326199440451,1.0,,
1,0,q0_tight,0,20,13,0.8846153846153846,0.5,1.077861882241353,0.5384615384615384,,
1,0,q0_tight,0,100,13,3.269230769230769,5.5,1.5007271720362032,0.6923076923076923,,
1,1,q0_tight,0,5,15,1.8,1.5,3.9146295258075603,0.8,,
1,1,q0_tight,0,20,15,0.6666666666666666,1.5,0.714481025517807,0.6,,
1,1,q0_tight,0,100,15,-1.7666666666666666,-0.5,-0.6079345539867711,0.4,,
1,2,q0_tight,0,5,13,2.423076923076923,2.0,5.532563103907143,1.0,,
1,2,q0_tight,0,20,13,2.3846153846153846,4.0,2.064755740075264,0.6923076923076923,,
1,2,q0_tight,0,100,13,1.3076923076923077,-1.0,0.4287398724749167,0.38461538461538464,,
1,3,q0_tight,0,5,16,1.8125,2.0,4.165589039922033,0.8125,,
1,3,q0_tight,0,20,16,3.875,4.0,3.833300092928609,0.8125,,
1,3,q0_tight,0,100,16,9.0625,12.5,3.8607000611841547,0.8125,,
2,0,q0_tight,0,5,15,1.2666666666666666,1.5,2.665202221452778,0.7333333333333333,,
2,0,q0_tight,0,20,15,1.6,2.0,1.6905780746464445,0.7333333333333333,,
2,0,q0_tight,0,100,15,2.6333333333333333,2.5,1.9647642773941438,0.6666666666666666,,
2,1,q0_tight,0,5,12,2.2083333333333335,2.0,3.8588967772343166,0.9166666666666666,,
2,1,q0_tight,0,20,12,0.5,1.0,0.4690415759823429,0.5833333333333334,,
2,1,q0_tight,0,100,12,-0.5833333333333334,-1.5,-0.30310028064343525,0.4166666666666667,,
2,2,q0_tight,0,5,15,1.7,2.5,3.5782394369793686,0.9333333333333333,,
2,2,q0_tight,0,20,15,1.4,0.5,1.518088029528438,0.6666666666666666,,
2,2,q0_tight,0,100,15,-0.9666666666666667,2.0,-0.4337062323182464,0.5333333333333333,,
2,3,q0_tight,0,5,18,2.0277777777777777,2.0,5.161120570142416,0.8888888888888888,,
2,3,q0_tight,0,20,18,2.138888888888889,1.25,2.024955167878776,0.5555555555555556,,
2,3,q0_tight,0,100,17,3.264705882352941,3.5,1.6345637839985525,0.6470588235294118,,
3,0,q0_tight,0,5,13,1.5384615384615385,1.5,3.4112114616897666,0.7692307692307693,,
3,0,q0_tight,0,20,13,1.4615384615384615,1.5,1.1953074476715615,0.6153846153846154,,
3,0,q0_tight,0,100,13,-3.1153846153846154,-3.5,-1.546485059378893,0.38461538461538464,,
3,1,q0_tight,0,5,10,0.95,0.25,1.1862135734496941,0.5,,
3,1,q0_tight,0,20,10,-0.55,-1.5,-0.40228947995180414,0.4,,
3,1,q0_tight,0,100,10,-3.55,-3.25,-1.1080982243198745,0.3,,
3,2,q0_tight,0,5,12,2.6666666666666665,3.25,3.3296567650777975,0.75,,
3,2,q0_tight,0,20,12,3.1666666666666665,2.0,2.883787503699283,0.75,,
3,2,q0_tight,0,100,12,6.958333333333333,9.0,2.794825627197832,0.75,,
3,3,q0_tight,0,5,10,2.55,3.0,4.196903082670282,0.9,,
3,3,q0_tight,0,20,10,3.95,4.0,3.2047516833006293,0.8,,
3,3,q0_tight,0,100,10,-5.6,-3.75,-2.288522517405928,0.2,,
