participant,role,symbol,K,ts_bucket,spread_bucket,burst_ge4,n,mean,median,t_stat,frac_pos,ci_lo,ci_hi
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,5,3,q0_tight,0,44,2.0681818181818183,2.0,7.911478518814609,0.8636363636363636,1.5454545454545454,2.5795454545454546
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,5,2,q0_tight,0,40,2.225,2.5,6.760535333373096,0.9,1.5875,2.825
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,5,0,q0_tight,0,41,1.8780487804878048,2.0,6.407495826751925,0.8292682926829268,1.3289634146341465,2.475609756097561
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,20,3,q0_tight,0,44,3.1818181818181817,2.5,5.031742547962267,0.7045454545454546,1.9431818181818181,4.306818181818182
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,5,1,q0_tight,0,37,1.7027027027027026,1.5,5.003880033130628,0.7567567567567568,1.027027027027027,2.391891891891892
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,20,2,q0_tight,0,40,2.25,2.0,3.732100136460895,0.7,1.0375,3.375
Mark 55,U_aggr_sell,VELVETFRUIT_EXTRACT,100,1,q1,0,104,-2.5384615384615383,-2.0,-3.2500361057367524,0.33653846153846156,-3.981490384615385,-1.057572115384616
Mark 55,U_aggr_buy,VELVETFRUIT_EXTRACT,100,3,q3_wide,0,94,3.1648936170212765,2.25,3.09484781158054,0.5638297872340425,1.2283244680851064,5.202127659574468
Mark 55,U_aggr_buy,VELVETFRUIT_EXTRACT,100,0,q0_tight,0,40,-4.1375,-6.0,-3.074348741022799,0.225,-6.575,-1.486250000000007
Mark 55,U_aggr_sell,VELVETFRUIT_EXTRACT,100,0,q1,0,71,-2.464788732394366,-3.0,-3.064001249641105,0.36619718309859156,-4.014084507042254,-0.844894366197184
Mark 55,U_aggr_sell,VELVETFRUIT_EXTRACT,5,3,q3_wide,0,107,0.602803738317757,0.5,2.92301465055012,0.5700934579439252,0.21016355140186915,0.9766355140186916
Mark 55,U_aggr_sell,VELVETFRUIT_EXTRACT,20,3,q3_wide,0,107,1.158878504672897,1.0,2.8626384892039534,0.5700934579439252,0.38317757009345793,1.939252336448598
Mark 22,U_aggr_sell,VEV_5400,100,2,q2,1,39,0.6025641025641025,1.0,2.485672176908782,0.5897435897435898,0.11538461538461539,1.0897435897435896
Mark 55,U_aggr_buy,VELVETFRUIT_EXTRACT,20,3,q3_wide,0,97,0.9948453608247423,1.0,2.351132123891511,0.5670103092783505,0.12873711340206184,1.8350515463917525
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,20,0,q0_tight,0,41,1.329268292682927,1.0,2.3376083966273145,0.6341463414634146,0.14634146341463414,2.5121951219512195
Mark 55,U_aggr_buy,VELVETFRUIT_EXTRACT,100,1,q2,0,22,2.5681818181818183,2.0,2.261788597235393,0.6818181818181818,0.522159090909091,4.840909090909091
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,100,3,q0_tight,0,43,3.36046511627907,3.5,2.185553671820144,0.6046511627906976,0.25523255813953494,6.348837209302325
Mark 55,U_aggr_sell,VELVETFRUIT_EXTRACT,20,0,q1,0,71,-0.8661971830985915,-0.5,-2.157667056776388,0.36619718309859156,-1.6408450704225352,-0.09859154929577464
Mark 55,U_aggr_buy,VELVETFRUIT_EXTRACT,20,0,q3_wide,0,29,1.6551724137931034,0.5,2.144864128746886,0.5862068965517241,0.17198275862068968,3.2413793103448274
Mark 38,U_aggr_sell,HYDROGEL_PACK,5,1,q1,0,93,0.9408602150537635,1.0,2.108004719338164,0.5376344086021505,0.0913978494623656,1.790456989247311
