day,timestamp,buyer,seller,symbol,fwd_mid_20,baseline_fwd20,resid_fwd20
1,4500,Mark 01,Mark 22,VEV_5400,-0.5,0.039923954372623575,-0.5399239543726235
1,4500,Mark 01,Mark 22,VEV_5500,-0.5,0.02508361204013378,-0.5250836120401338
1,4500,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,4500,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,5100,Mark 38,Mark 22,HYDROGEL_PACK,-7.0,,
1,5300,Mark 38,Mark 14,VEV_4000,-7.0,0.2146341463414634,-7.214634146341464
1,6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,-5.0,0.006147540983606557,-5.006147540983607
1,6200,Mark 38,Mark 14,HYDROGEL_PACK,-2.0,-0.3530571992110454,-1.6469428007889546
1,9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,0.0,,
1,9600,Mark 01,Mark 22,VEV_5400,-1.0,0.039923954372623575,-1.0399239543726235
1,9600,Mark 01,Mark 22,VEV_5500,0.0,0.02508361204013378,-0.02508361204013378
1,9600,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,9600,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,2.0,1.6348314606741574,0.3651685393258426
1,11800,Mark 01,Mark 22,VEV_5500,-1.0,0.02508361204013378,-1.0250836120401339
1,11800,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,11800,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,-5.5,0.006147540983606557,-5.506147540983607
1,14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,-4.0,0.0057692307692307696,-4.005769230769231
1,14800,Mark 01,Mark 22,VEV_5300,-1.0,-0.12121212121212122,-0.8787878787878788
1,14800,Mark 01,Mark 22,VEV_5400,-0.5,0.039923954372623575,-0.5399239543726235
1,14800,Mark 01,Mark 22,VEV_5500,0.0,0.02508361204013378,-0.02508361204013378
1,14800,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,14800,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,15000,Mark 38,Mark 14,HYDROGEL_PACK,-11.5,-0.3530571992110454,-11.146942800788954
1,16700,Mark 14,Mark 38,VEV_4000,2.0,-0.1788793103448276,2.1788793103448274
1,16700,Mark 01,Mark 22,VEV_5300,-1.0,-0.12121212121212122,-0.8787878787878788
1,16700,Mark 01,Mark 22,VEV_5400,-1.0,0.039923954372623575,-1.0399239543726235
1,16700,Mark 01,Mark 22,VEV_5500,-0.5,0.02508361204013378,-0.5250836120401338
1,16700,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,16700,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,17300,Mark 14,Mark 38,VEV_4000,-3.0,-0.1788793103448276,-2.8211206896551726
1,17400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,-0.5,2.026666666666667,-2.526666666666667
1,17900,Mark 38,Mark 14,VEV_4000,-6.5,0.2146341463414634,-6.714634146341464
1,19300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,0.0,-0.23734177215189872,0.23734177215189872
1,20200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,1.0,-0.23734177215189872,1.2373417721518987
1,22800,Mark 14,Mark 38,HYDROGEL_PACK,-1.0,0.23387096774193547,-1.2338709677419355
1,25700,Mark 38,Mark 14,VEV_4000,7.5,0.2146341463414634,7.285365853658536
1,29300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,-7.5,-0.23734177215189872,-7.262658227848101
1,30800,Mark 14,Mark 38,HYDROGEL_PACK,8.0,0.23387096774193547,7.766129032258065
1,31400,Mark 38,Mark 14,HYDROGEL_PACK,10.0,-0.3530571992110454,10.353057199211046
1,31700,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,1.0,0.006147540983606557,0.9938524590163934
1,32000,Mark 14,Mark 38,HYDROGEL_PACK,5.0,0.23387096774193547,4.766129032258065
1,32600,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,-2.5,0.006147540983606557,-2.5061475409836067
1,32800,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,-1.5,2.026666666666667,-3.526666666666667
1,33600,Mark 14,Mark 38,HYDROGEL_PACK,-2.0,0.23387096774193547,-2.2338709677419355
1,36200,Mark 38,Mark 14,VEV_4000,-1.5,0.2146341463414634,-1.7146341463414634
1,36500,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,-2.0,0.5277777777777778,-2.5277777777777777
1,37400,Mark 14,Mark 38,HYDROGEL_PACK,-1.0,0.23387096774193547,-1.2338709677419355
1,38500,Mark 01,Mark 22,VEV_5500,0.0,0.02508361204013378,-0.02508361204013378
1,38500,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,38500,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,38700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,1.0,0.0057692307692307696,0.9942307692307693
1,39400,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,-5.0,,
1,39400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,-5.0,1.6348314606741574,-6.634831460674158
1,39800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,-5.5,0.0057692307692307696,-5.505769230769231
1,40400,Mark 01,Mark 22,VEV_5300,-1.0,-0.12121212121212122,-0.8787878787878788
1,40400,Mark 01,Mark 22,VEV_5400,-0.5,0.039923954372623575,-0.5399239543726235
1,40400,Mark 01,Mark 22,VEV_5500,0.0,0.02508361204013378,-0.02508361204013378
1,40400,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,40400,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,40900,Mark 38,Mark 14,HYDROGEL_PACK,10.0,-0.3530571992110454,10.353057199211046
1,41300,Mark 38,Mark 14,HYDROGEL_PACK,14.0,-0.3530571992110454,14.353057199211046
1,43400,Mark 01,Mark 22,VEV_5400,2.0,0.039923954372623575,1.9600760456273765
1,43400,Mark 01,Mark 22,VEV_5500,0.5,0.02508361204013378,0.47491638795986624
1,43400,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,43400,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,43600,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,10.5,0.0057692307692307696,10.49423076923077
1,43900,Mark 14,Mark 38,HYDROGEL_PACK,9.0,0.23387096774193547,8.766129032258064
1,45200,Mark 14,Mark 38,HYDROGEL_PACK,4.0,0.23387096774193547,3.7661290322580645
1,45400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,6.0,2.026666666666667,3.973333333333333
1,47700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,1.5,0.0057692307692307696,1.4942307692307693
1,48300,Mark 14,Mark 38,HYDROGEL_PACK,12.5,0.23387096774193547,12.266129032258064
1,48900,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,-0.5,0.0057692307692307696,-0.5057692307692307
1,49800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,1.0,0.0057692307692307696,0.9942307692307693
1,50200,Mark 14,Mark 38,VEV_4000,0.0,-0.1788793103448276,0.1788793103448276
1,50300,Mark 38,Mark 14,VEV_4000,1.0,0.2146341463414634,0.7853658536585366
1,50700,Mark 01,Mark 22,VEV_5400,0.5,0.039923954372623575,0.4600760456273764
1,50700,Mark 01,Mark 22,VEV_5500,0.0,0.02508361204013378,-0.02508361204013378
1,50700,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,50700,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,51700,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,0.0,-0.23734177215189872,0.23734177215189872
1,52400,Mark 14,Mark 38,HYDROGEL_PACK,-15.0,0.23387096774193547,-15.233870967741936
1,52800,Mark 01,Mark 22,VEV_5400,0.0,0.039923954372623575,-0.039923954372623575
1,52800,Mark 01,Mark 22,VEV_5500,0.0,0.02508361204013378,-0.02508361204013378
1,52800,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,52800,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,53000,Mark 14,Mark 38,HYDROGEL_PACK,-21.5,0.23387096774193547,-21.733870967741936
1,53400,Mark 14,Mark 22,VEV_5500,0.0,,
1,53400,Mark 01,Mark 22,VEV_6000,0.0,0.0,0.0
1,53400,Mark 01,Mark 22,VEV_6500,0.0,0.0,0.0
1,53800,Mark 38,Mark 14,VEV_4000,1.0,0.2146341463414634,0.7853658536585366
1,54400,Mark 14,Mark 38,VEV_4000,1.0,-0.1788793103448276,1.1788793103448276
