motif,n,mean_fwd_ext_20
Mark 14->Mark 38->Mark 14,164,-0.036585365853658534
Mark 38->Mark 14->Mark 38,160,-0.575
Mark 38->Mark 14->Mark 55,75,-0.26666666666666666
Mark 55->Mark 14->Mark 38,69,-0.2826086956521739
Mark 55->Mark 14->Mark 55,32,0.40625
Mark 14->Mark 55->Mark 14,26,-0.11538461538461539
Mark 55->Mark 01->Mark 22,25,0.16
Mark 14->Mark 55->Mark 01,23,-1.8695652173913044
Mark 55->Mark 01->Mark 55,23,-1.7826086956521738
Mark 01->Mark 55->Mark 14,23,1.2173913043478262
Mark 38->Mark 14->Mark 22,21,0.7380952380952381
Mark 01->Mark 55->Mark 01,17,-1.1764705882352942
Mark 55->Mark 14->Mark 22,11,0.0
Mark 22->Mark 38->Mark 14,2,3.5
Mark 14->Mark 55->Mark 22,2,5.0
Mark 14->Mark 55->Mark 49,2,5.25
Mark 14->Mark 38->Mark 22,2,-4.75
Mark 01->Mark 22->Mark 38,1,6.0
Mark 01->Mark 55->Mark 49,1,-2.0
Mark 38->Mark 22->Mark 49,1,2.5
Mark 22->Mark 55->Mark 01,1,-2.0
Mark 22->Mark 55->Mark 14,1,-3.5
Mark 49->Mark 55->Mark 01,1,-4.0
Mark 67->Mark 22->Mark 38,1,5.0
Mark 67->Mark 22->Mark 55,1,-3.0
Mark 67->Mark 49->Mark 55,1,-1.0
